rank	generic
1	atorvastatin
2	metformin
3	levothyroxine
4	lisinopril
5	amlodipine
6	metoprolol
7	albuterol
8	losartan
9	gabapentin
10	omeprazole
11	sertraline
12	rosuvastatin
13	pantoprazole
14	escitalopram
15	dextroamphetamine
15	dextroamphetamine saccharate
15	amphetamine
15	amphetamine aspartate
16	hydrochlorothiazide
17	bupropion
18	fluoxetine
19	semaglutide
20	montelukast
21	trazodone
22	simvastatin
23	amoxicillin
24	tamsulosin
25	acetaminophen
25	hydrocodone
26	fluticasone
27	meloxicam
28	apixaban
29	furosemide
30	insulin glargine
31	duloxetine
32	ibuprofen
33	famotidine
34	empagliflozin
35	carvedilol
36	tramadol
37	alprazolam
38	prednisone
39	hydroxyzine
40	buspirone
41	clopidogrel
42	glipizide
43	citalopram
44	potassium chloride
45	allopurinol
46	aspirin
47	cyclobenzaprine
48	ergocalciferol
49	oxycodone
50	methylphenidate
51	venlafaxine
52	spironolactone
53	ondansetron
54	zolpidem
55	cetirizine
56	estradiol
57	pravastatin
59	lamotrigine
60	quetiapine
61	salmeterol
62	clonazepam
63	dulaglutide
64	azithromycin
66	clavulanate
67	latanoprost
68	cholecalciferol
69	propranolol
70	ezetimibe
71	topiramate
72	paroxetine
73	diclofenac
74	budesonide
74	formoterol
75	atenolol
76	lisdexamfetamine
77	doxycycline
78	pregabalin
79	ethinyl estradiol
79	norethindrone
80	glimepiride
81	tizanidine
82	clonidine
83	fenofibrate
84	insulin lispro
85	valsartan
86	cephalexin
87	baclofen
88	rivaroxaban
89	ferrous sulfate
90	amitriptyline
91	finasteride
92	dapagliflozin
94	folic acid
95	aripiprazole
96	olmesartan
97	norgestimate
98	valacyclovir
99	mirtazapine
100	lorazepam
101	levetiracetam
102	insulin aspart
103	naproxen
104	cyanocobalamin
105	loratadine
106	diltiazem
107	sumatriptan
108	triamcinolone
109	hydralazine
110	tirzepatide
111	celecoxib
113	alendronate
114	oxybutynin
115	triamterene
116	warfarin
117	progesterone
118	umeclidinium
118	vilanterol
119	testosterone
120	nifedipine
121	methocarbamol
122	benzonatate
123	sitagliptin
124	chlorthalidone
125	isosorbide
126	donepezil
127	dexmethylphenidate
128	sulfamethoxazole
128	trimethoprim
129	clobetasol
130	methotrexate
131	hydroxychloroquine
132	lovastatin
133	pioglitazone
134	irbesartan
135	methylprednisolone
137	meclizine
138	levonorgestrel
140	ketoconazole
141	thyroid
142	azelastine
143	nitrofurantoin
144	adalimumab
145	memantine
146	prednisolone
147	esomeprazole
148	docusate
149	clindamycin
150	acyclovir
151	sildenafil
152	insulin degludec
153	insulin detemir
154	drospirenone
155	ciprofloxacin
156	morphine
157	insulin human
157	insulin isophane human
158	levocetirizine
159	nirmatrelvir
159	ritonavir
160	valproate
161	atomoxetine
163	tiotropium
164	melatonin
165	cefdinir
166	doxepin
167	olanzapine
168	phentermine
169	ofloxacin
170	etonogestrel
171	mupirocin
172	benazepril
173	timolol
174	magnesium salts
175	fluconazole
176	risperidone
177	verapamil
178	linaclotide
179	cyclosporine
180	doxazosin
181	ipratropium
182	hydrocortisone
183	diazepam
184	telmisartan
185	carbamazepine
187	lithium
188	evolocumab
189	desvenlafaxine
190	dorzolamide
191	nebivolol
192	dicyclomine
193	torsemide
194	anastrozole
195	enalapril
196	polyethylene glycol 3350
197	tretinoin
198	tadalafil
199	sacubitril
200	calcium
201	pramipexole
202	mesalamine
203	metronidazole
204	nortriptyline
205	emtricitabine
205	tenofovir
206	rimegepant
207	nitroglycerin
208	rizatriptan
209	liraglutide
210	codeine
211	ramipril
212	ropinirole
213	brimonidine
214	mirabegron
215	colchicine
216	ticagrelor
217	terazosin
218	amiodarone
219	fexofenadine
220	liothyronine
221	bisoprolol
222	omega-3-acid ethyl esters
223	flecainide
224	oxcarbazepine
225	desogestrel
226	ascorbic acid
227	sodium salts
228	ketorolac
230	promethazine
231	levofloxacin
232	labetalol
233	nystatin
234	cyproheptadine
235	erythromycin
236	dutasteride
237	moxifloxacin
238	bimatoprost
239	primidone
240	sucralfate
241	betamethasone
241	clotrimazole
242	senna
243	bumetanide
244	icosapent ethyl
245	solifenacin
246	dexamethasone
247	epinephrine
248	penicillin v
249	calcitriol
250	oseltamivir
251	polymyxin b
252	dextromethorphan
253	terbinafine
254	linagliptin
255	methimazole
256	metoclopramide
257	medroxyprogesterone
258	pancrelipase amylase
258	pancrelipase lipase
258	pancrelipase protease
260	neomycin
261	calcium phosphate
262	butalbital
262	caffeine
263	guanfacine
264	sodium fluoride
265	guaifenesin
266	lactulose
267	fluorouracil
269	olopatadine
270	chlorhexidine
271	nabumetone
272	mometasone
273	polyethylene glycol 3350 with electrolytes
274	hydroquinone
275	phenazopyridine
276	loperamide
277	lidocaine
278	ciclopirox
279	cefuroxime
281	brompheniramine
281	pseudoephedrine
282	norgestrel
284	diphenhydramine
285	norelgestromin
286	atropine
286	diphenoxylate
287	indomethacin
288	niacin
289	lactate
290	vitamin e
293	bisacodyl
294	riboflavin
295	ivermectin
296	etodolac
297	lactobacillus acidophilus
298	tobramycin
299	ketotifen
