brand	generic	notes
lipitor	atorvastatin
glucophage	metformin
synthroid	levothyroxine
levoxyl	levothyroxine
prinivil	lisinopril
zestril	lisinopril
norvasc	amlodipine
lopressor	metoprolol
toprol	metoprolol
proventil	albuterol
ventolin	albuterol
proair	albuterol
cozaar	losartan
neurontin	gabapentin
prilosec	omeprazole
zoloft	sertraline
crestor	rosuvastatin
protonix	pantoprazole
lexapro	escitalopram
wellbutrin	bupropion
zyban	bupropion
prozac	fluoxetine
sarafem	fluoxetine
ozempic	semaglutide
wegovy	semaglutide
rybelsus	semaglutide
singulair	montelukast
desyrel	trazodone
oleptro	trazodone
zocor	simvastatin
amoxil	amoxicillin
flomax	tamsulosin
mobic	meloxicam
eliquis	apixaban
lasix	furosemide
cymbalta	duloxetine
advil	ibuprofen
motrin	ibuprofen
nuprin	ibuprofen
pepcid	famotidine
jardiance	empagliflozin
coreg	carvedilol
ultram	tramadol
conzip	tramadol
xanax	alprazolam
deltasone	prednisone
buspar	buspirone
plavix	clopidogrel
celexa	citalopram
zyloprim	allopurinol
flexeril	cyclobenzaprine
oxycontin	oxycodone
roxicodone	oxycodone
ritalin	methylphenidate
concerta	methylphenidate
effexor	venlafaxine
aldactone	spironolactone
zofran	ondansetron
ambien	zolpidem
zyrtec	cetirizine
pravachol	pravastatin
lamictal	lamotrigine
seroquel	quetiapine
klonopin	clonazepam
trulicity	dulaglutide
zithromax	azithromycin
z-pak	azithromycin
inderal	propranolol
zetia	ezetimibe
topamax	topiramate
paxil	paroxetine
abilify	aripiprazole
remeron	mirtazapine
ativan	lorazepam
keppra	levetiracetam
aleve	naproxen
naprosyn	naproxen
claritin	loratadine
cardizem	diltiazem
imitrex	sumatriptan
celebrex	celecoxib
tylenol	acetaminophen
fosamax	alendronate
coumadin	warfarin
nexium	esomeprazole
viagra	sildenafil
cialis	tadalafil
zyprexa	olanzapine
risperdal	risperidone
benadryl	diphenhydramine
eskalith	lithium
lithobid	lithium
percocet	oxycodone	combo with acetaminophen
vicodin	hydrocodone	combo with acetaminophen
norco	hydrocodone	combo with acetaminophen
tylox	oxycodone
darvocet	propoxyphene
demerol	meperidine
dilaudid	hydromorphone
fentora	fentanyl
duragesic	fentanyl
oxycontin	oxycodone
adderall	amphetamine
vyvanse	lisdexamfetamine
strattera	atomoxetine
focalin	dexmethylphenidate
restoril	temazepam
halcion	triazolam
valium	diazepam
librium	chlordiazepoxide
lunesta	eszopiclone
sonata	zaleplon
trazodone	trazodone
desyrel	trazodone
cozaar	losartan
diovan	valsartan
benicar	olmesartan
micardis	telmisartan
avapro	irbesartan
altace	ramipril
vasotec	enalapril
capoten	captopril
lotensin	benazepril
tenormin	atenolol
zebeta	bisoprolol
levaquin	levofloxacin
cipro	ciprofloxacin
keflex	cephalexin
augmentin	amoxicillin clavulanate
bactrim	sulfamethoxazole trimethoprim
septra	sulfamethoxazole trimethoprim
flagyl	metronidazole
diflucan	fluconazole
lamisil	terbinafine
valtrex	valacyclovir
zovirax	acyclovir
tamiflu	oseltamivir
paxlovid	nirmatrelvir ritonavir
glipizide	glipizide
glyburide	glyburide
janumet	sitagliptin metformin
januvia	sitagliptin
victoza	liraglutide
saxenda	liraglutide
farxiga	dapagliflozin
invokana	canagliflozin
mounjaro	tirzepatide
zepbound	tirzepatide
forteo	teriparatide
prolia	denosumab
xarelto	rivaroxaban
pradaxa	dabigatran
brilinta	ticagrelor
plavix	clopidogrel
prozac	fluoxetine
celexa	citalopram
luvox	fluvoxamine
pristiq	desvenlafaxine
viibryd	vilazodone
trintellix	vortioxetine
brintellix	vortioxetine
geodon	ziprasidone
latuda	lurasidone
saphris	asenapine
invega	paliperidone
rexulti	brexpiprazole
vraylar	cariprazine
depakote	valproate
trileptal	oxcarbazepine
tegretol	carbamazepine
neurontin	gabapentin
lyrica	pregabalin
flonase	fluticasone
nasonex	mometasone
qvar	beclomethasone
flovent	fluticasone
advair	fluticasone salmeterol
symbicort	budesonide formoterol
spiriva	tiotropium
breo	fluticasone vilanterol
trelegy	fluticasone umeclidinium vilanterol
dulera	mometasone formoterol
benicar	olmesartan
caduet	amlodipine atorvastatin
exforge	amlodipine valsartan
tribenzor	amlodipine olmesartan hydrochlorothiazide
