session_id	n_turns	n_drug_mentions	duration_s	ref_words	wav_path	txt_path
X808	357	53	1126.65	2869	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/X808.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/X808.txt
J539	615	45	2745.16	6693	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/J539.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/J539.txt
Q091	570	43	2631.96	7739	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/Q091.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/Q091.txt
H417	433	43	1568.58	3883	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H417.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H417.txt
O721	336	42	1970.00	10476	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/O721.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/O721.txt
D106	293	42	1010.98	2825	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/D106.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/D106.txt
C332	417	41	1889.41	5518	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/C332.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/C332.txt
M224	781	40	2418.32	6840	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/M224.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/M224.txt
W204	309	38	804.58	2202	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/W204.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/W204.txt
D947	360	38	1542.38	4426	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/D947.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/D947.txt
E484	448	36	1624.15	4286	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/E484.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/E484.txt
G360	212	35	686.58	2566	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G360.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G360.txt
G040	338	35	1699.51	4246	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G040.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G040.txt
R370	328	35	1591.90	4962	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R370.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R370.txt
H942	338	34	1473.81	4654	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H942.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H942.txt
R176	223	31	1732.33	4476	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R176.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R176.txt
W253	558	31	2086.18	5976	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/W253.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/W253.txt
P736	563	30	2085.35	5801	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/P736.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/P736.txt
X592	668	30	2119.30	6202	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/X592.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/X592.txt
E704	323	30	1196.60	3248	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/E704.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/E704.txt
Q587	454	30	1374.03	3574	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/Q587.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/Q587.txt
B610	305	28	1275.53	4420	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/B610.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/B610.txt
C996	440	27	1259.88	3339	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/C996.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/C996.txt
O716	397	27	1275.85	3534	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/O716.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/O716.txt
G056	292	27	1268.71	3632	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G056.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/G056.txt
V469	310	27	1259.33	3375	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/V469.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/V469.txt
H962	309	25	1191.62	3419	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H962.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/H962.txt
I017	442	25	1933.33	5540	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/I017.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/I017.txt
R054	239	25	1291.40	2875	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R054.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/R054.txt
A980	260	24	2626.20	6490	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/A980.wav	/home/grey/dev/graiai/ossicles/assets/audio/kokoro-va-sample/A980.txt
