file_id,slot_idx,word_m1,word_m2,m1_top1_mean,m2_top1_mean,m1_top1_min,m2_top1_min,m1_margin_min,m2_margin_min,m1_logprob_mean,m2_logprob_mean,m1_logprob_min,m2_logprob_min,m1_shannon_max,m2_shannon_max,m1_shannon_mean,m2_shannon_mean,m1_tsallis_max,m2_tsallis_max,m1_shannon_norm_max,m2_shannon_norm_max,m1_n_subwords,m2_n_subwords,m1_top1_z,m2_top1_z,m1_shannon_z,m2_shannon_z,m1_logprob_z,m2_logprob_z,char_edit_dist,char_edit_ratio,phonetic_edit_dist,phonetic_match,char_len_m1,char_len_m2,burst_size,left_agree_1,right_agree_1,left_agree_2,right_agree_2,left_agree_3,right_agree_3,file_disagreement_rate,file_m1_mean_logprob,file_m2_mean_logprob,file_m1_mean_shannon,file_m2_mean_shannon,m1_correct,m2_correct,label
day1_consultation01,6,should,can,0.827601,0.401603,0.537551,0.401603,0.110172,0.307108,-0.225657,-0.912273,-0.620731,-0.912273,0.8353,3.3266,0.383367,3.3266,5.6604,702.0661,0.120491,0.306418,3,1,-1.6931,-3.9035,1.4873,6.1967,-1.7144,-4.0466,6,1.0,3,0,6,3,2,1,0,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,7,we,you,0.800422,0.837694,0.800422,0.837694,0.626308,0.703287,-0.22261,-0.176823,-0.22261,-0.176823,0.6077,0.5595,0.6077,0.5595,5.5868,150.6271,0.08766,0.051536,1,1,-2.0281,-0.6303,2.6559,0.4957,-1.6858,-0.3844,3,1.0,1,0,2,3,2,0,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,70,diarrhea,whatdiarrhea,0.986771,0.709746,0.911996,0.588033,0.824923,0.228245,-0.013819,-0.35188,-0.092117,-0.530613,0.3034,1.4076,0.048343,1.151525,1.4088,608.3845,0.043765,0.129656,7,4,0.2683,-1.5906,-0.2578,1.7154,0.2716,-1.2561,4,0.3333,2,0,8,12,1,0,1,0,1,0,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,143,this,its,0.46508,0.748518,0.46508,0.53425,0.15608,0.303083,-0.765541,-0.332142,-0.765541,-0.626846,1.1935,1.6844,1.1935,0.9712,7.8222,419.5854,0.172161,0.155153,1,2,-6.1604,-1.2996,5.7074,1.3439,-6.7757,-1.1578,3,0.75,2,0,4,3,1,1,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,0,neither
day1_consultation01,167,and,stooland,0.997335,0.774039,0.997335,0.700445,0.9947,0.623815,-0.00267,-0.260525,-0.00267,-0.355949,0.0187,1.3107,0.0187,1.14965,0.6306,409.1333,0.002697,0.120731,1,2,0.3984,-1.1081,-0.4122,1.7116,0.3761,-0.8012,5,0.625,3,0,3,8,1,0,1,0,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,179,yeah,yep,0.519118,0.767684,0.47401,0.582687,0.02141,0.241183,-0.659414,-0.293995,-0.746529,-0.540096,0.9091,1.2456,0.8484,0.79505,2.6822,453.622,0.131137,0.114734,2,2,-5.4945,-1.1558,3.9098,0.981,-5.7807,-0.9679,2,0.5,1,0,4,3,1,1,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,0,neither
day1_consultation01,210,left,yeah,0.819618,0.531383,0.461888,0.342655,0.138789,0.167122,-0.258489,-0.699524,-0.77243,-1.070904,1.3144,2.2709,0.4474,1.45305,7.2699,389.9386,0.189601,0.209176,3,2,-1.7915,-2.9294,1.8209,2.3367,-2.0222,-2.9872,3,0.75,3,0,4,4,2,1,0,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,211,side,so,0.871996,0.768663,0.617392,0.768663,0.240002,0.611376,-0.161217,-0.262703,-0.482254,-0.262703,0.6956,0.9403,0.236633,0.9403,3.0187,250.2564,0.10034,0.086613,3,1,-1.1461,-1.1484,0.723,1.2803,-1.1103,-0.8121,3,0.75,1,0,4,2,2,0,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,254,come,timecome,0.999996,0.737262,0.999996,0.560347,0.999994,0.39871,-8e-06,-0.33489,-8e-06,-0.579178,0.0001,2.3264,0.0001,1.531067,0.1611,606.2126,1.4e-05,0.214288,1,3,0.4312,-1.3841,-0.5091,2.4974,0.401,-1.1715,4,0.5,2,0,4,8,1,0,1,0,1,0,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,262,a,the,0.614899,0.536244,0.614899,0.536244,0.330085,0.250191,-0.486298,-0.622925,-0.486298,-0.622925,0.8923,1.192,0.8923,1.192,3.5484,170.4848,0.128714,0.109797,1,1,-4.3142,-2.8929,4.1384,1.7988,-4.1578,-2.6058,3,1.0,1,0,1,3,1,1,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,1,m2_only
day1_consultation01,319,mainly,it,0.948748,0.642226,0.84801,0.642226,0.793824,0.56668,-0.055543,-0.442509,-0.164864,-0.442509,0.7058,1.6331,0.2409,1.6331,7.9372,271.1809,0.101811,0.150427,3,1,-0.2003,-2.0974,0.7452,2.7076,-0.1196,-1.7074,5,0.8333,3,0,6,2,1,0,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,0,neither
day1_consultation01,347,four,afour,0.909563,0.41768,0.819146,0.356115,0.716643,0.235228,-0.099758,-0.883883,-0.199493,-1.032314,0.6277,2.9207,0.314,2.88685,4.7845,570.2616,0.090545,0.26903,2,2,-0.6832,-3.7828,1.126,5.2907,-0.5341,-3.9052,1,0.2,1,0,4,5,1,0,1,0,1,0,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,0,neither
day1_consultation01,427,yeah,coloryeah,0.81662,0.632032,0.665711,0.51728,0.333872,0.248609,-0.219952,-0.477889,-0.406898,-0.659168,0.6571,2.2382,0.404,1.459175,4.1942,654.2567,0.094786,0.206164,2,4,-1.8285,-2.1739,1.5948,2.3493,-1.6609,-1.8836,5,0.5556,3,0,4,9,1,0,1,0,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,0,0,neither
day1_consultation01,509,anything,anythingand,0.788032,0.874968,0.365348,0.732306,0.019134,0.647995,-0.336052,-0.140909,-1.006905,-0.311543,1.2641,1.7462,0.425567,0.7472,4.8552,609.282,0.182345,0.160845,3,3,-2.1807,-0.3505,1.7072,0.8824,-2.7493,-0.2056,3,0.2727,2,0,8,11,1,0,0,1,0,1,0,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,512,and,yeah,0.999651,0.708533,0.999651,0.528961,0.999436,0.199965,-0.000351,-0.377579,-0.000351,-0.636681,0.0035,1.1965,0.0035,1.00165,0.714,418.0755,0.000505,0.110211,1,2,0.427,-1.5997,-0.4914,1.4067,0.3978,-1.3841,4,1.0,3,0,3,4,1,0,1,0,1,0,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,1,both
day1_consultation01,544,the,your,0.567165,0.577572,0.567165,0.577572,0.230294,0.339149,-0.567104,-0.548584,-0.567104,-0.548584,1.0265,1.273,1.0265,1.273,7.0726,259.9477,0.148072,0.117258,1,1,-4.9024,-2.5827,4.8375,1.9657,-4.9154,-2.2356,4,1.0,2,0,3,4,1,1,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,566,with,had,0.998724,0.669981,0.998724,0.669981,0.998284,0.446753,-0.001274,-0.400318,-0.001274,-0.400318,0.0122,1.2424,0.0122,1.2424,2.1748,373.0192,0.00176,0.114439,1,1,0.4156,-1.8891,-0.4461,1.9027,0.3892,-1.4973,4,1.0,2,0,4,3,1,0,1,0,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,583,been,yeah,0.998918,0.562137,0.998918,0.336549,0.997843,0.0293,-0.001083,-0.663458,-0.001083,-1.088665,0.0085,1.4698,0.0085,1.07665,0.5956,294.2073,0.001226,0.135386,1,2,0.4179,-2.6985,-0.4654,1.5612,0.391,-2.8076,3,0.75,2,0,4,4,2,1,0,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,1,both
day1_consultation01,584,eating,beeneating,0.999994,0.917906,0.999988,0.835774,0.999983,0.759568,-8e-06,-0.087575,-1.5e-05,-0.179195,0.0002,1.0015,0.0001,0.510667,0.3832,421.536,2.9e-05,0.09225,2,3,0.4312,-0.0283,-0.5091,0.3951,0.401,0.06,4,0.4,2,0,6,10,2,0,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
day1_consultation01,593,where,what,0.604142,0.48982,0.604142,0.48982,0.233341,0.204834,-0.503944,-0.713455,-0.503944,-0.713455,0.7749,1.2033,0.7749,1.2033,3.2858,138.1952,0.111779,0.110838,1,1,-4.4468,-3.2413,3.5269,1.8221,-4.3232,-3.0566,3,0.6,1,0,5,4,1,1,1,1,1,1,1,0.0316,-0.0428,-0.0996,0.0978,0.3189,1,0,m1_only
