file_id,best_solo_wer,best_fusion_wer,best_fusion_name,fusion_helps,disagreement,logprob_mean_m1,logprob_mean_m2,shannon_mean_m1,shannon_mean_m2,conf_gap,n_words_m1,n_words_m2
day1_consultation01,0.1426,0.1441,naive,False,0.107,-0.0428,-0.0996,0.0978,0.3189,0.0568,1268,1232
day1_consultation02,0.1525,0.1537,asymmetric,False,0.1601,-0.0457,-0.1161,0.1064,0.4698,0.0704,1518,1611
day1_consultation03,0.1499,0.1525,margin,False,0.1203,-0.0549,-0.0959,0.124,0.3143,0.041,1483,1482
day1_consultation04,0.1884,0.1623,margin,True,0.1792,-0.0621,-0.114,0.1349,0.345,0.0519,1490,1504
day1_consultation05,0.1305,0.1281,shannon,True,0.1194,-0.0428,-0.0911,0.1023,0.2972,0.0483,1490,1485
day1_consultation06,0.1808,0.1709,shannon,True,0.1413,-0.0439,-0.0938,0.1034,0.3101,0.0499,1607,1629
day1_consultation07,0.2006,0.1838,confidence,True,0.1662,-0.0717,-0.1225,0.1593,0.3966,0.0508,2291,2391
day1_consultation08,0.1479,0.1453,shannon,True,0.1526,-0.0538,-0.1137,0.1264,0.37,0.0599,1072,1051
day1_consultation09,0.1735,0.16,shannon,True,0.1399,-0.0504,-0.1044,0.113,0.3479,0.0541,1374,1384
day1_consultation10,0.1848,0.1767,shannon,True,0.1557,-0.0632,-0.1189,0.138,0.3695,0.0557,1625,1633
day1_consultation11,0.1543,0.1406,margin,True,0.1487,-0.0606,-0.0968,0.1294,0.2959,0.0362,2062,2141
day1_consultation12,0.1518,0.1431,confidence,True,0.118,-0.0423,-0.0878,0.0952,0.2968,0.0454,1056,1069
day1_consultation13,0.1019,0.0918,margin,True,0.1066,-0.0449,-0.0814,0.1005,0.249,0.0365,1564,1563
day1_consultation14,0.1568,0.1537,confidence,True,0.133,-0.053,-0.095,0.1151,0.2983,0.042,1755,1752
day1_consultation15,0.1624,0.1513,margin,True,0.1373,-0.046,-0.0991,0.1023,0.3272,0.0531,1186,1179
day2_consultation01,0.1426,0.1418,shannon,True,0.0949,-0.0349,-0.0836,0.0846,0.2613,0.0487,1095,1092
day2_consultation02,0.1507,0.1418,margin,True,0.1323,-0.0431,-0.0882,0.099,0.2922,0.0451,1477,1535
day2_consultation03,0.1795,0.1774,confidence,True,0.1916,-0.057,-0.1093,0.1316,0.3618,0.0523,1307,1265
day2_consultation04,0.1293,0.1282,confidence,True,0.1029,-0.047,-0.0892,0.106,0.2837,0.0422,1684,1650
day2_consultation05,0.0975,0.0892,confidence,True,0.0867,-0.0385,-0.0755,0.0878,0.2574,0.037,1741,1731
day2_consultation06,0.1326,0.1254,confidence,True,0.1032,-0.0385,-0.0767,0.0888,0.2476,0.0382,1723,1700
day2_consultation07,0.1697,0.1514,naive,True,0.1298,-0.0366,-0.0706,0.0838,0.2344,0.034,1150,1182
day2_consultation08,0.1213,0.1168,naive,True,0.0915,-0.036,-0.0733,0.0855,0.2436,0.0373,1671,1625
day2_consultation09,0.136,0.132,confidence,True,0.1083,-0.0393,-0.0792,0.0917,0.27,0.0399,919,910
day2_consultation10,0.1022,0.1072,naive,False,0.1038,-0.0364,-0.0698,0.0837,0.2333,0.0334,1647,1623
day3_consultation01,0.1504,0.1363,confidence,True,0.12,-0.0479,-0.0916,0.1077,0.2925,0.0436,1145,1135
day3_consultation02,0.139,0.1407,asymmetric,False,0.1149,-0.038,-0.0931,0.0835,0.3066,0.0551,1049,1054
day3_consultation03,0.1548,0.1429,shannon,True,0.1174,-0.0497,-0.0909,0.1087,0.3017,0.0411,1669,1682
day3_consultation04,0.1592,0.161,asymmetric,False,0.1421,-0.0538,-0.1147,0.1203,0.3595,0.061,1026,1044
day3_consultation05,0.1258,0.1169,naive,True,0.0893,-0.0422,-0.0717,0.0929,0.2406,0.0295,1025,1027
day3_consultation06,0.1334,0.1301,naive,True,0.1183,-0.0386,-0.0735,0.0829,0.2544,0.0349,548,557
day3_consultation07,0.1614,0.1631,naive,False,0.1401,-0.0493,-0.103,0.112,0.3331,0.0537,1086,1091
day3_consultation08,0.1536,0.1525,confidence,True,0.1162,-0.0438,-0.1049,0.1028,0.3177,0.0612,842,831
day3_consultation09,0.0934,0.093,shannon,True,0.0854,-0.0424,-0.0677,0.0913,0.2157,0.0253,1978,1932
day3_consultation10,0.0959,0.0886,naive,True,0.1019,-0.0416,-0.0782,0.0927,0.2523,0.0366,1257,1249
day4_consultation01,0.1193,0.1193,asymmetric,False,0.1147,-0.0392,-0.0988,0.0891,0.3272,0.0596,1175,1175
day4_consultation02,0.1013,0.0876,shannon,True,0.0898,-0.0376,-0.0641,0.0886,0.2344,0.0265,1157,1147
day4_consultation03,0.086,0.0968,confidence,False,0.0565,-0.0241,-0.0518,0.0576,0.1838,0.0277,947,931
