feature,correlation,single_feature_accuracy
m1_top1_min,-0.413823,0.714224
m1_margin_min,-0.413175,0.714659
m1_shannon_max,0.409491,0.704654
m1_shannon_norm_max,0.409491,0.704654
m1_logprob_min,-0.401806,0.722053
m1_shannon_z,0.367144,0.708569
m1_shannon_mean,0.365548,0.714659
m1_top1_mean,-0.355572,0.718138
m1_top1_z,-0.355270,0.719443
m2_tsallis_max,-0.351910,0.674206
m1_logprob_z,-0.350437,0.725098
m1_logprob_mean,-0.349514,0.722923
m2_shannon_norm_max,-0.342205,0.646803
m2_shannon_max,-0.342204,0.652458
m2_top1_min,0.330262,0.651588
m2_n_subwords,-0.317160,0.662462
m1_tsallis_max,0.315384,0.695955
m2_logprob_min,0.298061,0.620705
m2_margin_min,0.285446,0.643323
char_len_m2,-0.255456,0.578947
left_agree_1,0.230602,0.626359
m2_shannon_z,-0.219947,0.579817
m2_shannon_mean,-0.211299,0.581557
left_agree_2,0.184354,0.505437
m2_logprob_mean,0.168217,0.535015
m2_logprob_z,0.167550,0.530666
m2_top1_mean,0.161240,0.534145
m2_top1_z,0.158556,0.531100
char_edit_dist,-0.143935,0.528926
phonetic_edit_dist,-0.141325,0.588517
left_agree_3,0.113716,0.428447
m1_n_subwords,0.110752,0.616355
phonetic_match,0.108711,0.729013
right_agree_1,0.076604,0.394954
burst_size,-0.035408,0.380165
file_m2_mean_shannon,-0.029021,0.509352
char_len_m1,0.023281,0.568508
file_m1_mean_logprob,-0.022206,0.561983
right_agree_3,-0.021449,0.675511
char_edit_ratio,0.019975,0.528926
file_disagreement_rate,-0.018723,0.739452
right_agree_2,0.017811,0.340148
file_m1_mean_shannon,0.017603,0.548499
file_m2_mean_logprob,0.017378,0.521531
