dataset,models,n_files,wer_pct,n_words
nazmulkazi,"parakeet-tdt-0.6b-v2+sensevoice",71,7.1502,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+sensevoice-no-itn",71,7.1557,310313
nazmulkazi,"whisper-turbo+sensevoice",71,7.1676,310313
nazmulkazi,"whisper-turbo+sensevoice-no-itn",71,7.1699,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+whisper-turbo",71,7.2923,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+qwen3-asr",71,7.3680,310313
nazmulkazi,"whisper-distil-v3.5+sensevoice",71,7.3880,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+whisper-base-en",71,7.3916,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+nemo-fastconformer",71,7.3935,310313
nazmulkazi,"whisper-distil-v3.5+sensevoice-no-itn",71,7.3938,310313
nazmulkazi,"whisper-turbo+qwen3-asr",71,7.4193,310313
nazmulkazi,"whisper-turbo+nemo-fastconformer",71,7.4254,310313
nazmulkazi,"whisper-base-en+sensevoice-no-itn",71,7.4254,310313
nazmulkazi,"whisper-base-en+sensevoice",71,7.4270,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+paraformer-en",71,7.4377,310313
nazmulkazi,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5",71,7.4489,310313
nazmulkazi,"whisper-turbo+paraformer-en",71,7.4547,310313
nazmulkazi,"whisper-turbo+whisper-base-en",71,7.4650,310313
nazmulkazi,"whisper-distil-v3.5+whisper-turbo",71,7.5189,310313
nazmulkazi,"whisper-distil-v3.5+nemo-fastconformer",71,7.6020,310313
nazmulkazi,"whisper-distil-v3.5+whisper-base-en",71,7.6052,310313
nazmulkazi,"whisper-distil-v3.5+qwen3-asr",71,7.6236,310313
nazmulkazi,"qwen3-asr+nemo-fastconformer",71,7.6471,310313
nazmulkazi,"whisper-base-en+nemo-fastconformer",71,7.6597,310313
nazmulkazi,"whisper-distil-v3.5+paraformer-en",71,7.6645,310313
nazmulkazi,"sensevoice-no-itn+nemo-fastconformer",71,7.6674,310313
nazmulkazi,"whisper-base-en+qwen3-asr",71,7.6739,310313
nazmulkazi,"sensevoice+sensevoice-no-itn",71,7.6887,310313
nazmulkazi,"whisper-base-en+paraformer-en",71,7.6919,310313
nazmulkazi,"sensevoice+nemo-fastconformer",71,7.7164,310313
nazmulkazi,"qwen3-asr+paraformer-en",71,7.7412,310313
nazmulkazi,"sensevoice-no-itn+qwen3-asr",71,7.7586,310313
nazmulkazi,"sensevoice+qwen3-asr",71,7.7876,310313
nazmulkazi,"sensevoice-no-itn+paraformer-en",71,7.8862,310313
nazmulkazi,"sensevoice+paraformer-en",71,7.9304,310313
nazmulkazi,"paraformer-en+nemo-fastconformer",71,9.0692,310313
primock57,"parakeet-tdt-0.6b-v2+qwen3-asr",57,13.0269,85239
primock57,"whisper-turbo+qwen3-asr",57,13.3331,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice-no-itn",57,13.4058,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice",57,13.4739,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5",57,13.4950,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-turbo",57,13.5666,85239
primock57,"parakeet-tdt-0.6b-v2+nemo-fastconformer",57,13.8012,85239
primock57,"whisper-distil-v3.5+qwen3-asr",57,14.0311,85239
primock57,"whisper-turbo+sensevoice-no-itn",57,14.1015,85239
primock57,"whisper-distil-v3.5+sensevoice-no-itn",57,14.1754,85239
primock57,"whisper-distil-v3.5+sensevoice",57,14.1907,85239
primock57,"whisper-turbo+sensevoice",57,14.2646,85239
primock57,"whisper-distil-v3.5+whisper-turbo",57,14.2974,85239
primock57,"whisper-distil-v3.5+nemo-fastconformer",57,14.3784,85239
primock57,"parakeet-tdt-0.6b-v2+paraformer-en",57,14.4312,85239
primock57,"qwen3-asr+nemo-fastconformer",57,14.5673,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-base-en",57,14.6189,85239
primock57,"whisper-turbo+nemo-fastconformer",57,15.0119,85239
primock57,"whisper-distil-v3.5+paraformer-en",57,15.1128,85239
primock57,"whisper-distil-v3.5+whisper-base-en",57,15.1832,85239
primock57,"qwen3-asr+paraformer-en",57,15.2876,85239
primock57,"whisper-turbo+paraformer-en",57,15.5023,85239
primock57,"whisper-turbo+whisper-base-en",57,15.6759,85239
primock57,"sensevoice-no-itn+qwen3-asr",57,16.5969,85239
primock57,"sensevoice+qwen3-asr",57,16.6285,85239
primock57,"whisper-base-en+qwen3-asr",57,17.2550,85239
primock57,"whisper-base-en+sensevoice-no-itn",57,18.3379,85239
primock57,"whisper-base-en+sensevoice",57,18.5408,85239
primock57,"sensevoice-no-itn+nemo-fastconformer",57,19.1872,85239
primock57,"whisper-base-en+nemo-fastconformer",57,19.4160,85239
primock57,"whisper-base-en+paraformer-en",57,19.8008,85239
primock57,"sensevoice+sensevoice-no-itn",57,19.8864,85239
primock57,"sensevoice+nemo-fastconformer",57,19.9627,85239
primock57,"sensevoice-no-itn+paraformer-en",57,20.0061,85239
primock57,"sensevoice+paraformer-en",57,20.5927,85239
primock57,"paraformer-en+nemo-fastconformer",57,27.4816,85239
