dataset,models,n_files,wer_pct,n_words
primock57,"parakeet-tdt-0.6b-v2+whisper-turbo+qwen3-asr",57,13.1161,85239
primock57,"parakeet-tdt-0.6b-v2+qwen3-asr+nemo-fastconformer",57,13.1442,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice+qwen3-asr",57,13.1700,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice-no-itn+qwen3-asr",57,13.2404,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-turbo+sensevoice-no-itn",57,13.2768,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-turbo+sensevoice",57,13.2932,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice+sensevoice-no-itn",57,13.4176,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice-no-itn+nemo-fastconformer",57,13.4446,85239
primock57,"whisper-turbo+qwen3-asr+nemo-fastconformer",57,13.4586,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5+qwen3-asr",57,13.4692,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5+sensevoice",57,13.4715,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5+sensevoice-no-itn",57,13.4821,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-turbo+nemo-fastconformer",57,13.4844,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice+nemo-fastconformer",57,13.4962,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5+whisper-turbo",57,13.5361,85239
primock57,"whisper-turbo+sensevoice+qwen3-asr",57,13.5654,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-distil-v3.5+nemo-fastconformer",57,13.5759,85239
primock57,"whisper-turbo+sensevoice-no-itn+qwen3-asr",57,13.6170,85239
primock57,"parakeet-tdt-0.6b-v2+qwen3-asr+paraformer-en",57,13.9314,85239
primock57,"parakeet-tdt-0.6b-v2+whisper-base-en+qwen3-asr",57,14.0605,85239
primock57,"whisper-turbo+sensevoice+sensevoice-no-itn",57,14.1062,85239
primock57,"whisper-turbo+sensevoice-no-itn+nemo-fastconformer",57,14.1250,85239
primock57,"whisper-distil-v3.5+whisper-turbo+qwen3-asr",57,14.1508,85239
primock57,"parakeet-tdt-0.6b-v2+sensevoice-no-itn+paraformer-en",57,14.1860,85239
primock57,"whisper-distil-v3.5+qwen3-asr+nemo-fastconformer",57,14.1930,85239
primock57,"whisper-distil-v3.5+sensevoice+qwen3-asr",57,14.2001,85239
