Model,Type,Wellbutrin (Psych),Lisinopril (PriMock57),Amoxicillin (PriMock57),Ramipril (OSCE),Rosuvastatin (OSCE),Lisinopril (OSCE)
Whisper distil-v3.5,On-device,12/19 (63%),6/6 (100%),6/6 (100%),29/29 (100%),8/9 (89%),5/5 (100%)
Whisper turbo,On-device,13/19 (68%),4/6 (67%),3/6 (50%),21/29 (72%),7/9 (78%),3/5 (60%)
Whisper base.en,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
Qwen3-ASR,On-device,18/19 (95%),3/6 (50%),5/6 (83%),9/29 (31%),7/9 (78%),1/5 (20%)
Parakeet-TDT-0.6b-v2,On-device,18/19 (95%),5/6 (83%),5/6 (83%),29/29 (100%),9/9 (100%),5/5 (100%)
SenseVoice,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
SenseVoice (no ITN),On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
Paraformer-en,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
NeMo FastConformer,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),8/9 (89%),5/5 (100%)
Nemotron,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
Zipformer,On-device,19/19 (100%),6/6 (100%),6/6 (100%),29/29 (100%),9/9 (100%),5/5 (100%)
MedASR,On-device,1/19 (5%),6/6 (100%),6/6 (100%),8/29 (28%),6/9 (67%),2/5 (40%)
Azure Speech,Cloud,1/19 (5%),2/6 (33%),2/6 (33%),1/29 (3%),4/9 (44%),1/5 (20%)
Google medical_conversation,Cloud,0/19 (0%),2/6 (33%),2/6 (33%),2/29 (7%),4/9 (44%),0/5 (0%)
Deepgram Nova-2 Medical,Cloud,1/19 (5%),1/6 (17%),2/6 (33%),8/29 (28%),0/9 (0%),1/5 (20%)
AssemblyAI,Cloud,1/19 (5%),1/6 (17%),2/6 (33%),1/29 (3%),0/9 (0%),0/5 (0%)
AWS Transcribe Medical,Cloud,0/19 (0%),1/6 (17%),1/6 (17%),0/29 (0%),0/9 (0%),0/5 (0%)
All on-device (pooled),On-device,195/228 (86%),66/72 (92%),67/72 (93%),299/348 (86%),99/108 (92%),51/60 (85%)
All cloud (pooled),Cloud,3/95 (3%),7/30 (23%),9/30 (30%),12/145 (8%),8/45 (18%),2/25 (8%)
