Model,Type,OSCE (n=272),PriMock57 (n=57),Psychiatric (n=71)
Whisper distil-v3.5,On-device,"93.1 [92.8, 93.5]","88.5 [87.2, 89.5]","91.9 [91.2, 92.5]"
Whisper turbo,On-device,"93.6 [93.2, 93.9]","88.8 [87.7, 89.7]","92.0 [91.3, 92.6]"
Whisper base.en,On-device,"89.1 [88.6, 89.6]","80.3 [78.5, 81.8]","91.2 [90.6, 91.9]"
Qwen3-ASR,On-device,"91.9 [91.5, 92.4]","87.0 [86.0, 88.0]","90.9 [90.1, 91.6]"
Parakeet-TDT-0.6b-v2,On-device,"87.2 [86.3, 88.0]","89.4 [88.3, 90.4]","91.8 [91.1, 92.4]"
SenseVoice (no ITN),On-device,"87.5 [86.9, 88.1]","78.1 [76.0, 79.6]","90.5 [89.8, 91.1]"
SenseVoice,On-device,"88.8 [88.3, 89.2]","77.8 [75.9, 79.3]","90.5 [89.8, 91.2]"
Paraformer-en,On-device,"76.9 [76.1, 77.7]","64.8 [62.5, 66.8]","88.1 [87.3, 88.8]"
NeMo FastConformer,On-device,"75.6 [74.7, 76.4]","63.8 [61.7, 65.8]","84.2 [83.4, 85.0]"
Nemotron,On-device,"60.0 [59.3, 60.8]","53.5 [52.0, 55.1]","52.4 [51.4, 53.3]"
Zipformer,On-device,"68.5 [67.7, 69.2]","57.7 [55.1, 60.1]","85.2 [84.3, 86.2]"
MedASR,On-device,"56.9 [53.5, 60.2]","13.9 [11.5, 16.4]","75.5 [71.5, 78.3]"
Azure Speech,Cloud (general),"95.5 [95.2, 95.7]","89.8 [88.9, 90.7]","93.0 [92.3, 93.5]"
Deepgram Nova-2 Medical,Cloud (medical),"95.4 [95.1, 95.6]","90.8 [90.0, 91.5]","92.4 [91.7, 93.0]"
AssemblyAI,Cloud (general),"95.4 [95.2, 95.7]","91.4 [90.4, 92.3]","92.0 [90.9, 92.8]"
AWS Transcribe Medical,Cloud (medical),"95.6 [95.4, 95.9]","92.3 [91.5, 93.1]","92.8 [92.2, 93.5]"
Google medical_conversation,Cloud (medical),"91.0 [90.4, 91.5]","76.5 [74.3, 78.3]","89.0 [88.1, 89.8]"
