dataset	drug	ref_n	source	count
primock57	lisinopril	6	cloud-assemblyai	8
primock57	lisinopril	6	cloud-aws	8
primock57	lisinopril	6	cloud-azure	6
primock57	lisinopril	6	cloud-deepgram	8
primock57	lisinopril	6	cloud-google	5
primock57	lisinopril	6	parakeet-tdt-0.6b-v2	1
primock57	lisinopril	6	whisper-distil-v3.5	0
primock57	lisinopril	6	whisper-turbo	3
primock57	lisinopril	6	medasr-int8	0
primock57	amoxicillin	4	cloud-assemblyai	5
primock57	amoxicillin	4	cloud-aws	6
primock57	amoxicillin	4	cloud-azure	5
primock57	amoxicillin	4	cloud-deepgram	5
primock57	amoxicillin	4	cloud-google	4
primock57	amoxicillin	4	parakeet-tdt-0.6b-v2	1
primock57	amoxicillin	4	whisper-distil-v3.5	1
primock57	amoxicillin	4	whisper-turbo	4
primock57	amoxicillin	4	medasr-int8	0
figshare-osce	ramipril	29	cloud-assemblyai	28
figshare-osce	ramipril	29	cloud-aws	30
figshare-osce	ramipril	29	cloud-azure	29
figshare-osce	ramipril	29	cloud-deepgram	23
figshare-osce	ramipril	29	cloud-google	28
figshare-osce	ramipril	29	parakeet-tdt-0.6b-v2	0
figshare-osce	ramipril	29	whisper-distil-v3.5	0
figshare-osce	ramipril	29	whisper-turbo	8
figshare-osce	ramipril	29	medasr-int8	22
figshare-osce	rosuvastatin	9	cloud-assemblyai	9
figshare-osce	rosuvastatin	9	cloud-aws	9
figshare-osce	rosuvastatin	9	cloud-azure	5
figshare-osce	rosuvastatin	9	cloud-deepgram	9
figshare-osce	rosuvastatin	9	cloud-google	5
figshare-osce	rosuvastatin	9	parakeet-tdt-0.6b-v2	0
figshare-osce	rosuvastatin	9	whisper-distil-v3.5	1
figshare-osce	rosuvastatin	9	whisper-turbo	2
figshare-osce	rosuvastatin	9	medasr-int8	3
figshare-osce	lisinopril	5	cloud-assemblyai	5
figshare-osce	lisinopril	5	cloud-aws	5
figshare-osce	lisinopril	5	cloud-azure	4
figshare-osce	lisinopril	5	cloud-deepgram	5
figshare-osce	lisinopril	5	cloud-google	5
figshare-osce	lisinopril	5	parakeet-tdt-0.6b-v2	0
figshare-osce	lisinopril	5	whisper-distil-v3.5	0
figshare-osce	lisinopril	5	whisper-turbo	2
figshare-osce	lisinopril	5	medasr-int8	3
