check	dataset	subject	result
category-denoms	nazmulkazi	all	{"ANATOMY": 928, "CONDITION": 2120, "DRUG": 1287, "FINDING": 7030, "LAB_RESULT": 31, "PROCEDURE": 1704, "SYMPTOM": 485}
model-top-category	nazmulkazi	whisper-distil-v3.5	DRUG (0.162; DRUG 0.162)
model-top-category	nazmulkazi	whisper-turbo	DRUG (0.134; DRUG 0.134)
model-top-category	nazmulkazi	whisper-base-en	DRUG (0.166; DRUG 0.166)
model-top-category	nazmulkazi	qwen3-asr	DRUG (0.171; DRUG 0.171)
model-top-category	nazmulkazi	parakeet-tdt-0.6b-v2	DRUG (0.160; DRUG 0.160)
model-top-category	nazmulkazi	nemo-fastconformer-int8	DRUG (0.235; DRUG 0.235)
model-top-category	nazmulkazi	nemotron	DRUG (0.530; DRUG 0.530)
model-top-category	nazmulkazi	zipformer-zh-en	DRUG (0.287; DRUG 0.287)
model-top-category	nazmulkazi	sensevoice	DRUG (0.187; DRUG 0.187)
model-top-category	nazmulkazi	sensevoice-no-itn	DRUG (0.190; DRUG 0.190)
model-top-category	nazmulkazi	medasr-int8	DRUG (0.290; DRUG 0.290)
model-top-category	nazmulkazi	paraformer-en	DRUG (0.218; DRUG 0.218)
model-top-category	nazmulkazi	cloud-azure	DRUG (0.106; DRUG 0.106)
model-top-category	nazmulkazi	cloud-google	DRUG (0.147; DRUG 0.147)
model-top-category	nazmulkazi	cloud-deepgram	DRUG (0.116; DRUG 0.116)
model-top-category	nazmulkazi	cloud-assemblyai	DRUG (0.117; DRUG 0.117)
model-top-category	nazmulkazi	cloud-aws	ANATOMY (0.043; DRUG 0.039)
drug-top-summary	nazmulkazi	paper models	DRUG highest for 16/17
pooled-mode-ranking	nazmulkazi	on-device	DRUG 0.228, PROCEDURE 0.176, CONDITION 0.168, ANATOMY 0.152, SYMPTOM 0.148, FINDING 0.121
pooled-mode-ranking	nazmulkazi	cloud	DRUG 0.105, PROCEDURE 0.097, ANATOMY 0.091, CONDITION 0.087, SYMPTOM 0.070, FINDING 0.050
drug-surface-count	nazmulkazi	wellbutrin cloud-assemblyai	20 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin cloud-aws	21 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin cloud-azure	19 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin cloud-deepgram	20 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin cloud-google	23 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin medasr-int8	20 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin medasr	20 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin nemo-fastconformer-int8	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin nemo-fastconformer	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin nemotron	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin paraformer-en	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin parakeet-tdt-0.6b-v2	1 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin qwen3-asr	1 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin sensevoice-no-itn	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin sensevoice	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin whisper-base-en	0 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin whisper-distil-v3.5	8 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin whisper-turbo	7 (reference 19)
drug-surface-count	nazmulkazi	wellbutrin zipformer-zh-en	1 (reference 19)
category-denoms	primock57	all	{"ANATOMY": 566, "CONDITION": 1061, "DRUG": 870, "FINDING": 2289, "LAB_RESULT": 2, "PROCEDURE": 763, "SYMPTOM": 1081}
model-top-category	primock57	whisper-distil-v3.5	DRUG (0.263; DRUG 0.263)
model-top-category	primock57	whisper-turbo	DRUG (0.229; DRUG 0.229)
model-top-category	primock57	whisper-base-en	DRUG (0.348; DRUG 0.348)
model-top-category	primock57	qwen3-asr	DRUG (0.277; DRUG 0.277)
model-top-category	primock57	parakeet-tdt-0.6b-v2	DRUG (0.243; DRUG 0.243)
model-top-category	primock57	nemo-fastconformer-int8	DRUG (0.532; DRUG 0.532)
model-top-category	primock57	nemotron	DRUG (0.546; DRUG 0.546)
model-top-category	primock57	zipformer-zh-en	DRUG (0.601; DRUG 0.601)
model-top-category	primock57	sensevoice	DRUG (0.378; DRUG 0.378)
model-top-category	primock57	sensevoice-no-itn	DRUG (0.371; DRUG 0.371)
model-top-category	primock57	medasr-int8	FINDING (0.881; DRUG 0.855)
model-top-category	primock57	paraformer-en	DRUG (0.522; DRUG 0.522)
model-top-category	primock57	cloud-azure	DRUG (0.208; DRUG 0.208)
model-top-category	primock57	cloud-google	DRUG (0.317; DRUG 0.317)
model-top-category	primock57	cloud-deepgram	DRUG (0.187; DRUG 0.187)
model-top-category	primock57	cloud-assemblyai	DRUG (0.175; DRUG 0.175)
model-top-category	primock57	cloud-aws	DRUG (0.051; DRUG 0.051)
drug-top-summary	primock57	paper models	DRUG highest for 16/17
pooled-mode-ranking	primock57	on-device	DRUG 0.430, CONDITION 0.327, SYMPTOM 0.303, PROCEDURE 0.273, ANATOMY 0.263, FINDING 0.248
pooled-mode-ranking	primock57	cloud	DRUG 0.188, CONDITION 0.131, PROCEDURE 0.104, ANATOMY 0.095, SYMPTOM 0.087, FINDING 0.083
drug-surface-count	primock57	lisinopril cloud-assemblyai	8 (reference 6)
drug-surface-count	primock57	lisinopril cloud-aws	8 (reference 6)
drug-surface-count	primock57	lisinopril cloud-azure	6 (reference 6)
drug-surface-count	primock57	lisinopril cloud-deepgram	8 (reference 6)
drug-surface-count	primock57	lisinopril cloud-google	5 (reference 6)
drug-surface-count	primock57	lisinopril medasr-int8	0 (reference 6)
drug-surface-count	primock57	lisinopril medasr	0 (reference 6)
drug-surface-count	primock57	lisinopril nemo-fastconformer-int8	0 (reference 6)
drug-surface-count	primock57	lisinopril nemo-fastconformer	0 (reference 6)
drug-surface-count	primock57	lisinopril nemotron	0 (reference 6)
drug-surface-count	primock57	lisinopril paraformer-en	0 (reference 6)
drug-surface-count	primock57	lisinopril parakeet-tdt-0.6b-v2	1 (reference 6)
drug-surface-count	primock57	lisinopril qwen3-asr	5 (reference 6)
drug-surface-count	primock57	lisinopril sensevoice-no-itn	0 (reference 6)
drug-surface-count	primock57	lisinopril sensevoice	0 (reference 6)
drug-surface-count	primock57	lisinopril whisper-base-en	0 (reference 6)
drug-surface-count	primock57	lisinopril whisper-distil-v3.5	0 (reference 6)
drug-surface-count	primock57	lisinopril whisper-turbo	3 (reference 6)
drug-surface-count	primock57	lisinopril zipformer-zh-en	0 (reference 6)
drug-surface-count	primock57	amoxicillin cloud-assemblyai	5 (reference 4)
drug-surface-count	primock57	amoxicillin cloud-aws	6 (reference 4)
drug-surface-count	primock57	amoxicillin cloud-azure	5 (reference 4)
drug-surface-count	primock57	amoxicillin cloud-deepgram	5 (reference 4)
drug-surface-count	primock57	amoxicillin cloud-google	4 (reference 4)
drug-surface-count	primock57	amoxicillin medasr-int8	0 (reference 4)
drug-surface-count	primock57	amoxicillin medasr	0 (reference 4)
drug-surface-count	primock57	amoxicillin nemo-fastconformer-int8	0 (reference 4)
drug-surface-count	primock57	amoxicillin nemo-fastconformer	0 (reference 4)
drug-surface-count	primock57	amoxicillin nemotron	0 (reference 4)
drug-surface-count	primock57	amoxicillin paraformer-en	0 (reference 4)
drug-surface-count	primock57	amoxicillin parakeet-tdt-0.6b-v2	1 (reference 4)
drug-surface-count	primock57	amoxicillin qwen3-asr	1 (reference 4)
drug-surface-count	primock57	amoxicillin sensevoice-no-itn	0 (reference 4)
drug-surface-count	primock57	amoxicillin sensevoice	0 (reference 4)
drug-surface-count	primock57	amoxicillin whisper-base-en	0 (reference 4)
drug-surface-count	primock57	amoxicillin whisper-distil-v3.5	1 (reference 4)
drug-surface-count	primock57	amoxicillin whisper-turbo	4 (reference 4)
drug-surface-count	primock57	amoxicillin zipformer-zh-en	0 (reference 4)
category-denoms	figshare-osce	all	{"ANATOMY": 2897, "CONDITION": 5203, "DRUG": 3948, "FINDING": 9203, "LAB_RESULT": 47, "PROCEDURE": 3740, "SYMPTOM": 7099}
model-top-category	figshare-osce	whisper-distil-v3.5	DRUG (0.105; DRUG 0.105)
model-top-category	figshare-osce	whisper-turbo	DRUG (0.089; DRUG 0.089)
model-top-category	figshare-osce	whisper-base-en	DRUG (0.184; DRUG 0.184)
model-top-category	figshare-osce	qwen3-asr	DRUG (0.114; DRUG 0.114)
model-top-category	figshare-osce	parakeet-tdt-0.6b-v2	DRUG (0.178; DRUG 0.178)
model-top-category	figshare-osce	nemo-fastconformer-int8	DRUG (0.317; DRUG 0.317)
model-top-category	figshare-osce	nemotron	DRUG (0.416; DRUG 0.416)
model-top-category	figshare-osce	zipformer-zh-en	CONDITION (0.448; DRUG 0.401)
model-top-category	figshare-osce	sensevoice	DRUG (0.181; DRUG 0.181)
model-top-category	figshare-osce	sensevoice-no-itn	DRUG (0.185; DRUG 0.185)
model-top-category	figshare-osce	medasr-int8	DRUG (0.492; DRUG 0.492)
model-top-category	figshare-osce	paraformer-en	DRUG (0.320; DRUG 0.320)
model-top-category	figshare-osce	cloud-azure	PROCEDURE (0.066; DRUG 0.053)
model-top-category	figshare-osce	cloud-google	PROCEDURE (0.119; DRUG 0.100)
model-top-category	figshare-osce	cloud-deepgram	SYMPTOM (0.059; DRUG 0.048)
model-top-category	figshare-osce	cloud-assemblyai	PROCEDURE (0.062; DRUG 0.055)
model-top-category	figshare-osce	cloud-aws	ABSENT from analysis json
drug-top-summary	figshare-osce	paper models	DRUG highest for 11/16
pooled-mode-ranking	figshare-osce	on-device	DRUG 0.249, SYMPTOM 0.208, PROCEDURE 0.193, CONDITION 0.192, ANATOMY 0.169, FINDING 0.165
pooled-mode-ranking	figshare-osce	cloud	PROCEDURE 0.076, SYMPTOM 0.068, ANATOMY 0.067, DRUG 0.064, FINDING 0.044, CONDITION 0.042
drug-surface-count	figshare-osce	ramipril cloud-assemblyai	28 (reference 29)
drug-surface-count	figshare-osce	ramipril cloud-aws	30 (reference 29)
drug-surface-count	figshare-osce	ramipril cloud-azure	29 (reference 29)
drug-surface-count	figshare-osce	ramipril cloud-deepgram	23 (reference 29)
drug-surface-count	figshare-osce	ramipril cloud-google	28 (reference 29)
