dataset	fid	seconds
figshare-osce	CAR0001	625.77
figshare-osce	CAR0002	530.35
figshare-osce	CAR0003	714.03
figshare-osce	CAR0004	448.29
figshare-osce	CAR0005	626.92
figshare-osce	DER0001	645.89
figshare-osce	GAS0001	570.76
figshare-osce	GAS0002	585.20
figshare-osce	GAS0003	522.02
figshare-osce	GAS0004	646.80
figshare-osce	GAS0005	828.85
figshare-osce	GAS0007	398.51
figshare-osce	GEN0001	467.58
figshare-osce	MSK0001	529.88
figshare-osce	MSK0003	931.86
figshare-osce	MSK0004	569.06
figshare-osce	MSK0005	825.02
figshare-osce	MSK0006	961.19
figshare-osce	MSK0007	813.16
figshare-osce	MSK0008	874.22
figshare-osce	MSK0009	925.63
figshare-osce	MSK0010	815.21
figshare-osce	MSK0011	745.67
figshare-osce	MSK0012	852.09
figshare-osce	MSK0013	905.44
figshare-osce	MSK0014	845.79
figshare-osce	MSK0015	881.29
figshare-osce	MSK0016	1100.18
figshare-osce	MSK0017	925.50
figshare-osce	MSK0018	514.57
figshare-osce	MSK0019	712.54
figshare-osce	MSK0020	928.44
figshare-osce	MSK0021	874.63
figshare-osce	MSK0022	1060.31
figshare-osce	MSK0023	582.25
figshare-osce	MSK0024	635.75
figshare-osce	MSK0025	778.48
figshare-osce	MSK0026	776.18
figshare-osce	MSK0027	738.00
figshare-osce	MSK0028	940.48
figshare-osce	MSK0029	1114.66
figshare-osce	MSK0031	662.59
figshare-osce	MSK0032	644.58
figshare-osce	MSK0033	785.46
figshare-osce	MSK0034	740.28
figshare-osce	MSK0035	821.69
figshare-osce	MSK0036	952.89
figshare-osce	MSK0037	913.51
figshare-osce	MSK0038	1031.07
figshare-osce	MSK0039	708.28
figshare-osce	MSK0040	809.71
figshare-osce	MSK0041	921.69
figshare-osce	MSK0042	873.33
figshare-osce	MSK0043	884.99
figshare-osce	MSK0044	557.14
figshare-osce	MSK0045	682.61
figshare-osce	MSK0046	620.61
figshare-osce	MSK0049	759.41
figshare-osce	MSK0050	729.55
figshare-osce	RES0001	798.98
figshare-osce	RES0002	656.37
figshare-osce	RES0003	660.39
figshare-osce	RES0004	902.14
figshare-osce	RES0005	821.68
figshare-osce	RES0006	668.54
figshare-osce	RES0007	946.74
figshare-osce	RES0008	562.01
