dataset	drug	model	errors	occurrences	rate
nazmulkazi	wellbutrin	cloud-assemblyai	1	19	0.0526
nazmulkazi	wellbutrin	cloud-aws	0	19	0.0000
nazmulkazi	wellbutrin	cloud-azure	1	19	0.0526
nazmulkazi	wellbutrin	cloud-deepgram	1	19	0.0526
nazmulkazi	wellbutrin	cloud-google	0	19	0.0000
nazmulkazi	wellbutrin	medasr-int8	1	19	0.0526
nazmulkazi	wellbutrin	nemo-fastconformer-int8	19	19	1.0000
nazmulkazi	wellbutrin	nemotron	19	19	1.0000
nazmulkazi	wellbutrin	paraformer-en	19	19	1.0000
nazmulkazi	wellbutrin	parakeet-tdt-0.6b-v2	18	19	0.9474
nazmulkazi	wellbutrin	qwen3-asr	18	19	0.9474
nazmulkazi	wellbutrin	sensevoice	19	19	1.0000
nazmulkazi	wellbutrin	sensevoice-no-itn	19	19	1.0000
nazmulkazi	wellbutrin	whisper-base-en	19	19	1.0000
nazmulkazi	wellbutrin	whisper-distil-v3.5	12	19	0.6316
nazmulkazi	wellbutrin	whisper-turbo	13	19	0.6842
nazmulkazi	wellbutrin	zipformer-zh-en	19	19	1.0000
nazmulkazi	wellbutrin	POOLED-PAPER-17	198	323	0.6130
primock57	lisinopril	cloud-assemblyai	1	6	0.1667
primock57	lisinopril	cloud-aws	1	6	0.1667
primock57	lisinopril	cloud-azure	2	6	0.3333
primock57	lisinopril	cloud-deepgram	1	6	0.1667
primock57	lisinopril	cloud-google	2	6	0.3333
primock57	lisinopril	medasr-int8	6	6	1.0000
primock57	lisinopril	nemo-fastconformer-int8	6	6	1.0000
primock57	lisinopril	nemotron	6	6	1.0000
primock57	lisinopril	paraformer-en	6	6	1.0000
primock57	lisinopril	parakeet-tdt-0.6b-v2	5	6	0.8333
primock57	lisinopril	qwen3-asr	3	6	0.5000
primock57	lisinopril	sensevoice	6	6	1.0000
primock57	lisinopril	sensevoice-no-itn	6	6	1.0000
primock57	lisinopril	whisper-base-en	6	6	1.0000
primock57	lisinopril	whisper-distil-v3.5	6	6	1.0000
primock57	lisinopril	whisper-turbo	4	6	0.6667
primock57	lisinopril	zipformer-zh-en	6	6	1.0000
primock57	lisinopril	POOLED-PAPER-17	73	102	0.7157
primock57	amoxicillin	cloud-assemblyai	2	6	0.3333
primock57	amoxicillin	cloud-aws	1	6	0.1667
primock57	amoxicillin	cloud-azure	2	6	0.3333
primock57	amoxicillin	cloud-deepgram	2	6	0.3333
primock57	amoxicillin	cloud-google	2	6	0.3333
primock57	amoxicillin	medasr-int8	6	6	1.0000
primock57	amoxicillin	nemo-fastconformer-int8	6	6	1.0000
primock57	amoxicillin	nemotron	6	6	1.0000
primock57	amoxicillin	paraformer-en	6	6	1.0000
primock57	amoxicillin	parakeet-tdt-0.6b-v2	5	6	0.8333
primock57	amoxicillin	qwen3-asr	5	6	0.8333
primock57	amoxicillin	sensevoice	6	6	1.0000
primock57	amoxicillin	sensevoice-no-itn	6	6	1.0000
primock57	amoxicillin	whisper-base-en	6	6	1.0000
primock57	amoxicillin	whisper-distil-v3.5	6	6	1.0000
primock57	amoxicillin	whisper-turbo	3	6	0.5000
primock57	amoxicillin	zipformer-zh-en	6	6	1.0000
primock57	amoxicillin	POOLED-PAPER-17	76	102	0.7451
figshare-osce	ramipril	cloud-assemblyai	1	29	0.0345
figshare-osce	ramipril	cloud-aws	0	29	0.0000
figshare-osce	ramipril	cloud-azure	1	29	0.0345
figshare-osce	ramipril	cloud-deepgram	8	29	0.2759
figshare-osce	ramipril	cloud-google	2	29	0.0690
figshare-osce	ramipril	medasr-int8	8	29	0.2759
figshare-osce	ramipril	nemo-fastconformer-int8	29	29	1.0000
figshare-osce	ramipril	nemotron	29	29	1.0000
figshare-osce	ramipril	paraformer-en	29	29	1.0000
figshare-osce	ramipril	parakeet-tdt-0.6b-v2	29	29	1.0000
figshare-osce	ramipril	qwen3-asr	9	29	0.3103
figshare-osce	ramipril	sensevoice	29	29	1.0000
figshare-osce	ramipril	sensevoice-no-itn	29	29	1.0000
figshare-osce	ramipril	whisper-base-en	29	29	1.0000
figshare-osce	ramipril	whisper-distil-v3.5	29	29	1.0000
figshare-osce	ramipril	whisper-turbo	21	29	0.7241
figshare-osce	ramipril	zipformer-zh-en	29	29	1.0000
figshare-osce	ramipril	POOLED-PAPER-17	311	493	0.6308
figshare-osce	rosuvastatin	cloud-assemblyai	0	9	0.0000
figshare-osce	rosuvastatin	cloud-aws	0	9	0.0000
figshare-osce	rosuvastatin	cloud-azure	4	9	0.4444
figshare-osce	rosuvastatin	cloud-deepgram	0	9	0.0000
figshare-osce	rosuvastatin	cloud-google	4	9	0.4444
figshare-osce	rosuvastatin	medasr-int8	6	9	0.6667
figshare-osce	rosuvastatin	nemo-fastconformer-int8	8	9	0.8889
figshare-osce	rosuvastatin	nemotron	9	9	1.0000
figshare-osce	rosuvastatin	paraformer-en	9	9	1.0000
