subdir	provider	files	ref_words_total	hyp_words_total	mean_ref_words	mean_hyp_words	avg_disfl_ref	avg_disfl_hyp
benchmark_results_cloud_figshare-osce	assemblyai	272	357484	345947	1314.3	1271.9	49.71	29.54
benchmark_results_cloud_figshare-osce	azure	272	357484	354100	1314.3	1301.8	49.71	16.58
benchmark_results_cloud_figshare-osce	deepgram	272	357484	355073	1314.3	1305.4	49.71	16.67
benchmark_results_cloud_figshare-osce	google	272	357484	545992	1314.3	2007.3	49.71	162.18
benchmark_results_cloud_primock57	assemblyai	57	85914	76507	1507.3	1342.2	89.98	19.04
benchmark_results_cloud_primock57	aws	17	27534	27085	1619.6	1593.2	94.82	89.82
benchmark_results_cloud_primock57	azure	57	85914	79640	1507.3	1397.2	89.98	20.40
benchmark_results_cloud_primock57	deepgram	57	85914	80665	1507.3	1415.2	89.98	21.40
benchmark_results_cloud_primock57	google	57	85914	116419	1507.3	2042.4	89.98	113.98
benchmark_results_cloud_nazmulkazi	assemblyai	71	292937	292143	4125.9	4114.7	34.35	38.93
benchmark_results_cloud_nazmulkazi	aws	21	99834	101121	4754.0	4815.3	38.33	56.10
benchmark_results_cloud_nazmulkazi	azure	71	292937	295941	4125.9	4168.2	34.35	37.42
benchmark_results_cloud_nazmulkazi	deepgram	71	292937	295861	4125.9	4167.1	34.35	38.10
benchmark_results_cloud_nazmulkazi	google	67	256853	324301	3833.6	4840.3	33.76	48.28
