pattern	dataset	rank	model	recovery_pct	n_correct	n_alignable
LATERALITY	figshare-osce	1	paraformer-en	76.5	75	98
LATERALITY	figshare-osce	2	cloud-google	72.7	72	99
LATERALITY	figshare-osce	3	cloud-azure	69.8	67	96
LATERALITY	figshare-osce	4	cloud-deepgram	69.5	66	95
LATERALITY	figshare-osce	5	whisper-distil-v3.5	71.0	66	93
LATERALITY	figshare-osce	6	sensevoice-no-itn	69.9	65	93
LATERALITY	figshare-osce	7	zipformer-zh-en	73.0	65	89
LATERALITY	figshare-osce	8	whisper-base-en	71.1	64	90
LATERALITY	figshare-osce	9	nemo-fastconformer	72.4	63	87
LATERALITY	figshare-osce	10	sensevoice	69.2	63	91
LATERALITY	nazmulkazi	1	medasr-int8	46.6	27	58
LATERALITY	nazmulkazi	2	medasr	43.9	25	57
LATERALITY	nazmulkazi	3	zipformer-zh-en	31.0	22	71
LATERALITY	nazmulkazi	4	cloud-google	28.1	18	64
LATERALITY	nazmulkazi	5	nemo-fastconformer-int8	31.6	18	57
LATERALITY	nazmulkazi	6	paraformer-en	25.7	18	70
LATERALITY	nazmulkazi	7	whisper-base-en	23.2	16	69
LATERALITY	nazmulkazi	8	nemo-fastconformer	26.3	15	57
LATERALITY	nazmulkazi	9	qwen3-asr	21.1	15	71
LATERALITY	nazmulkazi	10	sensevoice-no-itn	20.3	14	69
LATERALITY	primock57	1	cloud-google	42.6	23	54
LATERALITY	primock57	2	paraformer-en	34.5	19	55
LATERALITY	primock57	3	cloud-azure	36.0	18	50
LATERALITY	primock57	4	cloud-deepgram	30.5	18	59
LATERALITY	primock57	5	parakeet-tdt-medical-ep2-clean	36.4	16	44
LATERALITY	primock57	6	whisper-distil-v3.5	30.8	16	52
LATERALITY	primock57	7	cloud-assemblyai	35.7	15	42
LATERALITY	primock57	8	parakeet-unified-0.6b	32.6	15	46
LATERALITY	primock57	9	qwen3-asr	28.6	14	49
LATERALITY	primock57	10	whisper-base-en	34.1	14	41
NEGATION_FLIP	figshare-osce	1	nemotron	37.1	1065	2869
NEGATION_FLIP	figshare-osce	2	zipformer-zh-en	28.4	984	3465
NEGATION_FLIP	figshare-osce	3	cloud-google	23.8	871	3654
NEGATION_FLIP	figshare-osce	4	medasr	46.9	790	1683
NEGATION_FLIP	figshare-osce	5	medasr-int8	46.4	786	1693
NEGATION_FLIP	figshare-osce	6	cloud-azure	20.5	752	3668
NEGATION_FLIP	figshare-osce	7	qwen3-asr	20.2	723	3581
NEGATION_FLIP	figshare-osce	8	cloud-deepgram	19.0	698	3680
NEGATION_FLIP	figshare-osce	9	sensevoice-no-itn	18.5	644	3479
NEGATION_FLIP	figshare-osce	10	paraformer-en	17.9	622	3478
NEGATION_FLIP	nazmulkazi	1	paraformer-en	38.2	183	479
NEGATION_FLIP	nazmulkazi	2	medasr	43.3	171	395
NEGATION_FLIP	nazmulkazi	3	medasr-int8	43.7	171	391
NEGATION_FLIP	nazmulkazi	4	cloud-google	29.5	124	421
NEGATION_FLIP	nazmulkazi	5	zipformer-zh-en	22.1	105	476
NEGATION_FLIP	nazmulkazi	6	nemo-fastconformer-int8	21.7	92	424
NEGATION_FLIP	nazmulkazi	7	nemotron	26.7	90	337
NEGATION_FLIP	nazmulkazi	8	nemo-fastconformer	21.0	88	419
NEGATION_FLIP	nazmulkazi	9	cloud-azure	17.4	84	482
NEGATION_FLIP	nazmulkazi	10	whisper-base-en	16.2	76	468
NEGATION_FLIP	primock57	1	cloud-deepgram	65.7	165	251
NEGATION_FLIP	primock57	2	cloud-google	61.0	164	269
NEGATION_FLIP	primock57	3	cloud-azure	67.0	148	221
NEGATION_FLIP	primock57	4	whisper-distil-v3.5	56.4	124	220
NEGATION_FLIP	primock57	5	qwen3-asr	56.8	121	213
NEGATION_FLIP	primock57	6	zipformer-zh-en	53.1	111	209
NEGATION_FLIP	primock57	7	sensevoice-no-itn	51.4	89	173
NEGATION_FLIP	primock57	8	paraformer-en	40.3	83	206
NEGATION_FLIP	primock57	9	whisper-base-en	48.0	83	173
NEGATION_FLIP	primock57	10	parakeet-tdt-medical-ep2-clean	51.6	82	159
NUMERIC	figshare-osce	1	cloud-assemblyai	48.0	462	962
NUMERIC	figshare-osce	2	cloud-azure	44.7	431	965
NUMERIC	figshare-osce	3	whisper-distil-v3.5	28.9	276	954
NUMERIC	figshare-osce	4	sensevoice	29.7	265	893
NUMERIC	figshare-osce	5	whisper-base-en	28.2	265	940
NUMERIC	figshare-osce	6	whisper-turbo	27.6	255	925
NUMERIC	figshare-osce	7	cloud-deepgram	24.4	239	980
NUMERIC	figshare-osce	8	cloud-google	22.8	218	956
NUMERIC	figshare-osce	9	sensevoice-no-itn	23.1	208	901
NUMERIC	figshare-osce	10	medasr	32.8	192	586
NUMERIC	nazmulkazi	1	cloud-assemblyai	30.0	157	523
NUMERIC	nazmulkazi	2	cloud-azure	22.3	117	524
NUMERIC	nazmulkazi	3	cloud-google	17.9	85	474
NUMERIC	nazmulkazi	4	medasr	16.2	73	452
NUMERIC	nazmulkazi	5	medasr-int8	16.3	73	449
NUMERIC	nazmulkazi	6	zipformer-zh-en	10.2	55	538
NUMERIC	nazmulkazi	7	nemo-fastconformer-int8	10.3	52	507
NUMERIC	nazmulkazi	8	nemo-fastconformer	9.9	50	504
NUMERIC	nazmulkazi	9	paraformer-en	9.3	50	540
NUMERIC	nazmulkazi	10	sensevoice	9.8	50	511
NUMERIC	primock57	1	paraformer-en	45.6	149	327
NUMERIC	primock57	2	zipformer-zh-en	44.6	144	323
NUMERIC	primock57	3	nemo-fastconformer-int8	44.6	108	242
NUMERIC	primock57	4	qwen3-asr	34.4	105	305
NUMERIC	primock57	5	nemo-fastconformer	43.8	95	217
NUMERIC	primock57	6	sensevoice-no-itn	34.1	89	261
NUMERIC	primock57	7	cloud-google	21.2	66	311
NUMERIC	primock57	8	cloud-deepgram	22.0	65	295
NUMERIC	primock57	9	canary-180m-flash	39.3	64	163
NUMERIC	primock57	10	whisper-base-en	13.1	35	267
