pattern	dataset	model	n_parakeet_errors	n_correct	n_wrong	n_unalignable	recovery_pct
LATERALITY	primock57	canary-180m-flash	69	4	18	47	18.2
LATERALITY	primock57	cloud-assemblyai	69	15	27	27	35.7
LATERALITY	primock57	cloud-aws	22	7	11	4	38.9
LATERALITY	primock57	cloud-azure	69	18	32	19	36.0
LATERALITY	primock57	cloud-deepgram	69	18	41	10	30.5
LATERALITY	primock57	cloud-google	69	23	31	15	42.6
LATERALITY	primock57	medasr	69	2	3	64	40.0
LATERALITY	primock57	medasr-int8	69	3	3	63	50.0
LATERALITY	primock57	nemo-fastconformer	69	7	4	58	63.6
LATERALITY	primock57	nemo-fastconformer-int8	69	8	5	56	61.5
LATERALITY	primock57	nemotron	69	12	19	38	38.7
LATERALITY	primock57	paraformer-en	69	19	36	14	34.5
LATERALITY	primock57	parakeet-tdt-medical-ep2-clean	61	16	28	17	36.4
LATERALITY	primock57	parakeet-unified-0.6b	69	15	31	23	32.6
LATERALITY	primock57	qwen3-asr	69	14	35	20	28.6
LATERALITY	primock57	sensevoice	69	8	23	38	25.8
LATERALITY	primock57	sensevoice-no-itn	69	10	23	36	30.3
LATERALITY	primock57	whisper-base-en	69	14	27	28	34.1
LATERALITY	primock57	whisper-distil-v3.5	69	16	36	17	30.8
LATERALITY	primock57	whisper-turbo	69	10	27	32	27.0
LATERALITY	primock57	zipformer-zh-en	69	13	35	21	27.1
NEGATION_FLIP	primock57	canary-180m-flash	296	75	50	171	60.0
NEGATION_FLIP	primock57	cloud-assemblyai	296	72	84	140	46.2
NEGATION_FLIP	primock57	cloud-aws	104	57	33	14	63.3
NEGATION_FLIP	primock57	cloud-azure	296	148	73	75	67.0
NEGATION_FLIP	primock57	cloud-deepgram	296	165	86	45	65.7
NEGATION_FLIP	primock57	cloud-google	296	164	105	27	61.0
NEGATION_FLIP	primock57	medasr	296	8	5	283	61.5
NEGATION_FLIP	primock57	medasr-int8	296	8	5	283	61.5
NEGATION_FLIP	primock57	nemo-fastconformer	296	55	34	207	61.8
NEGATION_FLIP	primock57	nemo-fastconformer-int8	296	61	44	191	58.1
NEGATION_FLIP	primock57	nemotron	296	57	75	164	43.2
NEGATION_FLIP	primock57	paraformer-en	296	83	123	90	40.3
NEGATION_FLIP	primock57	parakeet-tdt-medical-ep2-clean	219	82	77	60	51.6
NEGATION_FLIP	primock57	parakeet-unified-0.6b	296	71	87	138	44.9
NEGATION_FLIP	primock57	qwen3-asr	296	121	92	83	56.8
NEGATION_FLIP	primock57	sensevoice	296	69	77	150	47.3
NEGATION_FLIP	primock57	sensevoice-no-itn	296	89	84	123	51.4
NEGATION_FLIP	primock57	whisper-base-en	296	83	90	123	48.0
NEGATION_FLIP	primock57	whisper-distil-v3.5	296	124	96	76	56.4
NEGATION_FLIP	primock57	whisper-turbo	296	73	74	149	49.7
NEGATION_FLIP	primock57	zipformer-zh-en	296	111	98	87	53.1
NUMERIC	primock57	canary-180m-flash	370	64	99	207	39.3
NUMERIC	primock57	cloud-assemblyai	370	12	245	113	4.7
