pattern	dataset	models_added	recovery_count	recovery_pct_of_total
LATERALITY	figshare-osce	paraformer-en	75	75.0
LATERALITY	figshare-osce	paraformer-en,cloud-google	81	81.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure	83	83.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram	84	84.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5	87	87.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5,sensevoice-no-itn	87	87.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5,sensevoice-no-itn,zipformer-zh-en	87	87.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5,sensevoice-no-itn,zipformer-zh-en,whisper-base-en	89	89.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5,sensevoice-no-itn,zipformer-zh-en,whisper-base-en,nemo-fastconformer	90	90.0
LATERALITY	figshare-osce	paraformer-en,cloud-google,cloud-azure,cloud-deepgram,whisper-distil-v3.5,sensevoice-no-itn,zipformer-zh-en,whisper-base-en,nemo-fastconformer,sensevoice	90	90.0
LATERALITY	nazmulkazi	medasr-int8	27	34.6
LATERALITY	nazmulkazi	medasr-int8,medasr	28	35.9
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en	36	46.2
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google	41	52.6
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8	45	57.7
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8,paraformer-en	46	59.0
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8,paraformer-en,whisper-base-en	47	60.3
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8,paraformer-en,whisper-base-en,nemo-fastconformer	47	60.3
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8,paraformer-en,whisper-base-en,nemo-fastconformer,qwen3-asr	48	61.5
LATERALITY	nazmulkazi	medasr-int8,medasr,zipformer-zh-en,cloud-google,nemo-fastconformer-int8,paraformer-en,whisper-base-en,nemo-fastconformer,qwen3-asr,sensevoice-no-itn	48	61.5
LATERALITY	primock57	cloud-google	23	33.3
LATERALITY	primock57	cloud-google,paraformer-en	29	42.0
LATERALITY	primock57	cloud-google,paraformer-en,cloud-azure	32	46.4
LATERALITY	primock57	cloud-google,paraformer-en,cloud-azure,cloud-deepgram	36	52.2
LATERALITY	primock57	cloud-google,paraformer-en,cloud-azure,cloud-deepgram,parakeet-tdt-medical-ep2-clean	36	52.2
LATERALITY	primock57	cloud-google,paraformer-en,cloud-azure,cloud-deepgram,parakeet-tdt-medical-ep2-clean,whisper-distil-v3.5	37	53.6
