dataset	file_id	parakeet_drug_errors	parakeet_drug_total	fused_drug_errors	fused_drug_total	fusion_subs_acoustic	fusion_subs_anchor
primock57	day1_consultation01	2	11	2	11	0	0
primock57	day1_consultation02	3	24	2	24	1	0
primock57	day1_consultation03	3	17	3	17	0	0
primock57	day1_consultation04	2	8	2	8	0	0
primock57	day1_consultation05	6	17	6	17	0	0
primock57	day1_consultation06	5	18	5	18	0	0
primock57	day1_consultation07	8	21	8	21	0	0
primock57	day1_consultation08	2	12	2	12	0	0
primock57	day1_consultation09	3	12	2	12	1	0
primock57	day1_consultation10	8	28	8	28	0	0
primock57	day1_consultation11	2	13	2	13	0	0
primock57	day1_consultation12	4	10	4	10	0	0
primock57	day1_consultation13	7	23	7	23	0	0
primock57	day1_consultation14	3	21	3	21	0	0
primock57	day1_consultation15	4	10	4	10	0	0
primock57	day2_consultation01	1	11	1	11	0	0
primock57	day2_consultation02	1	9	1	9	0	0
primock57	day2_consultation03	6	12	6	12	0	0
primock57	day2_consultation04	1	8	1	8	0	0
primock57	day2_consultation05	0	8	0	8	0	0
primock57	day2_consultation06	5	17	5	17	0	0
primock57	day2_consultation07	1	7	1	7	0	0
primock57	day2_consultation08	3	17	3	17	0	0
primock57	day2_consultation09	3	7	3	7	0	0
primock57	day2_consultation10	4	22	4	22	0	0
primock57	day3_consultation01	9	23	9	23	0	0
primock57	day3_consultation02	0	10	0	10	0	0
primock57	day3_consultation03	2	9	2	9	0	0
primock57	day3_consultation04	7	20	7	20	0	0
primock57	day3_consultation05	1	11	1	11	0	0
primock57	day3_consultation06	2	6	2	6	0	0
primock57	day3_consultation07	6	22	6	22	0	0
primock57	day3_consultation08	4	22	4	22	0	0
primock57	day3_consultation09	13	31	13	31	0	0
primock57	day3_consultation10	7	15	7	15	0	0
primock57	day4_consultation01	0	9	0	9	0	0
primock57	day4_consultation02	0	10	0	10	0	0
primock57	day4_consultation03	6	19	6	19	0	0
primock57	day4_consultation04	1	8	1	8	0	0
primock57	day4_consultation05	2	7	2	7	0	0
primock57	day4_consultation06	2	19	2	19	0	0
primock57	day4_consultation07	1	18	1	18	0	0
primock57	day4_consultation08	3	8	3	8	0	0
primock57	day4_consultation09	12	25	10	25	2	0
primock57	day4_consultation10	5	10	5	10	0	0
primock57	day5_consultation01	3	17	3	17	0	0
primock57	day5_consultation02	3	14	3	14	0	0
primock57	day5_consultation03	0	22	0	22	0	0
primock57	day5_consultation04	1	7	1	7	0	0
primock57	day5_consultation05	1	7	1	7	0	0
primock57	day5_consultation06	3	20	3	20	0	0
primock57	day5_consultation07	4	20	4	20	0	0
primock57	day5_consultation08	8	24	8	24	0	0
primock57	day5_consultation09	1	10	1	10	0	0
primock57	day5_consultation10	8	23	8	23	0	0
primock57	day5_consultation11	7	32	7	32	0	0
primock57	day5_consultation12	2	12	2	12	0	0
figshare-osce	CAR0001	0	9	0	9	0	0
figshare-osce	CAR0002	11	18	9	18	2	0
figshare-osce	CAR0003	3	15	3	15	0	0
figshare-osce	CAR0004	2	6	2	6	0	0
figshare-osce	CAR0005	0	9	0	9	0	0
figshare-osce	DER0001	5	18	5	18	0	0
figshare-osce	GAS0001	0	7	0	7	0	0
figshare-osce	GAS0002	0	6	0	6	0	0
figshare-osce	GAS0003	1	8	1	8	0	0
figshare-osce	GAS0004	0	7	0	7	0	0
figshare-osce	GAS0005	0	10	0	10	0	0
figshare-osce	GAS0007	2	5	2	5	0	0
figshare-osce	GEN0001	0	6	0	6	0	0
figshare-osce	MSK0001	1	8	1	8	0	0
figshare-osce	MSK0003	0	11	0	11	0	0
figshare-osce	MSK0004	4	13	4	13	0	0
figshare-osce	MSK0005	3	13	3	13	0	0
figshare-osce	MSK0006	2	14	2	14	0	0
figshare-osce	MSK0007	0	13	0	13	0	0
figshare-osce	MSK0008	1	7	1	7	0	0
figshare-osce	MSK0009	2	9	1	9	1	0
figshare-osce	MSK0010	2	9	2	9	0	0
figshare-osce	MSK0011	2	7	2	7	0	0
figshare-osce	MSK0012	1	14	1	14	0	0
figshare-osce	MSK0013	3	13	2	13	1	0
figshare-osce	MSK0014	2	11	2	11	0	0
figshare-osce	MSK0015	1	12	1	12	0	0
figshare-osce	MSK0016	3	23	3	23	0	0
figshare-osce	MSK0017	4	8	4	8	0	0
figshare-osce	MSK0018	0	1	0	1	0	0
figshare-osce	MSK0019	1	10	1	10	0	0
figshare-osce	MSK0020	6	12	6	12	0	0
figshare-osce	MSK0021	2	6	2	6	0	0
figshare-osce	MSK0022	1	17	1	17	0	0
figshare-osce	MSK0023	0	8	0	8	0	0
figshare-osce	MSK0024	2	8	2	8	0	0
figshare-osce	MSK0025	2	13	2	13	0	0
figshare-osce	MSK0026	2	10	2	10	0	0
figshare-osce	MSK0027	0	9	0	9	0	0
figshare-osce	MSK0028	0	8	0	8	0	0
figshare-osce	MSK0029	4	21	4	21	0	0
figshare-osce	MSK0031	4	11	3	11	1	0
figshare-osce	MSK0032	2	9	2	9	0	0
figshare-osce	MSK0033	1	11	0	11	1	0
figshare-osce	MSK0034	0	12	0	12	0	0
figshare-osce	MSK0035	0	15	0	15	0	0
