dataset	file_id	parakeet_drug_errors	fused_drug_errors	errors_delta	n_subs_acoustic	n_subs_anchor
primock57	day1_consultation02	3	2	-1	1	0
primock57	day1_consultation09	3	2	-1	1	0
primock57	day4_consultation09	12	10	-2	2	0
figshare-osce	CAR0002	11	9	-2	2	0
figshare-osce	MSK0009	2	1	-1	1	0
figshare-osce	MSK0013	3	2	-1	1	0
figshare-osce	MSK0031	4	3	-1	1	0
figshare-osce	MSK0033	1	0	-1	1	0
figshare-osce	MSK0049	6	5	-1	1	0
figshare-osce	RES0005	3	2	-1	1	0
figshare-osce	RES0025	4	3	-1	1	0
figshare-osce	RES0037	3	2	-1	1	0
figshare-osce	RES0048	6	5	-1	0	1
figshare-osce	RES0063	6	5	-1	1	0
figshare-osce	RES0074	2	1	-1	1	0
figshare-osce	RES0083	4	3	-1	1	0
figshare-osce	RES0089	7	6	-1	1	0
figshare-osce	RES0098	3	3	0	1	0
figshare-osce	RES0102	3	2	-1	1	0
figshare-osce	RES0105	2	1	-1	1	0
figshare-osce	RES0116	3	2	-1	0	1
figshare-osce	RES0155	3	2	-1	1	0
figshare-osce	RES0197	6	6	0	3	0
nazmulkazi	D0420-S1-T03	3	2	-1	1	0
nazmulkazi	D0420-S2-T01	17	7	-10	11	0
nazmulkazi	D0420-S4-T02	10	10	0	0	1
nazmulkazi	D0421-S1-T01	9	4	-5	5	0
nazmulkazi	D0421-S1-T02	5	3	-2	2	0
nazmulkazi	D0422-S1-T03	2	1	-1	0	1
nazmulkazi	D0422-S3-T03	3	3	0	0	1
nazmulkazi	D0422-S4-T01	5	2	-3	3	0
nazmulkazi	D0422-S4-T02	22	14	-8	8	1
nazmulkazi	D0424-S2-T06	15	13	-2	1	1
nazmulkazi	D0425-S2-T02	4	3	-1	0	1
kokoro-va-sample	A980	24	19	-5	5	0
kokoro-va-sample	B610	37	30	-7	6	1
kokoro-va-sample	C332	41	29	-12	11	1
kokoro-va-sample	C996	15	9	-6	5	1
kokoro-va-sample	D106	34	18	-16	14	2
kokoro-va-sample	D947	34	27	-7	6	1
kokoro-va-sample	E484	18	5	-13	12	2
kokoro-va-sample	E704	13	9	-4	4	0
kokoro-va-sample	G040	25	16	-9	7	2
kokoro-va-sample	G056	23	18	-5	5	0
kokoro-va-sample	G360	27	20	-7	7	1
kokoro-va-sample	H417	19	8	-11	9	2
kokoro-va-sample	H942	20	12	-8	8	0
kokoro-va-sample	H962	26	21	-5	4	1
kokoro-va-sample	I017	15	12	-3	3	0
kokoro-va-sample	J539	38	28	-10	10	0
kokoro-va-sample	M224	30	18	-12	12	0
kokoro-va-sample	O716	44	18	-26	26	1
kokoro-va-sample	O721	129	120	-9	8	1
kokoro-va-sample	P736	12	11	-1	0	1
kokoro-va-sample	Q091	48	26	-22	20	2
kokoro-va-sample	Q587	38	19	-19	17	2
kokoro-va-sample	R054	23	14	-9	9	0
kokoro-va-sample	R176	12	8	-4	3	1
kokoro-va-sample	V469	12	9	-3	3	0
kokoro-va-sample	W204	24	12	-12	12	0
kokoro-va-sample	W253	18	11	-7	5	2
kokoro-va-sample	X592	14	8	-6	7	0
kokoro-va-sample	X808	26	21	-5	4	1
