category	rank	ref_word	n_errors
CONDITION	1	little	34
CONDITION	2	infection	16
CONDITION	3	heart	14
CONDITION	4	times	13
CONDITION	5	cancer	11
CONDITION	6	asthma	11
CONDITION	7	strep	9
CONDITION	8	allergies	7
CONDITION	9	pneumonia	7
CONDITION	10	covid19	7
CONDITION	11	tumour	6
CONDITION	12	disease	5
CONDITION	13	eczema	5
CONDITION	14	swelling	5
CONDITION	15	condition	5
CONDITION	16	dress	5
CONDITION	17	migraine	4
CONDITION	18	osteoarthritis	4
CONDITION	19	mini-stroke	4
CONDITION	20	hyper	4
CONDITION	21	hayfever	3
CONDITION	22	hyperthyroidism	3
CONDITION	23	hypothyroidism	3
CONDITION	24	migraines	3
CONDITION	25	tingling	3
CONDITION	26	diabetes	3
CONDITION	27	marijuana	3
CONDITION	28	tuberculosis	3
CONDITION	29	frank	3
CONDITION	30	sensitivity	2
CONDITION	31	anxiety	2
CONDITION	32	hyperthyroid	2
CONDITION	33	nose bleeds	2
CONDITION	34	stomach	2
CONDITION	35	synovitis	2
CONDITION	36	arthritis	2
CONDITION	37	tenosynovitis	2
CONDITION	38	tumours	2
CONDITION	39	rhinitis	2
CONDITION	40	lupus	2
CONDITION	41	zoster	2
CONDITION	42	rhinosinusitis	2
CONDITION	43	leukaemia	2
CONDITION	44	clotting	2
CONDITION	45	inflammation	2
CONDITION	46	david	2
CONDITION	47	psychological	2
CONDITION	48	parrot	2
CONDITION	49	march	2
CONDITION	50	abuse	2
CONDITION	51	distant	2
CONDITION	52	stare	2
CONDITION	53	bleeding	1
CONDITION	54	labyrinthitis	1
CONDITION	55	anaemia	1
CONDITION	56	brown	1
CONDITION	57	hypertension	1
CONDITION	58	flashing	1
CONDITION	59	acid reflux	1
CONDITION	60	sweet	1
CONDITION	61	stroke	1
CONDITION	62	strokes	1
CONDITION	63	ulcerative	1
CONDITION	64	colitis	1
CONDITION	65	appendicitis	1
CONDITION	66	incontinence	1
CONDITION	67	tendinopathy	1
CONDITION	68	pseudogout	1
CONDITION	69	atrophy	1
CONDITION	70	anterior	1
CONDITION	71	tendonitis	1
CONDITION	72	radiculopathy	1
CONDITION	73	de quervains tenosynovitis	1
CONDITION	74	fibrosis	1
CONDITION	75	shingles	1
CONDITION	76	virus	1
CONDITION	77	conjunctivitis	1
CONDITION	78	colds	1
CONDITION	79	contraction	1
CONDITION	80	parainfluenza	1
CONDITION	81	disorder	1
CONDITION	82	appendix	1
CONDITION	83	transmitted	1
CONDITION	84	reflux	1
CONDITION	85	antitussive	1
CONDITION	86	otitis	1
CONDITION	87	bullying	1
CONDITION	88	congestion	1
CONDITION	89	diseases	1
CONDITION	90	tonsillitis	1
CONDITION	91	prediabetes	1
CONDITION	92	bladder	1
CONDITION	93	thrombosis	1
CONDITION	94	infections	1
CONDITION	95	effusions	1
CONDITION	96	pathology	1
CONDITION	97	complications	1
CONDITION	98	bronchitis	1
CONDITION	99	dehydrated	1
CONDITION	100	hives	1
CONDITION	101	covid 19	1
CONDITION	102	pre diabetic	1
CONDITION	103	congestions	1
CONDITION	104	chiggers	1
CONDITION	105	arrested	1
CONDITION	106	nightmares	1
CONDITION	107	hoarding	1
CONDITION	108	suicidal	1
CONDITION	109	bleed	1
CONDITION	110	melancholy	1
CONDITION	111	shock	1
CONDITION	112	shocking	1
CONDITION	113	atrophies	1
CONDITION	114	insane	1
CONDITION	115	silence	1
CONDITION	116	crest	1
CONDITION	117	giant	1
CONDITION	118	forgetting	1
CONDITION	119	hypochondria	1
CONDITION	120	manic	1
CONDITION	121	nelson	1
CONDITION	122	suicide	1
CONDITION	123	shocked	1
CONDITION	124	depressing	1
CONDITION	125	tendinitis	1
CONDITION	126	colon	1
CONDITION	127	secondary	1
CONDITION	128	decubitus	1
CONDITION	129	ulcers	1
SYMPTOM	1	symptoms	27
SYMPTOM	2	diarrhoea	27
SYMPTOM	3	weight	22
SYMPTOM	4	fevers	18
SYMPTOM	5	wheezing	15
SYMPTOM	6	coughs	15
SYMPTOM	7	pains	13
SYMPTOM	8	coughing	12
SYMPTOM	9	headaches	12
SYMPTOM	10	headache	11
SYMPTOM	11	vomiting	11
SYMPTOM	12	aches	6
SYMPTOM	13	symptom	6
SYMPTOM	14	light-headed	5
SYMPTOM	15	runny nose	5
SYMPTOM	16	spell	5
SYMPTOM	17	aching	4
SYMPTOM	18	stridor	4
SYMPTOM	19	wheezy	4
SYMPTOM	20	rundown	4
SYMPTOM	21	rashes	4
SYMPTOM	22	chills	4
SYMPTOM	23	nauseous	3
SYMPTOM	24	discomfort	3
SYMPTOM	25	fatigued	3
SYMPTOM	26	dizziness	3
SYMPTOM	27	spells	3
SYMPTOM	28	tired	3
SYMPTOM	29	despair	3
SYMPTOM	30	night sweats	2
SYMPTOM	31	vomit	2
SYMPTOM	32	itchy	2
SYMPTOM	33	spots	2
SYMPTOM	34	stiffness	2
SYMPTOM	35	rigors	2
SYMPTOM	36	fatigue	2
SYMPTOM	37	seizures	2
SYMPTOM	38	fainting	2
SYMPTOM	39	wheeze	2
SYMPTOM	40	gasping	2
SYMPTOM	41	hemoptysis	2
SYMPTOM	42	snore	2
SYMPTOM	43	catch	2
SYMPTOM	44	cramping	1
SYMPTOM	45	hoarse	1
SYMPTOM	46	restless	1
SYMPTOM	47	dizzy	1
SYMPTOM	48	sneeze	1
SYMPTOM	49	light-headedness	1
SYMPTOM	50	cramps	1
SYMPTOM	51	feverish	1
SYMPTOM	52	nauseated	1
SYMPTOM	53	cramp	1
SYMPTOM	54	painful	1
SYMPTOM	55	lightheadedness	1
SYMPTOM	56	neck stiffness	1
SYMPTOM	57	blackout	1
SYMPTOM	58	fainted	1
SYMPTOM	59	constipation	1
SYMPTOM	60	heaving	1
SYMPTOM	61	nausea vomiting	1
SYMPTOM	62	constipated	1
SYMPTOM	63	polymyalgia	1
SYMPTOM	64	vomited	1
SYMPTOM	65	catching	1
SYMPTOM	66	sneezes	1
SYMPTOM	67	rigidity	1
SYMPTOM	68	fainting spell	1
SYMPTOM	69	weakness	1
SYMPTOM	70	hoarseness	1
SYMPTOM	71	other symptoms	1
SYMPTOM	72	chest pain	1
SYMPTOM	73	sneezing	1
SYMPTOM	74	orthopnea	1
SYMPTOM	75	flushes	1
SYMPTOM	76	chill	1
SYMPTOM	77	burning	1
SYMPTOM	78	flush	1
SYMPTOM	79	startle	1
SYMPTOM	80	circling	1
SYMPTOM	81	yelling	1
FINDING	1	three	52
FINDING	2	nothing	43
FINDING	3	problem	23
FINDING	4	wanted	23
FINDING	5	worried	15
FINDING	6	write	15
FINDING	7	either	10
FINDING	8	related	9
FINDING	9	chest	9
FINDING	10	fever	8
FINDING	11	definitely	8
FINDING	12	running	8
FINDING	13	stairs	8
FINDING	14	usually	8
FINDING	15	stress	7
FINDING	16	difficulties	6
FINDING	17	lives	6
FINDING	18	discolouration	6
FINDING	19	hearing	6
FINDING	20	talks	6
FINDING	21	allergy	5
FINDING	22	helped	5
FINDING	23	a lot	5
FINDING	24	smokers	5
FINDING	25	bright	5
FINDING	26	tarry	5
FINDING	27	difficult	4
FINDING	28	worry	4
FINDING	29	turned	4
FINDING	30	normal	4
FINDING	31	panic	4
FINDING	32	alone	4
FINDING	33	history	4
FINDING	34	surgery	4
FINDING	35	likely	4
FINDING	36	activity	4
FINDING	37	issue	4
FINDING	38	diarrhea	4
FINDING	39	difficulty	4
FINDING	40	positive	4
FINDING	41	vaginal	4
FINDING	42	sitting	4
FINDING	43	comfortable	4
FINDING	44	knowledge	4
FINDING	45	speak	4
FINDING	46	well-hydrated	3
FINDING	47	teacher	3
FINDING	48	playing	3
FINDING	49	swell	3
FINDING	50	slight	3
FINDING	51	worrying	3
FINDING	52	living	3
FINDING	53	palpitations	3
FINDING	54	examining	3
FINDING	55	deformity	3
FINDING	56	joint	3
FINDING	57	found	3
FINDING	58	swollen	3
FINDING	59	possibly	3
FINDING	60	possible	3
FINDING	61	controlled	3
FINDING	62	carry	3
FINDING	63	agree	3
FINDING	64	options	3
FINDING	65	walking	3
FINDING	66	serious	3
FINDING	67	i don't know	3
FINDING	68	responsible	3
FINDING	69	irrational	3
FINDING	70	present	3
FINDING	71	close	2
FINDING	72	flare	2
FINDING	73	turns	2
FINDING	74	examined	2
FINDING	75	protection	2
FINDING	76	5 6	2
FINDING	77	confusion	2
FINDING	78	numbness	2
FINDING	79	grade	2
FINDING	80	reduced	2
FINDING	81	broken	2
FINDING	82	embolism	2
FINDING	83	at home	2
FINDING	84	offer	2
FINDING	85	walks	2
FINDING	86	stabilized	2
FINDING	87	energy	2
FINDING	88	schooling	2
FINDING	89	sniffles	2
FINDING	90	activities	2
FINDING	91	major	2
FINDING	92	illness	2
FINDING	93	sweat	2
FINDING	94	stressed	2
FINDING	95	stalking	2
FINDING	96	cleaning	2
FINDING	97	stepping	2
FINDING	98	steering	2
FINDING	99	ashamed	2
FINDING	100	washed	2
FINDING	101	pulled	2
FINDING	102	skipped	2
FINDING	103	margin	2
FINDING	104	come and go	1
FINDING	105	worries	1
FINDING	106	labored	1
FINDING	107	transient	1
FINDING	108	peak flow	1
FINDING	109	advice	1
FINDING	110	confirm	1
FINDING	111	limping	1
FINDING	112	ecchymosis	1
FINDING	113	hypercholesterolemia	1
FINDING	114	breech	1
FINDING	115	obesity	1
FINDING	116	crepitus	1
FINDING	117	infect	1
FINDING	118	complaints	1
FINDING	119	no pain	1
FINDING	120	spine	1
FINDING	121	imaging	1
FINDING	122	contracture	1
FINDING	123	crepitations	1
FINDING	124	extended	1
FINDING	125	creamy	1
FINDING	126	getting up	1
FINDING	127	pregnant	1
FINDING	128	energetic	1
FINDING	129	worsen	1
FINDING	130	climb	1
FINDING	131	stoop	1
FINDING	132	attacks	1
FINDING	133	lumps	1
FINDING	134	score	1
FINDING	135	bloody	1
FINDING	136	presence	1
FINDING	137	behaviours	1
FINDING	138	home work	1
FINDING	139	osteoporosis	1
FINDING	140	lumpiness	1
FINDING	141	no sputum	1
FINDING	142	detect	1
FINDING	143	obstruction	1
FINDING	144	dusts	1
FINDING	145	immune	1
FINDING	146	sensation	1
FINDING	147	result	1
FINDING	148	opposition	1
FINDING	149	nutrition	1
FINDING	150	response	1
FINDING	151	memory	1
FINDING	152	overdiagnosis	1
FINDING	153	parachute	1
FINDING	154	engaged	1
FINDING	155	greeting	1
FINDING	156	sucks	1
FINDING	157	moves	1
FINDING	158	criticizing	1
FINDING	159	signs	1
FINDING	160	missing	1
FINDING	161	raped	1
FINDING	162	married	1
FINDING	163	nomadic	1
FINDING	164	pulling	1
FINDING	165	don't know	1
FINDING	166	instability	1
FINDING	167	decrease	1
FINDING	168	asleep	1
FINDING	169	education	1
FINDING	170	elation	1
FINDING	171	rather	1
FINDING	172	lonely	1
FINDING	173	easily	1
FINDING	174	hopeless	1
FINDING	175	church	1
FINDING	176	jumps	1
FINDING	177	too much	1
FINDING	178	excited	1
FINDING	179	engagement	1
FINDING	180	panics	1
FINDING	181	greet	1
FINDING	182	relief	1
FINDING	183	traffic	1
FINDING	184	proud	1
FINDING	185	uncertain	1
FINDING	186	mount	1
FINDING	187	carried	1
FINDING	188	oppression	1
FINDING	189	dread	1
FINDING	190	compromised	1
FINDING	191	sweating	1
FINDING	192	coordinating	1
FINDING	193	blank	1
FINDING	194	crawling	1
FINDING	195	separated	1
FINDING	196	crosstalk	1
FINDING	197	plays	1
FINDING	198	preoccupied	1
FINDING	199	intended	1
FINDING	200	stout	1
FINDING	201	communicate	1
FINDING	202	communicating	1
FINDING	203	confrontation	1
FINDING	204	prepared	1
FINDING	205	therapy	1
FINDING	206	mixed	1
FINDING	207	compact	1
FINDING	208	shame	1
FINDING	209	family background	1
FINDING	210	cremation	1
FINDING	211	shuffle	1
FINDING	212	optimistic	1
FINDING	213	not sure	1
FINDING	214	improve	1
PROCEDURE	1	physical	41
PROCEDURE	2	tests	20
PROCEDURE	3	overlap	18
PROCEDURE	4	change	17
PROCEDURE	5	drugs	16
PROCEDURE	6	examination	16
PROCEDURE	7	management	15
PROCEDURE	8	temperature	12
PROCEDURE	9	medical	11
PROCEDURE	10	physiotherapy	9
PROCEDURE	11	contacts	9
PROCEDURE	12	hospice	9
PROCEDURE	13	treatment	8
PROCEDURE	14	prescribed	8
PROCEDURE	15	aorta	8
PROCEDURE	16	light	7
PROCEDURE	17	amitriptyline	7
PROCEDURE	18	fluids	6
PROCEDURE	19	prescribe	5
PROCEDURE	20	steps	5
PROCEDURE	21	surgeries	5
PROCEDURE	22	hospitalizations	5
PROCEDURE	23	exercise	5
PROCEDURE	24	resolve	5
PROCEDURE	25	diagnosed	5
PROCEDURE	26	sugars	5
PROCEDURE	27	release	5
PROCEDURE	28	field	4
PROCEDURE	29	teeth	4
PROCEDURE	30	treatments	4
PROCEDURE	31	quarantine	4
PROCEDURE	32	discharged	4
PROCEDURE	33	travel	4
PROCEDURE	34	general	3
PROCEDURE	35	prescription	3
PROCEDURE	36	sounding	3
PROCEDURE	37	referral	3
PROCEDURE	38	rehab	3
PROCEDURE	39	shoulder	3
PROCEDURE	40	ultrasound	3
PROCEDURE	41	admitted	3
PROCEDURE	42	classes	3
PROCEDURE	43	feeding	3
PROCEDURE	44	water	3
PROCEDURE	45	breast	3
PROCEDURE	46	mouse	3
PROCEDURE	47	admit	2
PROCEDURE	48	methotrexate	2
PROCEDURE	49	paracetamol	2
PROCEDURE	50	implant	2
PROCEDURE	51	surgical	2
PROCEDURE	52	injections	2
PROCEDURE	53	replacement	2
PROCEDURE	54	admission	2
PROCEDURE	55	soaked	2
PROCEDURE	56	monitoring	2
PROCEDURE	57	hospitalization	2
PROCEDURE	58	isolation	2
PROCEDURE	59	tonsils	2
PROCEDURE	60	examinations	2
PROCEDURE	61	horse	2
PROCEDURE	62	discussions	2
PROCEDURE	63	saline	2
PROCEDURE	64	brushing	2
PROCEDURE	65	healthcare	2
PROCEDURE	66	remind	2
PROCEDURE	67	discipline	2
PROCEDURE	68	nursing	2
PROCEDURE	69	transfer	2
PROCEDURE	70	complement	2
PROCEDURE	71	tramadol	2
PROCEDURE	72	rounds	2
PROCEDURE	73	reporting	1
PROCEDURE	74	screen	1
PROCEDURE	75	grinding	1
PROCEDURE	76	latex	1
PROCEDURE	77	counselling	1
PROCEDURE	78	report	1
PROCEDURE	79	diagnoses	1
PROCEDURE	80	toilet	1
PROCEDURE	81	reminded	1
PROCEDURE	82	cocaine	1
PROCEDURE	83	speech	1
PROCEDURE	84	arthroscopy	1
PROCEDURE	85	immobilization	1
PROCEDURE	86	consult	1
PROCEDURE	87	immunization	1
PROCEDURE	88	fixation	1
PROCEDURE	89	coagulations	1
PROCEDURE	90	diagnostic	1
PROCEDURE	91	x ray	1
PROCEDURE	92	therapies	1
PROCEDURE	93	liquid	1
PROCEDURE	94	treated with	1
PROCEDURE	95	x rays	1
PROCEDURE	96	cytology	1
PROCEDURE	97	culture	1
PROCEDURE	98	vital signs	1
PROCEDURE	99	overlapping	1
PROCEDURE	100	vaccinations	1
PROCEDURE	101	prescribing	1
PROCEDURE	102	regimen	1
PROCEDURE	103	cholecystectomy	1
PROCEDURE	104	ventilation	1
PROCEDURE	105	mobilize	1
PROCEDURE	106	vaccination	1
PROCEDURE	107	chest xray	1
PROCEDURE	108	notify	1
PROCEDURE	109	prognosis	1
PROCEDURE	110	schedule	1
PROCEDURE	111	imipramine	1
PROCEDURE	112	destruction	1
PROCEDURE	113	strapping	1
PROCEDURE	114	objective	1
PROCEDURE	115	financial	1
PROCEDURE	116	affect	1
PROCEDURE	117	encounter	1
PROCEDURE	118	releases	1
PROCEDURE	119	impulse	1
PROCEDURE	120	attachment	1
PROCEDURE	121	distraction	1
PROCEDURE	122	expression	1
PROCEDURE	123	virtual	1
PROCEDURE	124	5 minutes	1
PROCEDURE	125	payment	1
PROCEDURE	126	weighted	1
PROCEDURE	127	coping	1
PROCEDURE	128	nickel	1
PROCEDURE	129	attitude	1
PROCEDURE	130	bridge	1
PROCEDURE	131	intake	1
PROCEDURE	132	phenytoin	1
PROCEDURE	133	avulsion	1
PROCEDURE	134	macho	1
PROCEDURE	135	discussion	1
PROCEDURE	136	chemo	1
PROCEDURE	137	surgically	1
PROCEDURE	138	nicotine	1
PROCEDURE	139	treadmill	1
ANATOMY	1	hearts	67
ANATOMY	2	bowel	11
ANATOMY	3	shell	9
ANATOMY	4	throat	9
ANATOMY	5	lower	7
ANATOMY	6	throats	6
ANATOMY	7	wrist	5
ANATOMY	8	nerve	4
ANATOMY	9	urinary	4
ANATOMY	10	hands	4
ANATOMY	11	belly	3
ANATOMY	12	wrists	3
ANATOMY	13	lungs	3
ANATOMY	14	heads	3
ANATOMY	15	wings	3
ANATOMY	16	abdominal	2
ANATOMY	17	thighs	2
ANATOMY	18	acromion	2
ANATOMY	19	muscle	2
ANATOMY	20	kneecap	2
ANATOMY	21	inguinal	2
ANATOMY	22	knees	2
ANATOMY	23	prostates	2
ANATOMY	24	location	2
ANATOMY	25	process	2
ANATOMY	26	shoulders	2
ANATOMY	27	ankles	1
ANATOMY	28	mouth	1
ANATOMY	29	elbow	1
ANATOMY	30	buttocks	1
ANATOMY	31	groin	1
ANATOMY	32	hipbone	1
ANATOMY	33	lumbar	1
ANATOMY	34	gastrocnemius	1
ANATOMY	35	thumb	1
ANATOMY	36	finger	1
ANATOMY	37	patellar	1
ANATOMY	38	patella	1
ANATOMY	39	epiphysis	1
ANATOMY	40	femoral	1
ANATOMY	41	shins	1
ANATOMY	42	tibial	1
ANATOMY	43	metatarsals	1
ANATOMY	44	bones	1
ANATOMY	45	extremities	1
ANATOMY	46	ovarian	1
ANATOMY	47	left legs	1
ANATOMY	48	digital	1
ANATOMY	49	stomachs	1
ANATOMY	50	temple	1
ANATOMY	51	necks	1
ANATOMY	52	tonsillar	1
ANATOMY	53	cochlear	1
ANATOMY	54	vertebral	1
ANATOMY	55	underarm	1
ANATOMY	56	hocking	1
ANATOMY	57	follicle	1
ANATOMY	58	tooth	1
ANATOMY	59	ankle	1
ANATOMY	60	muscles	1
ANATOMY	61	aortic	1
ANATOMY	62	arterial	1
ANATOMY	63	vertebrae	1
ANATOMY	64	capsule	1
LAB_RESULT	1	negative	8
LAB_RESULT	2	expressed	1
LAB_RESULT	3	intermediate	1
