dataset	model	is_cloud	n_files	words_clinical	errors_clinical	wer_clinical_pct	words_whisper	errors_whisper	wer_whisper_pct	delta_pp
figshare-osce	whisper-distil-v3.5	0	272	345988	29440	8.5090	360946	40520	11.2261	-2.7171
figshare-osce	whisper-turbo	0	272	345988	32428	9.3726	360946	43357	12.0120	-2.6395
figshare-osce	whisper-base-en	0	272	345988	40790	11.7894	360946	51524	14.2747	-2.4853
figshare-osce	qwen3-asr	0	272	345988	33484	9.6778	360946	44646	12.3692	-2.6914
figshare-osce	parakeet-tdt-0.6b-v2	0	272	345988	50381	14.5615	360946	61579	17.0604	-2.4990
figshare-osce	nemo-fastconformer	0	272	345988	68411	19.7727	360946	80994	22.4394	-2.6667
figshare-osce	nemo-fastconformer-int8	0	272	345988	69569	20.1073	360946	82027	22.7256	-2.6182
figshare-osce	nemotron	0	272	345988	116811	33.7616	360946	128443	35.5851	-1.8235
figshare-osce	zipformer-zh-en	0	272	345988	115118	33.2723	360946	122360	33.8998	-0.6276
figshare-osce	sensevoice	0	272	345988	35504	10.2616	360946	46197	12.7989	-2.5372
figshare-osce	sensevoice-no-itn	0	272	345988	36451	10.5353	360946	47136	13.0590	-2.5237
figshare-osce	medasr	0	272	345988	191401	55.3201	360946	204699	56.7118	-1.3917
figshare-osce	medasr-int8	0	272	345988	189583	54.7947	360946	202887	56.2098	-1.4151
figshare-osce	paraformer-en	0	272	345988	58018	16.7688	360946	64774	17.9456	-1.1768
primock57	whisper-distil-v3.5	0	57	81787	9575	11.7072	85239	12097	14.1919	-2.4846
primock57	whisper-turbo	0	57	81787	10677	13.0546	85239	13235	15.5269	-2.4723
primock57	whisper-base-en	0	57	81787	14791	18.0848	85239	17277	20.2689	-2.1841
primock57	qwen3-asr	0	57	81787	10086	12.3320	85239	12567	14.7433	-2.4112
primock57	parakeet-tdt-0.6b-v2	0	57	81787	9315	11.3893	85239	11806	13.8505	-2.4611
primock57	nemo-fastconformer	0	57	81787	26687	32.6299	85239	29778	34.9347	-2.3048
primock57	nemo-fastconformer-int8	0	57	81787	24539	30.0035	85239	27562	32.3350	-2.3314
primock57	nemotron	0	57	81787	29845	36.4911	85239	32523	38.1551	-1.6639
primock57	zipformer-zh-en	0	57	81787	29093	35.5717	85239	31204	36.6077	-1.0360
primock57	sensevoice	0	57	81787	15309	18.7181	85239	17912	21.0139	-2.2957
primock57	sensevoice-no-itn	0	57	81787	14473	17.6960	85239	17002	19.9463	-2.2503
primock57	medasr	0	57	81787	72674	88.8576	85239	76103	89.2819	-0.4243
primock57	medasr-int8	0	57	81787	72287	88.3845	85239	75717	88.8291	-0.4446
primock57	paraformer-en	0	57	81787	22352	27.3295	85239	24820	29.1181	-1.7886
nazmulkazi	whisper-distil-v3.5	0	71	307229	22523	7.3310	310313	22818	7.3532	-0.0222
nazmulkazi	whisper-turbo	0	71	307229	23156	7.5370	310313	23422	7.5479	-0.0108
nazmulkazi	whisper-base-en	0	71	307229	23457	7.6350	310313	23713	7.6416	-0.0066
nazmulkazi	qwen3-asr	0	71	307229	24325	7.9175	310313	24639	7.9400	-0.0225
nazmulkazi	parakeet-tdt-0.6b-v2	0	71	307229	22361	7.2783	310313	22653	7.3000	-0.0218
nazmulkazi	nemo-fastconformer	0	71	307229	34221	11.1386	310313	35707	11.5068	-0.3682
nazmulkazi	nemo-fastconformer-int8	0	71	307229	33538	10.9163	310313	34990	11.2757	-0.3594
nazmulkazi	nemotron	0	71	307229	115053	37.4486	310313	116066	37.4029	0.0457
nazmulkazi	zipformer-zh-en	0	71	307229	33303	10.8398	310313	34560	11.1371	-0.2973
nazmulkazi	sensevoice	0	71	307229	23617	7.6871	310313	23825	7.6777	0.0094
nazmulkazi	sensevoice-no-itn	0	71	307229	23454	7.6340	310313	23665	7.6262	0.0079
nazmulkazi	medasr	0	71	307229	100155	32.5995	310313	101717	32.7788	-0.1794
nazmulkazi	medasr-int8	0	71	307229	99172	32.2795	310313	100803	32.4843	-0.2048
nazmulkazi	paraformer-en	0	71	307229	28258	9.1977	310313	28802	9.2816	-0.0839
figshare-osce	azure	1	272	345988	25409	7.3439	360946	27779	7.6962	-0.3523
figshare-osce	google	1	272	345988	46309	13.3846	360946	59656	16.5277	-3.1431
figshare-osce	deepgram	1	272	345988	25123	7.2612	360946	36462	10.1018	-2.8406
figshare-osce	assemblyai	1	272	345988	26303	7.6023	360946	37158	10.2946	-2.6923
figshare-osce	aws	1	272	345988	26614	7.6922	360946	29231	8.0984	-0.4063
primock57	azure	1	57	81787	7645	9.3475	85239	8423	9.8816	-0.5342
primock57	google	1	57	81787	19209	23.4866	85239	22161	25.9987	-2.5120
primock57	deepgram	1	57	81787	7476	9.1408	85239	10055	11.7962	-2.6554
primock57	assemblyai	1	57	81787	9213	11.2646	85239	11731	13.7625	-2.4979
primock57	aws	1	57	81787	6614	8.0869	85239	7399	8.6803	-0.5934
nazmulkazi	azure	1	71	307229	20204	6.5762	310313	21209	6.8347	-0.2585
nazmulkazi	google	1	67	269422	27759	10.3032	272194	28640	10.5219	-0.2187
nazmulkazi	deepgram	1	71	307229	21160	6.8874	310313	21705	6.9946	-0.1072
nazmulkazi	assemblyai	1	71	307229	23980	7.8053	310313	24250	7.8147	-0.0094
nazmulkazi	aws	1	71	307229	20802	6.7708	310313	21923	7.0648	-0.2940
