token	model	contraction_count	bare_count	pct_contraction
it's	parakeet-tdt-0.6b-v2	2425	47	98.1
we'll	parakeet-tdt-0.6b-v2	317	1169	21.3
we're	parakeet-tdt-0.6b-v2	89	474	15.8
i'll	parakeet-tdt-0.6b-v2	215	25	89.6
i'd	parakeet-tdt-0.6b-v2	92	1	98.9
let's	parakeet-tdt-0.6b-v2	43	0	100.0
we'd	parakeet-tdt-0.6b-v2	6	0	100.0
it's	whisper-distil-v3.5	2699	54	98.0
we'll	whisper-distil-v3.5	581	1384	29.6
we're	whisper-distil-v3.5	118	455	20.6
i'll	whisper-distil-v3.5	256	26	90.8
i'd	whisper-distil-v3.5	98	0	100.0
let's	whisper-distil-v3.5	61	0	100.0
we'd	whisper-distil-v3.5	7	0	100.0
it's	whisper-turbo	2397	54	97.8
we'll	whisper-turbo	568	1306	30.3
we're	whisper-turbo	105	453	18.8
i'll	whisper-turbo	254	26	90.7
i'd	whisper-turbo	109	0	100.0
let's	whisper-turbo	58	0	100.0
we'd	whisper-turbo	8	0	100.0
it's	sensevoice	2459	128	95.1
we'll	sensevoice	474	1338	26.2
we're	sensevoice	111	461	19.4
i'll	sensevoice	233	31	88.3
i'd	sensevoice	80	5	94.1
let's	sensevoice	54	1	98.2
we'd	sensevoice	5	0	100.0
it's	sensevoice-no-itn	2456	155	94.1
we'll	sensevoice-no-itn	477	1346	26.2
we're	sensevoice-no-itn	111	463	19.3
i'll	sensevoice-no-itn	232	32	87.9
i'd	sensevoice-no-itn	79	5	94.0
let's	sensevoice-no-itn	57	1	98.3
we'd	sensevoice-no-itn	5	0	100.0
it's	qwen3-asr	2632	54	98.0
we'll	qwen3-asr	554	1380	28.6
we're	qwen3-asr	121	461	20.8
i'll	qwen3-asr	243	24	91.0
i'd	qwen3-asr	85	0	100.0
let's	qwen3-asr	72	0	100.0
we'd	qwen3-asr	5	0	100.0
it's	TOTAL	15068	492	96.8
we'll	TOTAL	2971	7923	27.3
we're	TOTAL	655	2767	19.1
i'll	TOTAL	1433	164	89.7
i'd	TOTAL	543	11	98.0
let's	TOTAL	345	2	99.4
we'd	TOTAL	36	0	100.0
