subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	assemblyai	CAR0002	1067	1043	96	133
benchmark_results_cloud_figshare-osce	assemblyai	CAR0003	1281	1259	117	148
benchmark_results_cloud_figshare-osce	assemblyai	CAR0001	1053	1027	97	145
benchmark_results_cloud_figshare-osce	assemblyai	CAR0004	920	896	106	150
benchmark_results_cloud_figshare-osce	assemblyai	GAS0001	1033	984	125	194
benchmark_results_cloud_figshare-osce	assemblyai	GAS0007	903	884	82	119
benchmark_results_cloud_figshare-osce	assemblyai	GAS0003	1093	1036	121	199
benchmark_results_cloud_figshare-osce	assemblyai	CAR0005	1292	1228	104	201
benchmark_results_cloud_figshare-osce	assemblyai	GAS0002	1140	1103	84	136
benchmark_results_cloud_figshare-osce	assemblyai	GAS0004	1180	1127	119	202
benchmark_results_cloud_figshare-osce	assemblyai	GEN0001	1132	1093	94	161
benchmark_results_cloud_figshare-osce	assemblyai	MSK0001	983	960	103	140
benchmark_results_cloud_figshare-osce	assemblyai	DER0001	1554	1485	156	274
benchmark_results_cloud_figshare-osce	assemblyai	GAS0005	1599	1541	163	261
benchmark_results_cloud_figshare-osce	assemblyai	MSK0004	1125	1096	128	164
benchmark_results_cloud_figshare-osce	assemblyai	MSK0011	1535	1501	168	220
benchmark_results_cloud_figshare-osce	assemblyai	MSK0012	1652	1600	136	222
benchmark_results_cloud_figshare-osce	assemblyai	MSK0005	1513	1462	141	222
benchmark_results_cloud_figshare-osce	assemblyai	MSK0007	1358	1333	126	167
benchmark_results_cloud_figshare-osce	assemblyai	MSK0013	1610	1562	154	238
benchmark_results_cloud_figshare-osce	assemblyai	MSK0008	1417	1391	140	186
benchmark_results_cloud_figshare-osce	assemblyai	MSK0003	1866	1810	173	266
benchmark_results_cloud_figshare-osce	assemblyai	MSK0009	1572	1520	189	267
benchmark_results_cloud_figshare-osce	assemblyai	MSK0010	1505	1473	126	178
benchmark_results_cloud_figshare-osce	assemblyai	MSK0014	1575	1529	133	206
benchmark_results_cloud_figshare-osce	assemblyai	MSK0006	1781	1720	157	258
benchmark_results_cloud_figshare-osce	assemblyai	MSK0018	976	940	56	98
benchmark_results_cloud_figshare-osce	assemblyai	MSK0015	1622	1576	162	239
benchmark_results_cloud_figshare-osce	assemblyai	MSK0020	1683	1636	169	245
benchmark_results_cloud_figshare-osce	assemblyai	MSK0017	1735	1681	155	252
benchmark_results_cloud_figshare-osce	assemblyai	MSK0016	2064	1999	185	289
benchmark_results_cloud_figshare-osce	assemblyai	MSK0019	1337	1298	66	137
benchmark_results_cloud_figshare-osce	assemblyai	MSK0023	1229	1181	127	198
benchmark_results_cloud_figshare-osce	assemblyai	MSK0025	1580	1511	125	243
benchmark_results_cloud_figshare-osce	assemblyai	MSK0024	1193	1162	87	141
benchmark_results_cloud_figshare-osce	assemblyai	MSK0026	1365	1338	119	160
benchmark_results_cloud_figshare-osce	assemblyai	MSK0021	1745	1691	200	289
benchmark_results_cloud_figshare-osce	assemblyai	MSK0031	1299	1247	126	212
benchmark_results_cloud_figshare-osce	assemblyai	MSK0032	1198	1154	80	142
benchmark_results_cloud_figshare-osce	assemblyai	MSK0022	2164	2091	200	332
benchmark_results_cloud_figshare-osce	assemblyai	MSK0027	1377	1331	155	228
benchmark_results_cloud_figshare-osce	assemblyai	MSK0035	1596	1549	162	234
benchmark_results_cloud_figshare-osce	assemblyai	MSK0029	2268	2186	233	365
benchmark_results_cloud_figshare-osce	assemblyai	MSK0028	1836	1785	191	277
benchmark_results_cloud_figshare-osce	assemblyai	MSK0034	1448	1417	154	207
benchmark_results_cloud_figshare-osce	assemblyai	MSK0033	1687	1621	148	264
benchmark_results_cloud_figshare-osce	assemblyai	MSK0040	1488	1446	158	234
benchmark_results_cloud_figshare-osce	assemblyai	MSK0041	1583	1543	146	210
benchmark_results_cloud_figshare-osce	assemblyai	MSK0039	1404	1367	116	172
benchmark_results_cloud_figshare-osce	assemblyai	MSK0036	1757	1714	144	221
