kind	model_or_pair	fid	words_fixed	words_buggy	fixed_err	buggy_err
solo	parakeet-tdt-0.6b-v2	CAR0002	1067	1043	173	210
solo	parakeet-tdt-0.6b-v2	GAS0002	1140	1103	275	319
solo	parakeet-tdt-0.6b-v2	CAR0004	920	896	268	303
solo	parakeet-tdt-0.6b-v2	CAR0001	1053	1027	145	183
solo	parakeet-tdt-0.6b-v2	GAS0001	1033	984	291	350
solo	parakeet-tdt-0.6b-v2	GAS0007	903	884	93	131
solo	parakeet-tdt-0.6b-v2	CAR0003	1281	1259	115	149
solo	parakeet-tdt-0.6b-v2	GAS0003	1093	1036	218	279
solo	parakeet-tdt-0.6b-v2	GAS0004	1180	1127	195	272
solo	parakeet-tdt-0.6b-v2	CAR0005	1292	1228	159	249
solo	parakeet-tdt-0.6b-v2	DER0001	1554	1485	187	302
solo	parakeet-tdt-0.6b-v2	GAS0005	1599	1541	167	268
solo	parakeet-tdt-0.6b-v2	GEN0001	1132	1093	92	162
solo	parakeet-tdt-0.6b-v2	MSK0001	983	960	188	223
solo	parakeet-tdt-0.6b-v2	MSK0004	1125	1096	285	320
solo	parakeet-tdt-0.6b-v2	MSK0005	1513	1462	349	419
solo	parakeet-tdt-0.6b-v2	MSK0010	1505	1473	136	189
solo	parakeet-tdt-0.6b-v2	MSK0007	1358	1333	134	175
solo	parakeet-tdt-0.6b-v2	MSK0003	1866	1810	368	453
solo	parakeet-tdt-0.6b-v2	MSK0011	1535	1501	181	231
solo	parakeet-tdt-0.6b-v2	MSK0008	1417	1391	156	200
solo	parakeet-tdt-0.6b-v2	MSK0009	1572	1520	200	280
solo	parakeet-tdt-0.6b-v2	MSK0012	1652	1600	146	228
solo	parakeet-tdt-0.6b-v2	MSK0013	1610	1562	159	240
solo	parakeet-tdt-0.6b-v2	MSK0006	1781	1720	231	326
solo	parakeet-tdt-0.6b-v2	MSK0014	1575	1529	159	227
solo	parakeet-tdt-0.6b-v2	MSK0018	976	940	171	210
solo	parakeet-tdt-0.6b-v2	MSK0017	1735	1681	325	405
solo	parakeet-tdt-0.6b-v2	MSK0016	2064	1999	237	330
solo	parakeet-tdt-0.6b-v2	MSK0019	1337	1298	89	150
solo	parakeet-tdt-0.6b-v2	MSK0015	1622	1576	163	240
solo	parakeet-tdt-0.6b-v2	MSK0024	1193	1162	98	150
solo	parakeet-tdt-0.6b-v2	MSK0023	1229	1181	127	199
solo	parakeet-tdt-0.6b-v2	MSK0020	1683	1636	347	423
solo	parakeet-tdt-0.6b-v2	MSK0026	1365	1338	126	166
solo	parakeet-tdt-0.6b-v2	MSK0025	1580	1511	137	248
solo	parakeet-tdt-0.6b-v2	MSK0021	1745	1691	283	378
solo	parakeet-tdt-0.6b-v2	MSK0027	1377	1331	149	226
solo	parakeet-tdt-0.6b-v2	MSK0031	1299	1247	267	344
solo	parakeet-tdt-0.6b-v2	MSK0028	1836	1785	182	278
solo	parakeet-tdt-0.6b-v2	MSK0022	2164	2091	212	340
solo	parakeet-tdt-0.6b-v2	MSK0032	1198	1154	184	236
solo	parakeet-tdt-0.6b-v2	MSK0029	2268	2186	376	486
solo	parakeet-tdt-0.6b-v2	MSK0034	1448	1417	155	205
solo	parakeet-tdt-0.6b-v2	MSK0036	1757	1714	155	231
solo	parakeet-tdt-0.6b-v2	MSK0033	1687	1621	172	274
solo	parakeet-tdt-0.6b-v2	MSK0035	1596	1549	164	238
solo	parakeet-tdt-0.6b-v2	MSK0041	1583	1543	283	345
solo	parakeet-tdt-0.6b-v2	MSK0044	1177	1132	295	344
solo	parakeet-tdt-0.6b-v2	MSK0039	1404	1367	320	379
solo	parakeet-tdt-0.6b-v2	MSK0037	1682	1620	194	299
solo	parakeet-tdt-0.6b-v2	MSK0040	1488	1446	166	237
solo	parakeet-tdt-0.6b-v2	MSK0042	1522	1471	140	227
solo	parakeet-tdt-0.6b-v2	MSK0046	1225	1188	164	225
solo	parakeet-tdt-0.6b-v2	MSK0038	1895	1828	308	409
solo	parakeet-tdt-0.6b-v2	MSK0043	1772	1694	268	362
solo	parakeet-tdt-0.6b-v2	RES0002	1162	1144	335	365
solo	parakeet-tdt-0.6b-v2	MSK0045	1394	1354	293	336
solo	parakeet-tdt-0.6b-v2	RES0001	1526	1469	204	294
solo	parakeet-tdt-0.6b-v2	MSK0049	1372	1333	205	258
solo	parakeet-tdt-0.6b-v2	MSK0050	1285	1257	106	158
solo	parakeet-tdt-0.6b-v2	RES0003	1261	1213	119	196
solo	parakeet-tdt-0.6b-v2	RES0010	1070	1018	140	228
solo	parakeet-tdt-0.6b-v2	RES0006	1240	1207	122	184
solo	parakeet-tdt-0.6b-v2	RES0005	1645	1578	167	277
solo	parakeet-tdt-0.6b-v2	RES0008	1171	1129	115	184
solo	parakeet-tdt-0.6b-v2	RES0007	1874	1811	182	279
solo	parakeet-tdt-0.6b-v2	RES0004	1723	1650	240	348
solo	parakeet-tdt-0.6b-v2	RES0009	1446	1372	272	374
solo	parakeet-tdt-0.6b-v2	RES0016	1327	1287	282	331
solo	parakeet-tdt-0.6b-v2	RES0011	1647	1573	265	369
solo	parakeet-tdt-0.6b-v2	RES0013	1400	1325	279	389
solo	parakeet-tdt-0.6b-v2	RES0014	1429	1383	333	406
solo	parakeet-tdt-0.6b-v2	RES0012	2168	2058	527	675
solo	parakeet-tdt-0.6b-v2	RES0018	1334	1294	179	245
solo	parakeet-tdt-0.6b-v2	RES0015	1607	1551	326	415
solo	parakeet-tdt-0.6b-v2	RES0020	1413	1386	146	194
solo	parakeet-tdt-0.6b-v2	RES0021	1255	1226	155	205
solo	parakeet-tdt-0.6b-v2	RES0023	1099	1054	290	344
solo	parakeet-tdt-0.6b-v2	RES0019	1334	1300	237	280
solo	parakeet-tdt-0.6b-v2	RES0024	1004	969	238	296
