display	fid	words_fixed	words_buggy	fixed_err	buggy_err
Whisper base.en	CAR0004	920	896	129	171
Whisper base.en	CAR0002	1067	1043	124	159
Whisper base.en	GAS0007	903	884	135	167
Whisper base.en	CAR0001	1053	1027	118	156
Whisper base.en	GAS0001	1033	984	221	282
Whisper base.en	GAS0002	1140	1103	127	178
Whisper base.en	GAS0003	1093	1036	152	229
Whisper base.en	GAS0004	1180	1127	190	261
Whisper base.en	CAR0003	1281	1259	151	183
Whisper base.en	CAR0005	1292	1228	153	246
Whisper base.en	GEN0001	1132	1093	121	188
Whisper base.en	MSK0001	983	960	131	164
Whisper base.en	DER0001	1554	1485	238	342
Whisper base.en	GAS0005	1599	1541	236	324
Whisper base.en	MSK0008	1417	1391	215	254
Whisper base.en	MSK0010	1505	1473	173	223
Whisper base.en	MSK0011	1535	1501	212	259
Whisper base.en	MSK0004	1125	1096	138	178
Whisper base.en	MSK0006	1781	1720	218	315
Whisper base.en	MSK0007	1358	1333	156	197
Whisper base.en	MSK0014	1575	1529	195	264
Whisper base.en	MSK0005	1513	1462	179	258
Whisper base.en	MSK0009	1572	1520	312	388
Whisper base.en	MSK0013	1610	1562	189	273
Whisper base.en	MSK0012	1652	1600	174	254
Whisper base.en	MSK0003	1866	1810	231	319
Whisper base.en	MSK0015	1622	1576	260	335
Whisper base.en	MSK0019	1337	1298	147	202
Whisper base.en	MSK0018	976	940	101	141
Whisper base.en	MSK0017	1735	1681	208	303
Whisper base.en	MSK0016	2064	1999	215	317
Whisper base.en	MSK0024	1193	1162	107	157
Whisper base.en	MSK0023	1229	1181	155	218
Whisper base.en	MSK0027	1377	1331	171	241
Whisper base.en	MSK0031	1299	1247	179	245
Whisper base.en	MSK0020	1683	1636	230	309
Whisper base.en	MSK0032	1198	1154	127	188
Whisper base.en	MSK0025	1580	1511	157	270
Whisper base.en	MSK0026	1365	1338	147	188
Whisper base.en	MSK0021	1745	1691	241	329
Whisper base.en	MSK0022	2164	2091	232	357
Whisper base.en	MSK0028	1836	1785	220	307
Whisper base.en	MSK0035	1596	1549	207	272
Whisper base.en	MSK0036	1757	1714	197	271
Whisper base.en	MSK0034	1448	1417	191	243
Whisper base.en	MSK0038	1895	1828	248	356
Whisper base.en	MSK0029	2268	2186	297	425
Whisper base.en	MSK0042	1522	1471	179	256
Whisper base.en	MSK0033	1687	1621	203	319
Whisper base.en	MSK0039	1404	1367	273	305
Whisper base.en	MSK0044	1177	1132	187	249
Whisper base.en	MSK0037	1682	1620	233	335
Whisper base.en	MSK0040	1488	1446	192	261
Whisper base.en	MSK0041	1583	1543	179	243
Whisper base.en	MSK0045	1394	1354	178	246
Whisper base.en	MSK0049	1372	1333	155	214
Whisper base.en	MSK0043	1772	1694	234	337
Whisper base.en	RES0001	1526	1469	328	416
Whisper base.en	MSK0046	1225	1188	176	235
Whisper base.en	RES0002	1162	1144	344	375
Whisper base.en	MSK0050	1285	1257	128	178
Whisper base.en	RES0004	1723	1650	260	377
Whisper base.en	RES0003	1261	1213	153	227
Whisper base.en	RES0008	1171	1129	156	224
Whisper base.en	RES0006	1240	1207	142	199
Whisper base.en	RES0009	1446	1372	222	332
Whisper base.en	RES0010	1070	1018	187	252
Whisper base.en	RES0005	1645	1578	167	287
Whisper base.en	RES0011	1647	1573	231	340
Whisper base.en	RES0007	1874	1811	197	299
Whisper base.en	RES0015	1607	1551	186	275
Whisper base.en	RES0013	1400	1325	213	316
Whisper base.en	RES0019	1334	1300	159	208
Whisper base.en	RES0014	1429	1383	183	268
Whisper base.en	RES0016	1327	1287	130	191
Whisper base.en	RES0017	1751	1698	196	275
Whisper base.en	RES0018	1334	1294	169	234
Whisper base.en	RES0024	1004	969	122	188
Whisper base.en	RES0012	2168	2058	304	476
Whisper base.en	RES0021	1255	1226	164	209
Whisper base.en	RES0020	1413	1386	164	212
Whisper base.en	RES0029	811	787	115	143
Whisper base.en	RES0023	1099	1054	185	245
Whisper base.en	RES0022	1999	1927	263	369
Whisper base.en	RES0026	1544	1504	176	237
Whisper base.en	RES0025	1393	1342	218	284
Whisper base.en	RES0028	1156	1130	143	173
Whisper base.en	RES0031	1343	1297	138	214
Whisper base.en	RES0035	958	944	102	124
Whisper base.en	RES0027	1366	1323	144	213
Whisper base.en	RES0030	1184	1158	127	155
Whisper base.en	RES0037	1453	1413	191	257
Whisper base.en	RES0032	1212	1169	133	194
Whisper base.en	RES0038	1554	1504	176	250
Whisper base.en	RES0033	1372	1306	141	254
Whisper base.en	RES0036	1423	1368	176	233
Whisper base.en	RES0043	1503	1451	262	329
Whisper base.en	RES0034	1685	1627	194	289
Whisper base.en	RES0042	1264	1222	213	270
Whisper base.en	RES0045	1204	1158	136	195
Whisper base.en	RES0044	1859	1776	231	357
Whisper base.en	RES0052	828	809	152	188
Whisper base.en	RES0047	1628	1575	226	310
Whisper base.en	RES0039	1672	1635	218	275
Whisper base.en	RES0049	1622	1555	221	316
Whisper base.en	RES0046	1588	1532	198	293
Whisper base.en	RES0050	1109	1084	231	269
Whisper base.en	RES0051	997	970	152	193
Whisper base.en	RES0056	1174	1140	193	251
Whisper base.en	RES0048	1809	1726	216	349
Whisper base.en	RES0057	1245	1194	276	363
Whisper base.en	RES0058	1514	1462	265	343
Whisper base.en	RES0055	1375	1328	264	351
Whisper base.en	RES0064	1078	1046	157	205
Whisper base.en	RES0060	1683	1616	268	382
Whisper base.en	RES0059	1358	1327	198	247
Whisper base.en	RES0053	1982	1906	408	529
Whisper base.en	RES0067	946	912	146	199
Whisper base.en	RES0066	1192	1160	185	242
Whisper base.en	RES0063	1439	1384	197	302
Whisper base.en	RES0065	1089	1064	168	215
Whisper base.en	RES0069	1026	994	185	233
Whisper base.en	RES0070	976	946	173	228
Whisper base.en	RES0061	1783	1701	254	396
Whisper base.en	RES0054	2491	2446	806	864
Whisper base.en	RES0062	1965	1905	279	390
Whisper base.en	RES0068	1213	1168	173	242
Whisper base.en	RES0074	1246	1206	161	235
Whisper base.en	RES0073	1340	1303	160	230
Whisper base.en	RES0078	1140	1092	184	268
Whisper base.en	RES0072	1182	1150	259	312
Whisper base.en	RES0071	1301	1261	184	250
Whisper base.en	RES0075	1112	1070	140	211
Whisper base.en	RES0079	841	815	143	192
Whisper base.en	RES0077	1649	1585	212	329
Whisper base.en	RES0083	990	962	186	231
Whisper base.en	RES0082	932	891	114	195
Whisper base.en	RES0085	959	923	117	176
Whisper base.en	RES0080	1225	1179	192	270
Whisper base.en	RES0076	1569	1513	201	302
Whisper base.en	RES0084	1562	1516	160	238
Whisper base.en	RES0090	1193	1160	125	169
Whisper base.en	RES0091	901	869	79	132
Whisper base.en	RES0081	1455	1391	230	330
Whisper base.en	RES0092	837	800	112	174
Whisper base.en	RES0087	1359	1306	186	282
Whisper base.en	RES0094	793	766	101	154
Whisper base.en	RES0086	1523	1463	227	330
Whisper base.en	RES0088	1373	1336	162	220
Whisper base.en	RES0093	1606	1543	310	400
Whisper base.en	RES0096	1292	1251	228	286
Whisper base.en	RES0097	1381	1319	263	340
Whisper base.en	RES0089	1800	1749	221	311
Whisper base.en	RES0098	1474	1422	176	262
Whisper base.en	RES0095	1467	1426	223	286
Whisper base.en	RES0106	1307	1251	197	281
Whisper base.en	RES0099	1554	1505	201	272
Whisper base.en	RES0103	1100	1063	153	206
Whisper base.en	RES0109	845	817	126	174
Whisper base.en	RES0105	1738	1663	260	359
Whisper base.en	RES0101	1430	1379	187	268
Whisper base.en	RES0107	1596	1520	291	384
Whisper base.en	RES0108	950	918	140	178
Whisper base.en	RES0104	1563	1511	205	276
Whisper base.en	RES0111	965	927	131	194
Whisper base.en	RES0100	1767	1710	215	295
Whisper base.en	RES0112	835	795	132	194
Whisper base.en	RES0102	2025	1952	222	333
Whisper base.en	RES0118	947	921	101	142
Whisper base.en	RES0113	1079	1043	129	191
Whisper base.en	RES0121	962	930	96	134
Whisper base.en	RES0117	951	920	120	161
Whisper base.en	RES0110	1565	1512	204	281
Whisper base.en	RES0114	1673	1606	219	335
Whisper base.en	RES0116	1588	1533	268	346
Whisper base.en	RES0122	1046	1005	149	204
Whisper base.en	RES0119	1359	1302	119	222
Whisper base.en	RES0120	1381	1325	117	202
Whisper base.en	RES0125	1638	1576	182	266
Whisper base.en	RES0127	1461	1418	214	282
Whisper base.en	RES0131	1231	1176	136	225
Whisper base.en	RES0130	1329	1282	135	205
Whisper base.en	RES0128	1095	1062	155	208
Whisper base.en	RES0129	1078	1040	250	312
Whisper base.en	RES0123	1716	1647	261	362
Whisper base.en	RES0124	1729	1675	225	317
Whisper base.en	RES0135	1224	1191	146	193
Whisper base.en	RES0136	1243	1211	239	283
Whisper base.en	RES0132	1309	1276	113	169
Whisper base.en	RES0126	1858	1784	298	419
Whisper base.en	RES0133	1264	1222	139	201
Whisper base.en	RES0137	1274	1216	190	276
Whisper base.en	RES0138	1148	1118	183	219
Whisper base.en	RES0140	907	877	157	199
Whisper base.en	RES0139	1131	1093	172	218
Whisper base.en	RES0142	778	758	150	174
Whisper base.en	RES0143	1119	1080	188	238
Whisper base.en	RES0141	987	949	174	223
Whisper base.en	RES0134	1679	1630	147	230
Whisper base.en	RES0144	1153	1119	200	257
Whisper base.en	RES0148	1136	1101	179	228
Whisper base.en	RES0146	898	870	166	209
Whisper base.en	RES0149	1270	1231	225	276
Whisper base.en	RES0153	1103	1063	160	222
Whisper base.en	RES0147	1274	1234	231	290
Whisper base.en	RES0145	1326	1277	272	343
Whisper base.en	RES0156	1016	983	174	220
Whisper base.en	RES0150	1147	1099	206	271
Whisper base.en	RES0158	1079	1034	153	218
Whisper base.en	RES0154	943	922	140	178
Whisper base.en	RES0152	1059	1028	144	203
Whisper base.en	RES0160	1135	1093	223	274
Whisper base.en	RES0151	1157	1125	151	201
Whisper base.en	RES0161	1034	993	186	239
Whisper base.en	RES0159	1104	1060	186	246
Whisper base.en	RES0155	1439	1380	247	318
Whisper base.en	RES0164	1248	1197	237	306
Whisper base.en	RES0166	1155	1117	194	248
Whisper base.en	RES0169	946	906	166	215
Whisper base.en	RES0165	909	881	165	215
Whisper base.en	RES0163	1200	1155	185	250
Whisper base.en	RES0162	1235	1183	219	290
Whisper base.en	RES0167	1181	1132	194	260
Whisper base.en	RES0171	1368	1306	251	333
Whisper base.en	RES0175	1017	979	228	272
Whisper base.en	RES0168	1329	1271	188	283
Whisper base.en	RES0170	1351	1300	239	311
Whisper base.en	RES0172	1195	1148	184	256
Whisper base.en	RES0176	1305	1269	221	260
Whisper base.en	RES0174	1549	1484	219	324
Whisper base.en	RES0173	1262	1210	218	283
Whisper base.en	RES0181	1184	1154	200	246
Whisper base.en	RES0182	945	919	140	176
Whisper base.en	RES0177	1193	1151	176	245
Whisper base.en	RES0178	1125	1082	209	277
Whisper base.en	RES0179	1291	1254	209	266
Whisper base.en	RES0180	1065	1020	161	224
Whisper base.en	RES0186	1069	1020	192	260
Whisper base.en	RES0184	970	946	156	192
Whisper base.en	RES0187	1303	1275	271	310
Whisper base.en	RES0183	1217	1178	196	264
Whisper base.en	RES0185	1075	1026	154	218
Whisper base.en	RES0190	1290	1263	161	205
Whisper base.en	RES0188	957	932	167	210
Whisper base.en	RES0189	1439	1397	189	266
Whisper base.en	RES0191	927	905	119	151
Whisper base.en	RES0197	966	943	142	176
Whisper base.en	RES0195	1335	1297	171	231
Whisper base.en	RES0196	943	910	134	188
Whisper base.en	RES0192	1280	1243	164	216
Whisper base.en	RES0198	857	833	100	136
Whisper base.en	RES0194	1395	1339	205	278
Whisper base.en	RES0193	1431	1382	191	271
Whisper base.en	RES0204	995	959	117	182
Whisper base.en	RES0203	920	895	154	196
Whisper base.en	RES0199	1152	1118	152	204
Whisper base.en	RES0200	1351	1316	231	293
Whisper base.en	RES0205	1049	1009	157	216
Whisper base.en	RES0202	1522	1472	258	331
Whisper base.en	RES0201	1059	1024	238	280
Whisper base.en	RES0207	818	789	117	169
Whisper base.en	RES0214	1123	1093	153	195
Whisper base.en	RES0206	1354	1309	338	388
Whisper base.en	RES0209	1108	1062	164	240
Whisper base.en	RES0211	1415	1355	212	313
Whisper base.en	RES0215	1386	1329	185	263
Whisper base.en	RES0208	1322	1254	222	320
Whisper base.en	RES0216	1604	1531	157	274
Whisper base.en	RES0210	1139	1119	154	188
Whisper base.en	RES0212	1304	1238	128	241
Whisper base.en	RES0213	1485	1383	169	312
Paraformer-en	CAR0001	1053	1027	131	174
Whisper base.en	RES0217	1486	1424	146	241
Paraformer-en	CAR0002	1067	1043	147	186
