ROVER Fusion Results — nazmulkazi
============================================================
Pair                                                  Fused       M1       M2     Wins
------------------------------------------------------------
medasr-int8 + parakeet-tdt-0.6b-v2                   17.04%   32.48%    7.30%   0/71
medasr-int8 + sensevoice-no-itn                      17.07%   32.48%    7.63%   0/71
medasr-int8 + sensevoice                             17.08%   32.48%    7.68%   0/71
medasr-int8 + whisper-turbo                          17.10%   32.48%    7.55%   0/71
medasr + parakeet-tdt-0.6b-v2                        17.12%   32.78%    7.30%   0/71
medasr + sensevoice                                  17.14%   32.78%    7.68%   0/71
medasr + sensevoice-no-itn                           17.14%   32.78%    7.63%   0/71
medasr-int8 + whisper-base-en                        17.16%   32.48%    7.64%   0/71
medasr + whisper-turbo                               17.17%   32.78%    7.55%   0/71
medasr-int8 + whisper-distil-v3.5                    17.19%   32.48%    7.35%   0/71
medasr + whisper-base-en                             17.23%   32.78%    7.64%   0/71
medasr-int8 + qwen3-asr                              17.24%   32.48%    7.94%   0/71
medasr + whisper-distil-v3.5                         17.26%   32.78%    7.35%   0/71
parakeet-tdt-0.6b-v2 + sensevoice                    17.26%    7.30%    7.68%   0/71
parakeet-tdt-0.6b-v2 + sensevoice-no-itn             17.27%    7.30%    7.63%   0/71
medasr + qwen3-asr                                   17.32%   32.78%    7.94%   0/71
parakeet-tdt-0.6b-v2 + qwen3-asr                     17.34%    7.30%    7.94%   0/71
qwen3-asr + sensevoice                               17.37%    7.94%    7.68%   0/71
qwen3-asr + sensevoice-no-itn                        17.38%    7.94%    7.63%   0/71
parakeet-tdt-0.6b-v2 + whisper-turbo                 17.40%    7.30%    7.55%   0/71
qwen3-asr + whisper-turbo                            17.45%    7.94%    7.55%   0/71
parakeet-tdt-0.6b-v2 + whisper-base-en               17.47%    7.30%    7.64%   0/71
parakeet-tdt-0.6b-v2 + whisper-distil-v3.5           17.52%    7.30%    7.35%   0/71
medasr-int8 + paraformer-en                          17.53%   32.48%    9.28%   0/71
qwen3-asr + whisper-base-en                          17.53%    7.94%    7.64%   0/71
qwen3-asr + whisper-distil-v3.5                      17.59%    7.94%    7.35%   0/71
medasr + paraformer-en                               17.60%   32.78%    9.28%   0/71
sensevoice-no-itn + whisper-turbo                    17.60%    7.63%    7.55%   0/71
