ROVER Fusion Results — primock57
============================================================
Pair                                                  Fused       M1       M2     Wins
------------------------------------------------------------
parakeet-tdt-0.6b-v2 + qwen3-asr                     20.77%   13.85%   14.74%   0/57
qwen3-asr + whisper-turbo                            21.26%   14.74%   15.53%   0/57
parakeet-tdt-0.6b-v2 + sensevoice-no-itn             21.27%   13.85%   19.95%   0/57
parakeet-tdt-0.6b-v2 + sensevoice                    21.34%   13.85%   21.01%   0/57
parakeet-tdt-0.6b-v2 + whisper-turbo                 21.44%   13.85%   15.53%   0/57
parakeet-tdt-0.6b-v2 + whisper-distil-v3.5           21.48%   13.85%   14.19%   0/57
qwen3-asr + sensevoice-no-itn                        21.58%   14.74%   19.95%   0/57
qwen3-asr + whisper-distil-v3.5                      21.60%   14.74%   14.19%   0/57
qwen3-asr + sensevoice                               21.61%   14.74%   21.01%   0/57
whisper-distil-v3.5 + whisper-turbo                  22.15%   14.19%   15.53%   0/57
qwen3-asr + whisper-base-en                          22.21%   14.74%   20.27%   0/57
parakeet-tdt-0.6b-v2 + whisper-base-en               22.33%   13.85%   20.27%   0/57
medasr + parakeet-tdt-0.6b-v2                        23.33%   89.28%   13.85%   0/57
medasr-int8 + parakeet-tdt-0.6b-v2                   23.37%   88.83%   13.85%   0/57
sensevoice-no-itn + whisper-distil-v3.5              23.51%   19.95%   14.19%   0/57
sensevoice-no-itn + whisper-turbo                    23.57%   19.95%   15.53%   0/57
sensevoice + whisper-distil-v3.5                     23.66%   21.01%   14.19%   0/57
medasr + whisper-distil-v3.5                         23.70%   89.28%   14.19%   0/57
medasr-int8 + whisper-distil-v3.5                    23.73%   88.83%   14.19%   0/57
medasr + qwen3-asr                                   23.76%   89.28%   14.74%   0/57
medasr-int8 + qwen3-asr                              23.79%   88.83%   14.74%   0/57
sensevoice + whisper-turbo                           23.84%   21.01%   15.53%   0/57
parakeet-tdt-0.6b-v2 + zipformer-zh-en               24.53%   13.85%   36.61%   0/57
qwen3-asr + zipformer-zh-en                          24.66%   14.74%   36.61%   0/57
medasr + whisper-turbo                               24.72%   89.28%   15.53%   0/57
medasr-int8 + whisper-turbo                          24.76%   88.83%   15.53%   0/57
nemo-fastconformer + parakeet-tdt-0.6b-v2            24.82%   34.93%   13.85%   0/57
nemo-fastconformer + qwen3-asr                       24.89%   34.93%   14.74%   0/57
whisper-distil-v3.5 + zipformer-zh-en                25.05%   14.19%   36.61%   0/57
nemo-fastconformer + whisper-distil-v3.5             25.13%   34.93%   14.19%   0/57
whisper-base-en + whisper-distil-v3.5                25.14%   20.27%   14.19%   0/57
nemo-fastconformer-int8 + parakeet-tdt-0.6b-v2       25.21%   32.33%   13.85%   0/57
nemo-fastconformer-int8 + qwen3-asr                  25.28%   32.33%   14.74%   0/57
sensevoice-no-itn + whisper-base-en                  25.29%   19.95%   20.27%   0/57
whisper-turbo + zipformer-zh-en                      25.48%   15.53%   36.61%   0/57
nemo-fastconformer-int8 + whisper-distil-v3.5        25.50%   32.33%   14.19%   0/57
whisper-base-en + whisper-turbo                      25.52%   20.27%   15.53%   0/57
sensevoice + whisper-base-en                         25.70%   21.01%   20.27%   0/57
nemo-fastconformer + whisper-turbo                   25.91%   34.93%   15.53%   0/57
nemo-fastconformer-int8 + whisper-turbo              26.24%   32.33%   15.53%   0/57
sensevoice-no-itn + sensevoice                       26.29%   19.95%   21.01%   0/57
nemotron + qwen3-asr                                 26.43%   38.16%   14.74%   0/57
nemotron + parakeet-tdt-0.6b-v2                      26.46%   38.16%   13.85%   0/57
nemotron + whisper-distil-v3.5                       26.76%   38.16%   14.19%   0/57
nemotron + whisper-turbo                             27.26%   38.16%   15.53%   0/57
medasr + sensevoice-no-itn                           27.73%   89.28%   19.95%   0/57
nemo-fastconformer + sensevoice-no-itn               27.74%   34.93%   19.95%   0/57
medasr-int8 + sensevoice-no-itn                      27.77%   88.83%   19.95%   0/57
nemo-fastconformer-int8 + sensevoice-no-itn          27.94%   32.33%   19.95%   0/57
nemo-fastconformer + whisper-base-en                 28.35%   34.93%   20.27%   0/57
nemo-fastconformer-int8 + whisper-base-en            28.46%   32.33%   20.27%   0/57
nemo-fastconformer + sensevoice                      28.56%   34.93%   21.01%   1/57
nemotron + sensevoice-no-itn                         28.59%   38.16%   19.95%   1/57
medasr + whisper-base-en                             28.62%   89.28%   20.27%   0/57
medasr-int8 + whisper-base-en                        28.64%   88.83%   20.27%   0/57
nemo-fastconformer-int8 + sensevoice                 28.67%   32.33%   21.01%   1/57
medasr + sensevoice                                  28.80%   89.28%   21.01%   0/57
medasr-int8 + sensevoice                             28.84%   88.83%   21.01%   0/57
sensevoice-no-itn + zipformer-zh-en                  28.94%   19.95%   36.61%   0/57
nemotron + sensevoice                                29.17%   38.16%   21.01%   1/57
nemotron + whisper-base-en                           29.38%   38.16%   20.27%   0/57
whisper-base-en + zipformer-zh-en                    29.46%   20.27%   36.61%   0/57
sensevoice + zipformer-zh-en                         29.58%   21.01%   36.61%   0/57
paraformer-en + parakeet-tdt-0.6b-v2                 30.60%   29.12%   13.85%   0/57
paraformer-en + qwen3-asr                            30.61%   29.12%   14.74%   0/57
paraformer-en + whisper-distil-v3.5                  30.97%   29.12%   14.19%   0/57
paraformer-en + whisper-turbo                        31.20%   29.12%   15.53%   0/57
nemo-fastconformer-int8 + paraformer-en              31.46%   32.33%   29.12%   3/57
nemo-fastconformer + paraformer-en                   31.65%   34.93%   29.12%   2/57
nemo-fastconformer-int8 + nemotron                   31.92%   32.33%   38.16%  30/57
nemotron + paraformer-en                             32.19%   38.16%   29.12%   6/57
paraformer-en + sensevoice-no-itn                    32.38%   29.12%   19.95%   0/57
nemo-fastconformer + nemotron                        32.57%   34.93%   38.16%  38/57
paraformer-en + whisper-base-en                      32.57%   29.12%   20.27%   0/57
paraformer-en + sensevoice                           32.70%   29.12%   21.01%   0/57
nemo-fastconformer-int8 + zipformer-zh-en            35.00%   32.33%   36.61%   4/57
nemotron + zipformer-zh-en                           35.44%   38.16%   36.61%  19/57
nemo-fastconformer + zipformer-zh-en                 35.63%   34.93%   36.61%  10/57
medasr + paraformer-en                               35.97%   89.28%   29.12%   0/57
medasr-int8 + paraformer-en                          36.01%   88.83%   29.12%   0/57
paraformer-en + zipformer-zh-en                      36.14%   29.12%   36.61%   0/57
nemo-fastconformer-int8 + nemo-fastconformer         37.28%   32.33%   34.93%   0/57
medasr + nemo-fastconformer-int8                     39.16%   89.28%   32.33%   0/57
medasr-int8 + nemo-fastconformer-int8                39.19%   88.83%   32.33%   0/57
medasr + nemo-fastconformer                          41.38%   89.28%   34.93%   0/57
medasr-int8 + nemo-fastconformer                     41.40%   88.83%   34.93%   0/57
medasr + zipformer-zh-en                             41.61%   89.28%   36.61%   0/57
medasr-int8 + zipformer-zh-en                        41.66%   88.83%   36.61%   0/57
medasr + nemotron                                    43.72%   89.28%   38.16%   0/57
medasr-int8 + nemotron                               43.77%   88.83%   38.16%   0/57
medasr-int8 + medasr                                 87.76%   88.83%   89.28%  27/57
