token	model	n_correct	n_alignable	recovery_pct
right	paraformer-en	84	138	60.9
right	cloud-google	76	134	56.7
right	whisper-distil-v3.5	75	126	59.5
right	cloud-azure	71	130	54.6
right	cloud-assemblyai	67	114	58.8
right	whisper-base-en	66	116	56.9
right	cloud-deepgram	65	135	48.1
right	sensevoice-no-itn	64	110	58.2
right	zipformer-zh-en	64	129	49.6
right	sensevoice	60	107	56.1
right	nemotron	49	98	50.0
right	medasr	46	85	54.1
right	medasr-int8	45	86	52.3
<none>	zipformer-zh-en	23	59	39.0
<none>	cloud-google	23	61	37.7
<none>	medasr-int8	21	36	58.3
<none>	medasr	18	33	54.5
<none>	paraformer-en	15	63	23.8
<none>	whisper-base-en	15	63	23.8
<none>	cloud-azure	15	65	23.1
<none>	cloud-deepgram	14	65	21.5
<none>	nemotron	11	49	22.4
<none>	sensevoice	11	61	18.0
<none>	sensevoice-no-itn	11	63	17.5
<none>	cloud-assemblyai	9	63	14.3
<none>	whisper-distil-v3.5	8	66	12.1
right right	paraformer-en	5	6	83.3
right right	sensevoice	5	6	83.3
right right	sensevoice-no-itn	5	6	83.3
right right	whisper-distil-v3.5	5	6	83.3
right right	cloud-google	5	6	83.3
right right	cloud-deepgram	5	6	83.3
right right	cloud-assemblyai	5	6	83.3
right right	medasr	5	5	100.0
right right	medasr-int8	5	5	100.0
right right	nemotron	5	5	100.0
right right	whisper-base-en	5	5	100.0
right right	cloud-azure	5	5	100.0
right right	zipformer-zh-en	4	6	66.7
left	cloud-deepgram	5	12	41.7
left	zipformer-zh-en	4	9	44.4
left	sensevoice-no-itn	4	11	36.4
left	cloud-google	4	11	36.4
left	medasr	4	6	66.7
left	medasr-int8	4	6	66.7
left	paraformer-en	3	11	27.3
left	sensevoice	3	11	27.3
left	whisper-base-en	3	11	27.3
left	cloud-azure	3	12	25.0
left	nemotron	2	7	28.6
left	whisper-distil-v3.5	1	11	9.1
left	cloud-assemblyai	1	10	10.0
right right right right	medasr	1	1	100.0
right right right right	medasr-int8	1	1	100.0
right right right right	nemotron	1	1	100.0
right right right right	paraformer-en	1	1	100.0
right right right right	zipformer-zh-en	1	1	100.0
right right right right	sensevoice	1	1	100.0
right right right right	sensevoice-no-itn	1	1	100.0
right right right right	whisper-distil-v3.5	1	1	100.0
right right right right	whisper-base-en	1	1	100.0
right right right right	cloud-google	1	1	100.0
right right right right	cloud-azure	1	1	100.0
right right right right	cloud-deepgram	1	1	100.0
right right right right	cloud-assemblyai	1	1	100.0
right right right right right	medasr	1	1	100.0
right right right right right	medasr-int8	1	1	100.0
right right right right right	nemotron	1	1	100.0
right right right right right	paraformer-en	1	1	100.0
right right right right right	zipformer-zh-en	1	1	100.0
right right right right right	sensevoice	1	1	100.0
right right right right right	sensevoice-no-itn	1	1	100.0
right right right right right	whisper-distil-v3.5	1	1	100.0
right right right right right	whisper-base-en	1	1	100.0
right right right right right	cloud-google	1	1	100.0
right right right right right	cloud-azure	1	1	100.0
right right right right right	cloud-deepgram	1	1	100.0
right right right right right	cloud-assemblyai	1	1	100.0
right right right	medasr	1	1	100.0
right right right	medasr-int8	1	1	100.0
right right right	nemotron	1	1	100.0
right right right	paraformer-en	1	1	100.0
right right right	zipformer-zh-en	1	1	100.0
right right right	sensevoice	1	1	100.0
right right right	sensevoice-no-itn	1	1	100.0
right right right	whisper-distil-v3.5	1	1	100.0
right right right	whisper-base-en	1	1	100.0
right right right	cloud-google	1	1	100.0
right right right	cloud-azure	1	1	100.0
right right right	cloud-deepgram	1	1	100.0
right right right	cloud-assemblyai	1	1	100.0
left left right	medasr	1	1	100.0
left left right	medasr-int8	1	1	100.0
left left right	paraformer-en	1	1	100.0
left left right	zipformer-zh-en	1	1	100.0
left left right	sensevoice	1	1	100.0
left left right	sensevoice-no-itn	1	1	100.0
left left right	whisper-distil-v3.5	1	1	100.0
left left right	whisper-base-en	1	1	100.0
left left right	cloud-google	1	1	100.0
left left right	cloud-azure	1	1	100.0
left left right	cloud-deepgram	1	1	100.0
left left right	cloud-assemblyai	1	1	100.0
left left right	nemotron	0	1	0.0
left right	medasr	1	1	100.0
left right	medasr-int8	1	1	100.0
left right	nemotron	1	1	100.0
left right	paraformer-en	1	1	100.0
left right	zipformer-zh-en	1	1	100.0
left right	sensevoice	1	1	100.0
left right	sensevoice-no-itn	1	1	100.0
left right	whisper-base-en	1	1	100.0
left right	cloud-google	1	1	100.0
left right	cloud-deepgram	1	1	100.0
left right	whisper-distil-v3.5	0	1	0.0
left right	cloud-azure	0	1	0.0
left right	cloud-assemblyai	0	1	0.0
