form	model	n_correct	n_alignable	recovery_pct
digit_only	cloud-assemblyai	528	1063	49.7
digit_only	cloud-azure	408	1055	38.7
digit_only	whisper-distil-v3.5	183	1052	17.4
digit_only	sensevoice	178	993	17.9
digit_only	whisper-base-en	171	1033	16.6
digit_only	medasr-int8	137	720	19.0
digit_only	medasr	136	709	19.2
digit_only	cloud-google	128	993	12.9
digit_only	cloud-deepgram	102	1066	9.6
digit_only	sensevoice-no-itn	100	998	10.0
digit_only	nemotron	99	771	12.8
digit_only	paraformer-en	6	1042	0.6
digit_only	zipformer-zh-en	6	1024	0.6
spelled_only	paraformer-en	269	525	51.2
spelled_only	zipformer-zh-en	224	509	44.0
spelled_only	sensevoice-no-itn	185	451	41.0
spelled_only	cloud-deepgram	173	481	36.0
spelled_only	cloud-google	147	490	30.0
spelled_only	cloud-azure	115	459	25.1
spelled_only	whisper-base-en	112	436	25.7
spelled_only	sensevoice	106	383	27.7
spelled_only	whisper-distil-v3.5	102	444	23.0
spelled_only	nemotron	94	319	29.5
spelled_only	medasr-int8	76	196	38.8
spelled_only	medasr	75	197	38.1
spelled_only	cloud-assemblyai	59	419	14.1
mixed	sensevoice	13	20	65.0
mixed	whisper-distil-v3.5	12	20	60.0
mixed	cloud-azure	12	20	60.0
mixed	whisper-base-en	11	20	55.0
mixed	medasr	9	19	47.4
mixed	medasr-int8	9	19	47.4
mixed	cloud-assemblyai	7	20	35.0
mixed	nemotron	6	19	31.6
mixed	sensevoice-no-itn	5	20	25.0
mixed	paraformer-en	4	20	20.0
mixed	zipformer-zh-en	4	20	20.0
mixed	cloud-google	4	20	20.0
mixed	cloud-deepgram	4	20	20.0
