dataset	file_id	ref_words	parakeet_words	tokens	has_digit	has_spelled	mixed	n_digit_tokens	n_spelled_tokens	chunk_len	win_medasr	win_medasr-int8	win_nemotron	win_paraformer-en	win_zipformer-zh-en	win_sensevoice	win_sensevoice-no-itn	win_whisper-distil-v3.5	win_whisper-base-en	win_cloud-google	win_cloud-azure	win_cloud-deepgram	win_cloud-assemblyai
primock57	day1_consultation01	yeah six		six	0	1	0	0	1	2	?	?	0	0	0	?	?	0	0	0	0	0	0
primock57	day1_consultation01	two		two	0	1	0	0	1	1	0	0	?	1	?	?	?	?	0	0	0	0	?
primock57	day1_consultation02	four days ago		four	0	1	0	0	1	3	?	?	?	?	?	?	?	?	?	?	?	?	?
primock57	day1_consultation02	thirty	31	thirty	0	1	0	0	1	1	?	?	?	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation02	one uh		one	0	1	0	0	1	2	?	?	?	1	0	?	0	?	?	1	?	0	?
primock57	day1_consultation02	ten	10	ten	0	1	0	0	1	1	0	0	0	1	1	0	?	0	0	?	0	1	0
primock57	day1_consultation04	or two	of the	two	0	1	0	0	1	2	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation04	first	sweats	first	0	1	0	0	1	1	?	?	0	0	?	?	0	0	0	0	0	0	0
primock57	day1_consultation04	type two		two	0	1	0	0	1	2	?	?	?	?	0	?	?	1	?	?	?	?	?
primock57	day1_consultation05	it's it's	one we	<none>	0	0	0	0	0	2	?	?	1	0	1	0	0	1	0	1	1	1	0
primock57	day1_consultation06	a thousand ok alright	simbastatin okay all right	thousand	0	1	0	0	1	4	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation06	sixties	60s	<none>	0	0	0	0	0	1	?	?	0	0	1	0	1	0	0	0	0	1	0
primock57	day1_consultation06	sixties ok	60s okay	<none>	0	0	0	0	0	2	?	?	?	0	0	?	?	0	?	1	0	1	0
primock57	day1_consultation06	twenty	25	twenty	0	1	0	0	1	1	?	?	0	0	0	0	0	0	0	0	0	0	0
primock57	day1_consultation06	five		five	0	1	0	0	1	1	?	?	?	0	0	?	?	0	?	?	?	0	?
primock57	day1_consultation07	fit	50	<none>	0	0	0	0	0	1	?	?	?	?	?	0	0	1	0	?	?	?	0
primock57	day1_consultation07	i'm i'm fifty		fifty	0	1	0	0	1	3	?	?	0	1	1	?	?	0	?	0	0	0	?
primock57	day1_consultation07	the first		first	0	1	0	0	1	2	?	?	1	1	1	1	1	1	?	1	1	1	?
primock57	day1_consultation07	four	okay	four	0	1	0	0	1	1	?	?	?	0	0	?	?	0	0	0	?	?	?
primock57	day1_consultation07	five days ago		five	0	1	0	0	1	3	?	?	?	0	0	?	?	0	0	0	?	?	?
primock57	day1_consultation07	two aye		two	0	1	0	0	1	2	?	?	?	0	0	?	?	0	?	0	0	1	?
primock57	day1_consultation07	uh or ok	a one okay	<none>	0	0	0	0	0	3	?	?	0	0	1	0	0	0	0	0	0	0	1
