pattern	dataset	n_parakeet_errors	n_medasr_correct	n_medasr_wrong	n_medasr_unalignable	medasr_recovery_rate_pct
NEGATION_FLIP	primock57	296	8	5	283	61.5
LATERALITY	primock57	69	2	3	64	40.0
NUMERIC	primock57	370	3	26	341	10.3
NEGATION_FLIP	figshare-osce	3773	790	893	2090	46.9
LATERALITY	figshare-osce	100	51	21	28	70.8
NUMERIC	figshare-osce	1004	192	394	418	32.8
NEGATION_FLIP	nazmulkazi	507	171	224	112	43.3
LATERALITY	nazmulkazi	78	25	32	21	43.9
NUMERIC	nazmulkazi	552	73	379	100	16.2
NEGATION_FLIP	kokoro-va-sample	161	38	91	32	29.5
LATERALITY	kokoro-va-sample	36	8	10	18	44.4
NUMERIC	kokoro-va-sample	627	130	434	63	23.0
NEGATION_FLIP	ALL	4737	1007	1213	2517	45.4
LATERALITY	ALL	283	86	66	131	56.6
NUMERIC	ALL	2553	398	1233	922	24.4
