term	category	first_tier	first_source
lower abdomen	ANATOMY	1a	1a:primock57
lower	ANATOMY	1a	1a:primock57
back	ANATOMY	1a	1a:primock57
face left side	ANATOMY	1a	1a:primock57
right alare	ANATOMY	1a	1a:primock57
arms and legs	ANATOMY	1a	1a:primock57
bowels	ANATOMY	1a	1a:primock57
hands	ANATOMY	1a	1a:primock57
body	ANATOMY	1a	1a:primock57
face	ANATOMY	1a	1a:primock57
arm	ANATOMY	1a	1a:primock57
head or neck	ANATOMY	1a	1a:primock57
left hand	ANATOMY	1a	1a:primock57
head	ANATOMY	1a	1a:primock57
throat	ANATOMY	1a	1a:primock57
ears	ANATOMY	1a	1a:primock57
belly button	ANATOMY	1a	1a:primock57
gut	ANATOMY	1a	1a:primock57
ankles	ANATOMY	1a	1a:primock57
kidney	ANATOMY	1a	1a:primock57
foot right	ANATOMY	1a	1a:primock57
heart lungs	ANATOMY	1a	1a:primock57
forehead	ANATOMY	1a	1a:primock57
knees	ANATOMY	1a	1a:primock57
cut	ANATOMY	1a	1a:primock57
itha	ANATOMY	1a	1a:primock57
legs	ANATOMY	1a	1a:primock57
urinary tract	ANATOMY	1a	1a:primock57
kidneys	ANATOMY	1a	1a:primock57
flank	ANATOMY	1a	1a:primock57
bowel	ANATOMY	1a	1a:primock57
guts	ANATOMY	1a	1a:primock57
simplex	ANATOMY	1a	1a:primock57
mouth	ANATOMY	1a	1a:primock57
right greater horn	ANATOMY	1a	1a:primock57
muscles	ANATOMY	1a	1a:primock57
muscle	ANATOMY	1a	1a:primock57
finger	ANATOMY	1a	1a:primock57
palm	ANATOMY	1a	1a:primock57
right ear	ANATOMY	1a	1a:primock57
left ear	ANATOMY	1a	1a:primock57
ear drum	ANATOMY	1a	1a:primock57
eardrum	ANATOMY	1a	1a:primock57
right elbow	ANATOMY	1a	1a:primock57
left elbow	ANATOMY	1a	1a:primock57
elbow	ANATOMY	1a	1a:primock57
nerve	ANATOMY	1a	1a:primock57
die	ANATOMY	1a	1a:primock57
portal	ANATOMY	1a	1a:primock57
adam's apple	ANATOMY	1a	1a:primock57
head back	ANATOMY	1a	1a:primock57
wrist	ANATOMY	1a	1a:primock57
thumb	ANATOMY	1a	1a:primock57
right hand	ANATOMY	1a	1a:primock57
leg	ANATOMY	1a	1a:primock57
process	ANATOMY	1a	1a:primock57
lips	ANATOMY	1a	1a:primock57
left arm	ANATOMY	1a	1a:primock57
jaw	ANATOMY	1a	1a:primock57
malari	ANATOMY	1a	1a:primock57
left leg	ANATOMY	1a	1a:primock57
base	ANATOMY	1a	1a:primock57
tea	ANATOMY	1a	1a:primock57
upper lip	ANATOMY	1a	1a:primock57
location	ANATOMY	1a	1a:primock57
thyroids	ANATOMY	1a	1a:primock57
livers	ANATOMY	1a	1a:primock57
opt	ANATOMY	1a	1a:primock57
fingertip	ANATOMY	1a	1a:primock57
glands	ANATOMY	1a	1a:primock57
fourth finger	ANATOMY	1a	1a:primock57
abdominal	ANATOMY	1a	1a:primock57
left shoulder	ANATOMY	1a	1a:primock57
right arm	ANATOMY	1a	1a:primock57
lungs	ANATOMY	1a	1a:primock57
both hands	ANATOMY	1a	1a:primock57
left wrist	ANATOMY	1a	1a:primock57
belly	ANATOMY	1a	1a:primock57
left side of head	ANATOMY	1a	1a:primock57
side of head	ANATOMY	1a	1a:primock57
zigzag line	ANATOMY	1a	1a:primock57
shoulders	ANATOMY	1a	1a:primock57
navel	ANATOMY	1a	1a:primock57
hands wrists	ANATOMY	1a	1a:primock57
calf	ANATOMY	1a	1a:primock57
hips	ANATOMY	1a	1a:primock57
toes	ANATOMY	1a	1a:primock57
right knee	ANATOMY	1a	1a:primock57
knee	ANATOMY	1a	1a:primock57
feet	ANATOMY	1a	1a:primock57
arch	ANATOMY	1a	1a:primock57
acl	ANATOMY	1a	1a:primock57
hand right	ANATOMY	1a	1a:primock57
ligament	ANATOMY	1a	1a:primock57
urinary	ANATOMY	1b	1b:figshare-osce
left heel	ANATOMY	1b	1b:figshare-osce
right leg	ANATOMY	1b	1b:figshare-osce
ankle	ANATOMY	1b	1b:figshare-osce
toe	ANATOMY	1b	1b:figshare-osce
upper right c	ANATOMY	1b	1b:figshare-osce
wisdom teeth	ANATOMY	1b	1b:figshare-osce
right area x	ANATOMY	1b	1b:figshare-osce
face right side	ANATOMY	1b	1b:figshare-osce
right hip	ANATOMY	1b	1b:figshare-osce
buttocks	ANATOMY	1b	1b:figshare-osce
cheeks	ANATOMY	1b	1b:figshare-osce
ribs	ANATOMY	1b	1b:figshare-osce
lower limbs	ANATOMY	1b	1b:figshare-osce
lower back	ANATOMY	1b	1b:figshare-osce
sacroiliac	ANATOMY	1b	1b:figshare-osce
nails	ANATOMY	1b	1b:figshare-osce
limbs	ANATOMY	1b	1b:figshare-osce
right ankle	ANATOMY	1b	1b:figshare-osce
extremities	ANATOMY	1b	1b:figshare-osce
right foot	ANATOMY	1b	1b:figshare-osce
lower leg	ANATOMY	1b	1b:figshare-osce
bones	ANATOMY	1b	1b:figshare-osce
sole	ANATOMY	1b	1b:figshare-osce
right handed	ANATOMY	1b	1b:figshare-osce
muscle group	ANATOMY	1b	1b:figshare-osce
forearms	ANATOMY	1b	1b:figshare-osce
muscular	ANATOMY	1b	1b:figshare-osce
extensor	ANATOMY	1b	1b:figshare-osce
biceps	ANATOMY	1b	1b:figshare-osce
right hip bone	ANATOMY	1b	1b:figshare-osce
right buttock	ANATOMY	1b	1b:figshare-osce
sacral nerve	ANATOMY	1b	1b:figshare-osce
nerve roots	ANATOMY	1b	1b:figshare-osce
left foot	ANATOMY	1b	1b:figshare-osce
buttock	ANATOMY	1b	1b:figshare-osce
hipbone	ANATOMY	1b	1b:figshare-osce
thighs	ANATOMY	1b	1b:figshare-osce
lumbar	ANATOMY	1b	1b:figshare-osce
groin	ANATOMY	1b	1b:figshare-osce
hip	ANATOMY	1b	1b:figshare-osce
lateral part of elbow	ANATOMY	1b	1b:figshare-osce
olecranon	ANATOMY	1b	1b:figshare-osce
humerus	ANATOMY	1b	1b:figshare-osce
triceps	ANATOMY	1b	1b:figshare-osce
ulnar	ANATOMY	1b	1b:figshare-osce
