term	category	first_tier	first_source
loss of appetite	CONDITION	1a	1a:primock57
gastroenteritis	CONDITION	1a	1a:primock57
stomach	CONDITION	1a	1a:primock57
asthma	CONDITION	1a	1a:primock57
times	CONDITION	1a	1a:primock57
best	CONDITION	1a	1a:primock57
ate	CONDITION	1a	1a:primock57
infections	CONDITION	1a	1a:primock57
allergies	CONDITION	1a	1a:primock57
red skin	CONDITION	1a	1a:primock57
bleeding	CONDITION	1a	1a:primock57
dry skin	CONDITION	1a	1a:primock57
disease	CONDITION	1a	1a:primock57
eczema	CONDITION	1a	1a:primock57
skin	CONDITION	1a	1a:primock57
arms	CONDITION	1a	1a:primock57
underactive thyroid	CONDITION	1a	1a:primock57
brain cancer	CONDITION	1a	1a:primock57
brain tumour	CONDITION	1a	1a:primock57
brain tumor	CONDITION	1a	1a:primock57
sensitivity	CONDITION	1a	1a:primock57
meningitis	CONDITION	1a	1a:primock57
migraines	CONDITION	1a	1a:primock57
migraine	CONDITION	1a	1a:primock57
thyroid	CONDITION	1a	1a:primock57
cancer	CONDITION	1a	1a:primock57
brain	CONDITION	1a	1a:primock57
blights	CONDITION	1a	1a:primock57
respiratory tract infection	CONDITION	1a	1a:primock57
viral illness	CONDITION	1a	1a:primock57
sore throat	CONDITION	1a	1a:primock57
diabetes	CONDITION	1a	1a:primock57
redness	CONDITION	1a	1a:primock57
anxiety	CONDITION	1a	1a:primock57
nose	CONDITION	1a	1a:primock57
odd	CONDITION	1a	1a:primock57
flu	CONDITION	1a	1a:primock57
settle	CONDITION	1a	1a:primock57
std	CONDITION	1a	1a:primock57
heart failure	CONDITION	1a	1a:primock57
heart attack	CONDITION	1a	1a:primock57
swelling	CONDITION	1a	1a:primock57
anemia	CONDITION	1a	1a:primock57
heart	CONDITION	1a	1a:primock57
shop	CONDITION	1a	1a:primock57
mmm	CONDITION	1a	1a:primock57
chest infection	CONDITION	1a	1a:primock57
nightmare	CONDITION	1a	1a:primock57
bending	CONDITION	1a	1a:primock57
wee	CONDITION	1a	1a:primock57
allergies medication	CONDITION	1a	1a:primock57
lactose intolerant	CONDITION	1a	1a:primock57
inflammation	CONDITION	1a	1a:primock57
dermatitis	CONDITION	1a	1a:primock57
itchy rash	CONDITION	1a	1a:primock57
condition	CONDITION	1a	1a:primock57
hayfever	CONDITION	1a	1a:primock57
suffers	CONDITION	1a	1a:primock57
suffer	CONDITION	1a	1a:primock57
infection bladder	CONDITION	1a	1a:primock57
bladder	CONDITION	1a	1a:primock57
crampy	CONDITION	1a	1a:primock57
ibs	CONDITION	1a	1a:primock57
uti	CONDITION	1a	1a:primock57
bladder infection	CONDITION	1a	1a:primock57
period pain	CONDITION	1a	1a:primock57
cystitis	CONDITION	1a	1a:primock57
frank	CONDITION	1a	1a:primock57
weed	CONDITION	1a	1a:primock57
colon cancer	CONDITION	1a	1a:primock57
dehydrated	CONDITION	1a	1a:primock57
colon	CONDITION	1a	1a:primock57
anus	CONDITION	1a	1a:primock57
drink too much	CONDITION	1a	1a:primock57
bowel cancer	CONDITION	1a	1a:primock57
suffering	CONDITION	1a	1a:primock57
drink drive	CONDITION	1a	1a:primock57
loss of vision	CONDITION	1a	1a:primock57
analgesia	CONDITION	1a	1a:primock57
resolved	CONDITION	1a	1a:primock57
anxious	CONDITION	1a	1a:primock57
eye	CONDITION	1a	1a:primock57
add	CONDITION	1a	1a:primock57
cold symptoms	CONDITION	1a	1a:primock57
infectious	CONDITION	1a	1a:primock57
drunk	CONDITION	1a	1a:primock57
contact dermatitis	CONDITION	1a	1a:primock57
eczema dermatitis	CONDITION	1a	1a:primock57
ringing in ear	CONDITION	1a	1a:primock57
hearing problem	CONDITION	1a	1a:primock57
blocking	CONDITION	1a	1a:primock57
tinnitus	CONDITION	1a	1a:primock57
ear	CONDITION	1a	1a:primock57
gps	CONDITION	1a	1a:primock57
rheumatoid arthritis	CONDITION	1a	1a:primock57
septic arthritis	CONDITION	1a	1a:primock57
osteoarthritis	CONDITION	1a	1a:primock57
infected joint	CONDITION	1a	1a:primock57
heartburn	CONDITION	1a	1a:primock57
diseases	CONDITION	1a	1a:primock57
bursitis	CONDITION	1a	1a:primock57
lupus	CONDITION	1a	1a:primock57
sacs	CONDITION	1a	1a:primock57
gout	CONDITION	1a	1a:primock57
difficulty swallowing	CONDITION	1a	1a:primock57
neurofibromatosis	CONDITION	1a	1a:primock57
labyrinthitis	CONDITION	1a	1a:primock57
bell's palsy	CONDITION	1a	1a:primock57
chest infections	CONDITION	1a	1a:primock57
blood clots	CONDITION	1a	1a:primock57
lung cancer	CONDITION	1a	1a:primock57
clots	CONDITION	1a	1a:primock57
pale	CONDITION	1a	1a:primock57
lung	CONDITION	1a	1a:primock57
pneumonias	CONDITION	1a	1a:primock57
transient ischemic attacks	CONDITION	1a	1a:primock57
mini-stroke	CONDITION	1a	1a:primock57
strokes	CONDITION	1a	1a:primock57
stroke	CONDITION	1a	1a:primock57
bleed	CONDITION	1a	1a:primock57
park	CONDITION	1a	1a:primock57
tias	CONDITION	1a	1a:primock57
pals	CONDITION	1a	1a:primock57
cup	CONDITION	1a	1a:primock57
tia	CONDITION	1a	1a:primock57
penicillins	CONDITION	1a	1a:primock57
acute allergic reaction	CONDITION	1a	1a:primock57
anaphylactic reactions	CONDITION	1a	1a:primock57
inflammatory reaction	CONDITION	1a	1a:primock57
localised infection	CONDITION	1a	1a:primock57
allergic reaction	CONDITION	1a	1a:primock57
food allergies	CONDITION	1a	1a:primock57
panic attacks	CONDITION	1a	1a:primock57
tongue	CONDITION	1a	1a:primock57
soft	CONDITION	1a	1a:primock57
lip	CONDITION	1a	1a:primock57
indifference	CONDITION	1a	1a:primock57
high cholesterol	CONDITION	1a	1a:primock57
heart attacks	CONDITION	1a	1a:primock57
