term	category	first_tier	first_source
medications	DRUG	1a	1a:primock57
antibiotics	DRUG	1a	1a:primock57
dioralyte	DRUG	1a	1a:primock57
hydrated	DRUG	1a	1a:primock57
vitamins	DRUG	1a	1a:primock57
control	DRUG	1a	1a:primock57
recap	DRUG	1a	1a:primock57
food	DRUG	1a	1a:primock57
hmm	DRUG	1a	1a:primock57
mexamine	DRUG	1a	1a:primock57
pharmaceutical	DRUG	1a	1a:primock57
fexofenadine	DRUG	1a	1a:primock57
loratadine	DRUG	1a	1a:primock57
steroid	DRUG	1a	1a:primock57
piriton	DRUG	1a	1a:primock57
sleep	DRUG	1a	1a:primock57
cream	DRUG	1a	1a:primock57
cough	DRUG	1a	1a:primock57
basis	DRUG	1a	1a:primock57
antihistamine	DRUG	1a	1a:primock57
anti-inflammatories	DRUG	1a	1a:primock57
painkillers	DRUG	1a	1a:primock57
microgynon	DRUG	1a	1a:primock57
co-codamol	DRUG	1a	1a:primock57
ibuprofen	DRUG	1a	1a:primock57
medicines	DRUG	1a	1a:primock57
naproxen	DRUG	1a	1a:primock57
deliver	DRUG	1a	1a:primock57
chat	DRUG	1a	1a:primock57
pill	DRUG	1a	1a:primock57
dry cough	DRUG	1a	1a:primock57
other medication	DRUG	1a	1a:primock57
trimethoprim	DRUG	1a	1a:primock57
cranberry	DRUG	1a	1a:primock57
implanon	DRUG	1a	1a:primock57
mates	DRUG	1a	1a:primock57
rinstead	DRUG	1a	1a:primock57
tinging	DRUG	1a	1a:primock57
furosemide	DRUG	1a	1a:primock57
bisoprolol	DRUG	1a	1a:primock57
metoprolol	DRUG	1a	1a:primock57
medicine	DRUG	1a	1a:primock57
stopping	DRUG	1a	1a:primock57
aspirin	DRUG	1a	1a:primock57
diuretic	DRUG	1a	1a:primock57
cough cold	DRUG	1a	1a:primock57
lisinopril	DRUG	1a	1a:primock57
correct	DRUG	1a	1a:primock57
doc	DRUG	1a	1a:primock57
wine spirit	DRUG	1a	1a:primock57
metforming	DRUG	1a	1a:primock57
nd clear	DRUG	1a	1a:primock57
amoxicillinan	DRUG	1a	1a:primock57
contraceptive	DRUG	1a	1a:primock57
coconut	DRUG	1a	1a:primock57
nitrofurantoin	DRUG	1a	1a:primock57
clindamycin	DRUG	1a	1a:primock57
others	DRUG	1a	1a:primock57
helpin	DRUG	1a	1a:primock57
halls	DRUG	1a	1a:primock57
central	DRUG	1a	1a:primock57
dan	DRUG	1a	1a:primock57
anti-inflammatory	DRUG	1a	1a:primock57
codeine	DRUG	1a	1a:primock57
active	DRUG	1a	1a:primock57
date	DRUG	1a	1a:primock57
all clear	DRUG	1a	1a:primock57
hydrate	DRUG	1a	1a:primock57
double check	DRUG	1a	1a:primock57
cotton	DRUG	1a	1a:primock57
lead	DRUG	1a	1a:primock57
link	DRUG	1a	1a:primock57
syringin	DRUG	1a	1a:primock57
peanuts	DRUG	1a	1a:primock57
rennie	DRUG	1a	1a:primock57
tomorrow	DRUG	1a	1a:primock57
chlorphenamine	DRUG	1a	1a:primock57
epipen	DRUG	1a	1a:primock57
purpose	DRUG	1a	1a:primock57
task	DRUG	1a	1a:primock57
hepatitis b	DRUG	1a	1a:primock57
posture	DRUG	1a	1a:primock57
seroxat	DRUG	1a	1a:primock57
trip	DRUG	1a	1a:primock57
losartan and amlodipine	DRUG	1a	1a:primock57
tension headache	DRUG	1a	1a:primock57
sertraline	DRUG	1a	1a:primock57
generic	DRUG	1a	1a:primock57
atan	DRUG	1a	1a:primock57
soothe	DRUG	1a	1a:primock57
urelief	DRUG	1a	1a:primock57
night nurse	DRUG	1a	1a:primock57
cetirizine	DRUG	1a	1a:primock57
com	DRUG	1a	1a:primock57
r-salbutamol	DRUG	1a	1a:primock57
securinine nitrate	DRUG	1a	1a:primock57
glass	DRUG	1a	1a:primock57
thyroxine	DRUG	1a	1a:primock57
bactroban	DRUG	1a	1a:primock57
prevent	DRUG	1a	1a:primock57
blow	DRUG	1a	1a:primock57
cold cough	DRUG	1a	1a:primock57
penicillin o	DRUG	1a	1a:primock57
diprobase	DRUG	1a	1a:primock57
betnovate	DRUG	1a	1a:primock57
cough and cold	DRUG	1a	1a:primock57
cold and cough	DRUG	1a	1a:primock57
pain killers	DRUG	1a	1a:primock57
day nurse	DRUG	1a	1a:primock57
complete	DRUG	1a	1a:primock57
morning glory	DRUG	1a	1a:primock57
iron supplements	DRUG	1a	1a:primock57
melatonin	DRUG	1a	1a:primock57
shape	DRUG	1a	1a:primock57
lexapro	DRUG	1a	1a:primock57
egg	DRUG	1a	1a:primock57
relaxin	DRUG	1a	1a:primock57
clot	DRUG	1a	1a:primock57
