term	category	first_tier	first_source
blood in urine	LAB_RESULT	1a	1a:primock57
negative	LAB_RESULT	1b	1b:figshare-osce
white blood cell count	LAB_RESULT	1b	1b:figshare-osce
false negatives	LAB_RESULT	1b	1b:figshare-osce
false negative	LAB_RESULT	1b	1b:figshare-osce
labs	LAB_RESULT	1b	1b:figshare-osce
atrial fibrillation	LAB_RESULT	1b	1b:figshare-osce
test result	LAB_RESULT	1b	1b:figshare-osce
afib	LAB_RESULT	1b	1b:figshare-osce
glucose levels	LAB_RESULT	1b	1b:figshare-osce
resistant	LAB_RESULT	1c	1c:nazmulkazi
absent	LAB_RESULT	1c	1c:nazmulkazi
expressed	LAB_RESULT	1c	1c:nazmulkazi
not secreted	LAB_RESULT	1c	1c:nazmulkazi
electrolyte levels	LAB_RESULT	1c	1c:nazmulkazi
identified	LAB_RESULT	1c	1c:nazmulkazi
biochemical finding	LAB_RESULT	1c	1c:nazmulkazi
intermediate	LAB_RESULT	1c	1c:nazmulkazi
genome profile	LAB_RESULT	1c	1c:nazmulkazi
blood glucose fasting	LAB_RESULT	1e_eka	1e:eka
hiv seropositivity	LAB_RESULT	1e_eka	1e:eka
snowstorm knee	LAB_RESULT	1e_eka	1e:eka
glucose	LAB_RESULT	1e_eka	1e:eka
glucose plasma	LAB_RESULT	1e_eka	1e:eka
fungus	LAB_RESULT	1e_eka	1e:eka
human cells	LAB_RESULT	1e_eka	1e:eka
atrial flutter	LAB_RESULT	1e_eka	1e:eka
red blood cell count	LAB_RESULT	1e_eka	1e:eka
secreted	LAB_RESULT	1e_eka	1e:eka
serum chloride	LAB_RESULT	1e_eka	1e:eka
pus cells	LAB_RESULT	1e_eka	1e:eka
cholesterol total	LAB_RESULT	1e_eka	1e:eka
urine epithelial cells	LAB_RESULT	1e_eka	1e:eka
serum potassium	LAB_RESULT	1e_eka	1e:eka
laboratory findings	LAB_RESULT	1e_eka	1e:eka
eosinophil count	LAB_RESULT	1e_eka	1e:eka
blood group abo	LAB_RESULT	1e_eka	1e:eka
ldl hdl ratio	LAB_RESULT	1e_eka	1e:eka
urine rbc	LAB_RESULT	1e_eka	1e:eka
urine protein	LAB_RESULT	1e_eka	1e:eka
platelet distribution width	LAB_RESULT	1e_eka	1e:eka
packed cell volume	LAB_RESULT	1e_eka	1e:eka
phosphate level	LAB_RESULT	1e_eka	1e:eka
total protein serum	LAB_RESULT	1e_eka	1e:eka
bilirubin total	LAB_RESULT	1e_eka	1e:eka
low platelet count	LAB_RESULT	1e_eka	1e:eka
less than two	LAB_RESULT	2b	2b:yt_med
presence of bacteria	LAB_RESULT	2b	2b:yt_med
five to ten	LAB_RESULT	2b	2b:yt_med
hypoproteinemia	LAB_RESULT	2b	2b:yt_med
protein level	LAB_RESULT	2b	2b:yt_med
rv filling	LAB_RESULT	2b	2b:yt_med
antibody titer	LAB_RESULT	2b	2b:yt_med
gamma hemolysis	LAB_RESULT	2b	2b:yt_med
amplified	LAB_RESULT	2b	2b:yt_med
