term	category	first_tier	first_source
conservative management	PROCEDURE	1a	1a:primock57
temperature	PROCEDURE	1a	1a:primock57
paracetamol	PROCEDURE	1a	1a:primock57
toilet	PROCEDURE	1a	1a:primock57
fluids	PROCEDURE	1a	1a:primock57
liquid	PROCEDURE	1a	1a:primock57
light	PROCEDURE	1a	1a:primock57
admit	PROCEDURE	1a	1a:primock57
tests	PROCEDURE	1a	1a:primock57
life	PROCEDURE	1a	1a:primock57
problem:	PROCEDURE	1a	1a:primock57
prescribed	PROCEDURE	1a	1a:primock57
discussion	PROCEDURE	1a	1a:primock57
prescribe	PROCEDURE	1a	1a:primock57
change	PROCEDURE	1a	1a:primock57
affect	PROCEDURE	1a	1a:primock57
bath	PROCEDURE	1a	1a:primock57
far	PROCEDURE	1a	1a:primock57
examination	PROCEDURE	1a	1a:primock57
diagnosed	PROCEDURE	1a	1a:primock57
left eye	PROCEDURE	1a	1a:primock57
exercise	PROCEDURE	1a	1a:primock57
speech	PROCEDURE	1a	1a:primock57
coping	PROCEDURE	1a	1a:primock57
contraception;f	PROCEDURE	1a	1a:primock57
general	PROCEDURE	1a	1a:primock57
mine	PROCEDURE	1a	1a:primock57
barrier method	PROCEDURE	1a	1a:primock57
inserted	PROCEDURE	1a	1a:primock57
surgical	PROCEDURE	1a	1a:primock57
medical	PROCEDURE	1a	1a:primock57
screen	PROCEDURE	1a	1a:primock57
full blood count	PROCEDURE	1a	1a:primock57
catch my breath	PROCEDURE	1a	1a:primock57
blood pressure	PROCEDURE	1a	1a:primock57
echocardiogram	PROCEDURE	1a	1a:primock57
blood test	PROCEDURE	1a	1a:primock57
reporting	PROCEDURE	1a	1a:primock57
drugs	PROCEDURE	1a	1a:primock57
scan	PROCEDURE	1a	1a:primock57
division	PROCEDURE	1a	1a:primock57
primary	PROCEDURE	1a	1a:primock57
cutting	PROCEDURE	1a	1a:primock57
remind	PROCEDURE	1a	1a:primock57
water	PROCEDURE	1a	1a:primock57
cold	PROCEDURE	1a	1a:primock57
feed	PROCEDURE	1a	1a:primock57
top	PROCEDURE	1a	1a:primock57
ehealth	PROCEDURE	1a	1a:primock57
first fill	PROCEDURE	1a	1a:primock57
barrier contraception	PROCEDURE	1a	1a:primock57
bicarbonate	PROCEDURE	1a	1a:primock57
mrs	PROCEDURE	1a	1a:primock57
admitted	PROCEDURE	1a	1a:primock57
passage	PROCEDURE	1a	1a:primock57
fluid replacement	PROCEDURE	1a	1a:primock57
soft diet	PROCEDURE	1a	1a:primock57
steps	PROCEDURE	1a	1a:primock57
right eye	PROCEDURE	1a	1a:primock57
genetics	PROCEDURE	1a	1a:primock57
bed rest	PROCEDURE	1a	1a:primock57
field	PROCEDURE	1a	1a:primock57
wear gloves	PROCEDURE	1a	1a:primock57
grinding	PROCEDURE	1a	1a:primock57
physical	PROCEDURE	1a	1a:primock57
mesa	PROCEDURE	1a	1a:primock57
assessment	PROCEDURE	1a	1a:primock57
treatment	PROCEDURE	1a	1a:primock57
tip	PROCEDURE	1a	1a:primock57
neurological examination	PROCEDURE	1a	1a:primock57
latex	PROCEDURE	1a	1a:primock57
methotrexate	PROCEDURE	1a	1a:primock57
chest x-ray	PROCEDURE	1a	1a:primock57
cat	PROCEDURE	1a	1a:primock57
sle	PROCEDURE	1a	1a:primock57
ultrasound of carotid arteries	PROCEDURE	1a	1a:primock57
surgery plastic	PROCEDURE	1a	1a:primock57
cholesterol	PROCEDURE	1a	1a:primock57
referral	PROCEDURE	1a	1a:primock57
blood testing	PROCEDURE	1a	1a:primock57
appearance	PROCEDURE	1a	1a:primock57
calm	PROCEDURE	1a	1a:primock57
other treatment	PROCEDURE	1a	1a:primock57
shoulder	PROCEDURE	1a	1a:primock57
intake	PROCEDURE	1a	1a:primock57
revaccinations	PROCEDURE	1a	1a:primock57
bold	PROCEDURE	1a	1a:primock57
counselling service	PROCEDURE	1a	1a:primock57
counselling	PROCEDURE	1a	1a:primock57
diet	PROCEDURE	1a	1a:primock57
injections	PROCEDURE	1a	1a:primock57
injection	PROCEDURE	1a	1a:primock57
dot	PROCEDURE	1a	1a:primock57
tests and examinations	PROCEDURE	1a	1a:primock57
vitamin levels	PROCEDURE	1a	1a:primock57
report	PROCEDURE	1a	1a:primock57
hydrocortisone	PROCEDURE	1a	1a:primock57
overlap	PROCEDURE	1a	1a:primock57
sugars	PROCEDURE	1a	1a:primock57
contact lenses	PROCEDURE	1a	1a:primock57
brain scan	PROCEDURE	1a	1a:primock57
massage	PROCEDURE	1a	1a:primock57
feeding	PROCEDURE	1a	1a:primock57
travel	PROCEDURE	1a	1a:primock57
reassuring	PROCEDURE	1a	1a:primock57
cocaine	PROCEDURE	1a	1a:primock57
c-section	PROCEDURE	1a	1a:primock57
resolve	PROCEDURE	1a	1a:primock57
sounding	PROCEDURE	1a	1a:primock57
medication treatments	PROCEDURE	1a	1a:primock57
neurological exam	PROCEDURE	1a	1a:primock57
reassurance	PROCEDURE	1a	1a:primock57
diagnoses	PROCEDURE	1a	1a:primock57
prescriptions	PROCEDURE	1a	1a:primock57
inpatient	PROCEDURE	1a	1a:primock57
prime	PROCEDURE	1a	1a:primock57
reintubation	PROCEDURE	1a	1a:primock57
