term	category	first_tier	first_source
17 beta estradiol	DRUG	2a	2a:yt_med_seg
17-beta estradiol	DRUG	4b	4b:thalamus_notes
3-aminobenzoic acid	DRUG	3b	3b:united_syn_med
3tc lamivudine	DRUG	4b	4b:thalamus_notes
4-sulfanilic acid	DRUG	2a	2a:yt_med_seg
400 mg ibuprofen	DRUG	4b	4b:thalamus_notes
5 fluorouracil	DRUG	4b	4b:thalamus_notes
5-hydroxydecanoic acid	DRUG	3b	3b:united_syn_med
50mg hydrochlorothiazide	DRUG	4b	4b:thalamus_notes
6 methylprednisolone	DRUG	4b	4b:thalamus_notes
800 mg ibuprofen	DRUG	4b	4b:thalamus_notes
81 mg aspirin	DRUG	3d	3d:kokoro_tts
abacavir	DRUG	2a	2a:yt_med_seg
abacavir 300 mg	DRUG	4b	4b:thalamus_notes
abilify	DRUG	1c	1c:nazmulkazi
abilify maintena kit	DRUG	3b	3b:united_syn_med
abiraterone acetate	DRUG	3a	3a:syn_dict
acamprosate calcium	DRUG	3b	3b:united_syn_med
acellular pertussis	DRUG	4b	4b:thalamus_notes
acetaminophen	DRUG	1a	1a:primock57
acetaminophen 100 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 1000 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 120 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 130 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 15 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 150 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 160 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 165 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 170 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 180 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 200 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 240 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 250 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 300 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 320 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 325 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 50 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 500 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 650 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 750 mg	DRUG	4b	4b:thalamus_notes
acetaminophen 80 mg	DRUG	4b	4b:thalamus_notes
acetaminophen and caffeine	DRUG	3b	3b:united_syn_med
acetaminophen and propoxyphene napsylate	DRUG	3b	3b:united_syn_med
acetaminophen butalbital	DRUG	3b	3b:united_syn_med
acetaminophen caffeine	DRUG	3b	3b:united_syn_med
acetaminophen codeine	DRUG	3a	3a:syn_dict
acetaminophen hydrocodone	DRUG	3b	3b:united_syn_med
acetaminophen oxycodone	DRUG	3a	3a:syn_dict
acetaminophen pm	DRUG	4b	4b:thalamus_notes
acetaminophen propoxyphene	DRUG	3b	3b:united_syn_med
acetaminophen tramadol	DRUG	4b	4b:thalamus_notes
acetaminophen with codeine	DRUG	3a	3a:syn_dict
acetate	DRUG	1e_eka	1e:eka
acetohydroxamic acid	DRUG	3a	3a:syn_dict
acetohydroxamic acid 250 mg	DRUG	4b	4b:thalamus_notes
acetyl salicylate	DRUG	4b	4b:thalamus_notes
acetylcysteine	DRUG	3a	3a:syn_dict
acetylcysteine 600 mg	DRUG	4b	4b:thalamus_notes
acetylsalicylic acid	DRUG	3a	3a:syn_dict
acid folinic	DRUG	4b	4b:thalamus_notes
acid gamma-linolenic	DRUG	3b	3b:united_syn_med
acid reducer	DRUG	2a	2a:yt_med_seg
acid relief	DRUG	3b	3b:united_syn_med
acid tranexamic	DRUG	2a	2a:yt_med_seg
acidophilus probiotic	DRUG	4a	4a:ezdi
actifed with codeine	DRUG	3b	3b:united_syn_med
activated charcoal	DRUG	2a	2a:yt_med_seg
activated charcoal 300 mg	DRUG	4b	4b:thalamus_notes
actonel with calcium	DRUG	3b	3b:united_syn_med
acyclovir	DRUG	1e_eka	1e:eka
acyclovir 200 mg	DRUG	4b	4b:thalamus_notes
acyclovir 400 mg	DRUG	4b	4b:thalamus_notes
acyclovir 500 mg	DRUG	4b	4b:thalamus_notes
acyclovir 800 mg	DRUG	4b	4b:thalamus_notes
acyclovir ointment	DRUG	3a	3a:syn_dict
acyclovir ophthalmic ointment	DRUG	4b	4b:thalamus_notes
adderall	DRUG	1c	1c:nazmulkazi
adderall xr	DRUG	3a	3a:syn_dict
adjuvant	DRUG	1e_eka	1e:eka
adrenalin	DRUG	2a	2a:yt_med_seg
adrenaline	DRUG	2a	2a:yt_med_seg
adrenaline bitartrate	DRUG	3b	3b:united_syn_med
adrenaline tartrate	DRUG	3b	3b:united_syn_med
adrenergic	DRUG	2b	2b:yt_med
adult aspirin	DRUG	4b	4b:thalamus_notes
advair	DRUG	2a	2a:yt_med_seg
advair diskus	DRUG	3a	3a:syn_dict
advair hfa	DRUG	3b	3b:united_syn_med
advil	DRUG	1b	1b:figshare-osce
advil allergy and congestion relief	DRUG	3b	3b:united_syn_med
advil dual action with acetaminophen	DRUG	3b	3b:united_syn_med
advil migraine	DRUG	3b	3b:united_syn_med
advil pm	DRUG	3b	3b:united_syn_med
afrin	DRUG	2a	2a:yt_med_seg
afrin nasal spray	DRUG	3c	3c:syn_piper
albendazole	DRUG	2a	2a:yt_med_seg
albendazole 200 mg	DRUG	4b	4b:thalamus_notes
albendazole 400 mg	DRUG	4b	4b:thalamus_notes
albumin human	DRUG	3b	3b:united_syn_med
albuterol	DRUG	2b	2b:yt_med
albuterol 1 mg	DRUG	4b	4b:thalamus_notes
albuterol and ipratropium	DRUG	3a	3a:syn_dict
albuterol ipratropium	DRUG	3a	3a:syn_dict
aldactone	DRUG	1e_eka	1e:eka
alendronate	DRUG	1b	1b:figshare-osce
alendronic acid	DRUG	3a	3a:syn_dict
alendronic acid 10 mg	DRUG	4b	4b:thalamus_notes
alendronic acid 70 mg	DRUG	4b	4b:thalamus_notes
alert	DRUG	1c	1c:nazmulkazi
aleve	DRUG	1a	1a:primock57
aleve pm	DRUG	3b	3b:united_syn_med
alginic acid	DRUG	3b	3b:united_syn_med
align	DRUG	1b	1b:figshare-osce
aliskiren and hydrochlorothiazide	DRUG	3b	3b:united_syn_med
all-trans retinoic acid	DRUG	3b	3b:united_syn_med
allergen	DRUG	1b	1b:figshare-osce
allergies benadryl	DRUG	4b	4b:thalamus_notes
allopurinol	DRUG	2a	2a:yt_med_seg
allopurinol 100 mg	DRUG	4b	4b:thalamus_notes
allopurinol 300 mg	DRUG	4b	4b:thalamus_notes
alpha amylase	DRUG	2a	2a:yt_med_seg
alpha hydroxy acid	DRUG	2a	2a:yt_med_seg
alpha lipoic acid	DRUG	1e_eka	1e:eka
alpha-linolenic acid	DRUG	3b	3b:united_syn_med
alpha-methyl dopa	DRUG	4b	4b:thalamus_notes
alpha-tocopheryl acid succinate	DRUG	3b	3b:united_syn_med
alprazolam 1 mg	DRUG	4b	4b:thalamus_notes
altace	DRUG	3a	3a:syn_dict
