category	length	n_total	n_errors	error_rate_pct
ANATOMY	1	2507	296	11.81
ANATOMY	2	379	50	13.19
ANATOMY	3	21	0	0.00
ANATOMY	4	6	0	0.00
CONDITION	1	3952	379	9.59
CONDITION	2	1135	156	13.74
CONDITION	3	110	27	24.55
CONDITION	4	6	3	50.00
DRUG	1	3620	625	17.27
DRUG	2	305	60	19.67
DRUG	3	12	5	41.67
DRUG	4	9	2	22.22
FINDING	1	6663	665	9.98
FINDING	2	1834	243	13.25
FINDING	3	637	90	14.13
FINDING	4	100	18	18.00
FINDING	5	10	4	40.00
LAB_RESULT	1	31	10	32.26
LAB_RESULT	2	14	4	28.57
LAB_RESULT	4	2	2	100.00
PROCEDURE	1	3360	454	13.51
PROCEDURE	2	316	154	48.73
PROCEDURE	3	78	30	38.46
PROCEDURE	4	5	3	60.00
SYMPTOM	1	4753	621	13.07
SYMPTOM	2	2008	153	7.62
SYMPTOM	3	337	48	14.24
SYMPTOM	4	10	2	20.00
SYMPTOM	5	8	2	25.00
