category	length	n_total	n_errors	error_rate_pct
ANATOMY	1	871	82	9.41
ANATOMY	2	67	12	17.91
CONDITION	1	2002	180	8.99
CONDITION	2	129	8	6.20
CONDITION	3	15	0	0.00
DRUG	1	1245	198	15.90
DRUG	2	54	8	14.81
DRUG	3	3	0	0.00
FINDING	1	4770	321	6.73
FINDING	2	2282	86	3.77
FINDING	3	67	7	10.45
FINDING	4	4	2	50.00
FINDING	5	1	0	0.00
LAB_RESULT	1	29	3	10.34
LAB_RESULT	2	4	1	25.00
PROCEDURE	1	1630	168	10.31
PROCEDURE	2	95	20	21.05
PROCEDURE	3	19	1	5.26
PROCEDURE	4	1	0	0.00
SYMPTOM	1	418	37	8.85
SYMPTOM	2	71	3	4.23
SYMPTOM	3	8	0	0.00
