term	category	length	n_occurrences	n_errors	error_rate_pct
talked	CONDITION	1	143	30	20.98
don't know	FINDING	2	1275	23	1.80
klonopin	DRUG	1	19	19	100.00
wellbutrin	DRUG	1	19	18	94.74
write	FINDING	1	67	15	22.39
back	ANATOMY	1	370	13	3.51
worried	FINDING	1	113	12	10.62
turn	FINDING	1	51	10	19.61
change	PROCEDURE	1	93	9	9.68
5 minutes	PROCEDURE	2	9	9	100.00
contacts	PROCEDURE	1	8	8	100.00
stress	FINDING	1	23	7	30.43
seroquel	DRUG	1	7	7	100.00
best	CONDITION	1	70	7	10.00
changed	PROCEDURE	1	34	6	17.65
hurt	FINDING	1	96	6	6.25
die	ANATOMY	1	22	6	27.27
talks	FINDING	1	20	6	30.00
adderal	DRUG	1	6	6	100.00
3 hours	FINDING	2	6	6	100.00
cat	PROCEDURE	1	11	6	54.55
ask question	FINDING	2	7	6	85.71
spell	SYMPTOM	1	5	5	100.00
problem	PROCEDURE	1	133	5	3.76
others	DRUG	1	20	5	25.00
hyper	CONDITION	1	5	5	100.00
sitting	FINDING	1	57	5	8.77
bright	FINDING	1	11	5	45.45
add	CONDITION	1	28	5	17.86
pass	FINDING	1	7	5	71.43
sleep	DRUG	1	79	5	6.33
easy	FINDING	1	41	5	12.20
ambien	DRUG	1	9	5	55.56
hand	FINDING	1	39	5	12.82
and part	ANATOMY	2	20	5	25.00
overtime	DRUG	1	5	5	100.00
act	PROCEDURE	1	14	5	35.71
service	PROCEDURE	1	13	5	38.46
fix	DRUG	1	34	5	14.71
chat	DRUG	1	6	5	83.33
run	FINDING	1	54	5	9.26
comfortable	FINDING	1	56	4	7.14
times	CONDITION	1	154	4	2.60
knowledge	FINDING	1	11	4	36.36
west	CONDITION	1	6	4	66.67
sit	FINDING	1	54	4	7.41
drugs	PROCEDURE	1	25	4	16.00
ice	DRUG	1	5	4	80.00
release	PROCEDURE	1	13	4	30.77
else	FINDING	1	108	4	3.70
dress	CONDITION	1	10	4	40.00
2 years	FINDING	2	4	4	100.00
men	CONDITION	1	5	4	80.00
base	ANATOMY	1	8	4	50.00
released	PROCEDURE	1	6	4	66.67
issue	FINDING	1	54	4	7.41
top	PROCEDURE	1	40	4	10.00
agree	FINDING	1	26	3	11.54
wearing	FINDING	1	11	3	27.27
despair	SYMPTOM	1	5	3	60.00
skip	FINDING	1	6	3	50.00
cars	PROCEDURE	1	7	3	42.86
cvs	FINDING	1	4	3	75.00
ass	CONDITION	1	11	3	27.27
frank	CONDITION	1	3	3	100.00
location	ANATOMY	1	6	3	50.00
aleve	DRUG	1	3	3	100.00
speak	FINDING	1	29	3	10.34
body	ANATOMY	1	33	3	9.09
lights	CONDITION	1	7	3	42.86
breast	PROCEDURE	1	3	3	100.00
snow	DRUG	1	13	3	23.08
option	FINDING	1	35	3	8.57
stopping	DRUG	1	8	3	37.50
options	FINDING	1	21	3	14.29
field	PROCEDURE	1	24	3	12.50
park	CONDITION	1	8	3	37.50
mine	PROCEDURE	1	22	3	13.64
and right	ANATOMY	2	5	3	60.00
walking	FINDING	1	50	3	6.00
serious	FINDING	1	16	3	18.75
sad	CONDITION	1	62	3	4.84
mouse	PROCEDURE	1	3	3	100.00
helped	FINDING	1	17	3	17.65
wings	ANATOMY	1	5	3	60.00
sick	SYMPTOM	1	63	3	4.76
face	ANATOMY	1	28	3	10.71
either	FINDING	1	120	3	2.50
responsible	FINDING	1	39	3	7.69
active	DRUG	1	11	3	27.27
heart	CONDITION	1	42	3	7.14
hope	FINDING	1	47	3	6.38
present	FINDING	1	24	3	12.50
panic	FINDING	1	37	3	8.11
fat	DRUG	1	7	3	42.86
can't get	FINDING	2	32	3	9.38
red	FINDING	1	10	3	30.00
berry	DRUG	1	3	3	100.00
head	ANATOMY	1	75	3	4.00
something something	FINDING	2	4	3	75.00
heads	ANATOMY	1	7	3	42.86
car	CONDITION	1	65	3	4.62
instead	DRUG	1	62	3	4.84
weight	SYMPTOM	1	11	3	27.27
catch	SYMPTOM	1	13	3	23.08
ear	CONDITION	1	2	2	100.00
ski	ANATOMY	1	2	2	100.00
paw	ANATOMY	1	3	2	66.67
david	CONDITION	1	30	2	6.67
egg	DRUG	1	2	2	100.00
increase	FINDING	1	3	2	66.67
sign	FINDING	1	11	2	18.18
water	PROCEDURE	1	18	2	11.11
life	PROCEDURE	1	214	2	0.93
klonopins	DRUG	1	2	2	100.00
psychological	CONDITION	1	8	2	25.00
difficulty	FINDING	1	5	2	40.00
prescribed	PROCEDURE	1	5	2	40.00
found	FINDING	1	49	2	4.08
wind	SYMPTOM	1	2	2	100.00
art	DRUG	1	5	2	40.00
helping	DRUG	1	31	2	6.45
feeding	PROCEDURE	1	3	2	66.67
classes	PROCEDURE	1	14	2	14.29
snore	SYMPTOM	1	2	2	100.00
coke	DRUG	1	7	2	28.57
pop	ANATOMY	1	3	2	66.67
please	FINDING	1	19	2	10.53
tired	SYMPTOM	1	43	2	4.65
strep	CONDITION	1	3	2	66.67
jerk	FINDING	1	10	2	20.00
not well	FINDING	2	4	2	50.00
ladder	CONDITION	1	2	2	100.00
healthcare	PROCEDURE	1	3	2	66.67
couples therapy	PROCEDURE	2	7	2	28.57
parrot	CONDITION	1	2	2	100.00
remind	PROCEDURE	1	11	2	18.18
light	PROCEDURE	1	13	2	15.38
counselors	FINDING	1	4	2	50.00
separate	FINDING	1	30	2	6.67
process	ANATOMY	1	59	2	3.39
discipline	PROCEDURE	1	12	2	16.67
medicine	DRUG	1	13	2	15.38
date	DRUG	1	14	2	14.29
aspects	PROCEDURE	1	13	2	15.38
asked question	FINDING	2	4	2	50.00
asleep	FINDING	1	17	2	11.76
carry	FINDING	1	10	2	20.00
card	CONDITION	1	5	2	40.00
stalking	FINDING	1	2	2	100.00
fox	CONDITION	1	2	2	100.00
couple	FINDING	1	144	2	1.39
cleaning	FINDING	1	15	2	13.33
nursing	PROCEDURE	1	3	2	66.67
march	CONDITION	1	12	2	16.67
star	CONDITION	1	3	2	66.67
eye	CONDITION	1	3	2	66.67
problems	FINDING	1	44	2	4.55
uncomfortable	FINDING	1	42	2	4.76
exam	PROCEDURE	1	12	2	16.67
stepping	FINDING	1	7	2	28.57
transfer	PROCEDURE	1	2	2	100.00
playing	FINDING	1	21	2	9.52
shoulders	ANATOMY	1	8	2	25.00
worry	FINDING	1	36	2	5.56
witches	FINDING	1	2	2	100.00
herniated disc	CONDITION	2	6	2	33.33
determination	PROCEDURE	1	3	2	66.67
possible	FINDING	1	42	2	4.76
turned	FINDING	1	13	2	15.38
steering	FINDING	1	2	2	100.00
likely	FINDING	1	23	2	8.70
locking	CONDITION	1	2	2	100.00
shell	ANATOMY	1	3	2	66.67
complement	PROCEDURE	1	2	2	100.00
ashamed	FINDING	1	15	2	13.33
washed	FINDING	1	2	2	100.00
changer	PROCEDURE	1	2	2	100.00
pulled	FINDING	1	7	2	28.57
bath	PROCEDURE	1	2	2	100.00
bus	DRUG	1	13	2	15.38
6th grade	FINDING	2	2	2	100.00
