category	length	n_total	n_errors	error_rate_pct
ANATOMY	1	496	36	7.26
ANATOMY	2	57	9	15.79
ANATOMY	3	11	1	9.09
ANATOMY	4	2	0	0.00
CONDITION	1	833	70	8.40
CONDITION	2	176	20	11.36
CONDITION	3	21	2	9.52
DRUG	1	739	119	16.10
DRUG	2	47	8	17.02
DRUG	3	4	1	25.00
DRUG	4	1	1	100.00
FINDING	1	1669	90	5.39
FINDING	2	506	38	7.51
FINDING	3	110	29	26.36
FINDING	4	10	3	30.00
FINDING	5	2	0	0.00
LAB_RESULT	3	2	0	0.00
PROCEDURE	1	690	60	8.70
PROCEDURE	2	73	6	8.22
PROCEDURE	3	4	0	0.00
PROCEDURE	4	1	0	0.00
SYMPTOM	1	759	61	8.04
SYMPTOM	2	238	26	10.92
SYMPTOM	3	81	9	11.11
SYMPTOM	4	6	2	33.33
