term	category	length	n_occurrences	n_errors	error_rate_pct
diarrhoea	SYMPTOM	1	24	23	95.83
ibuprofen	DRUG	1	42	12	28.57
fit and well	FINDING	3	18	9	50.00
run	FINDING	1	22	9	40.91
wee	CONDITION	1	39	8	20.51
face	ANATOMY	1	28	8	28.57
ventolin	DRUG	1	8	8	100.00
not not really	FINDING	3	8	7	87.50
hand	FINDING	1	23	7	30.43
dot	PROCEDURE	1	7	7	100.00
headache	SYMPTOM	1	74	6	8.11
problem	PROCEDURE	1	28	6	21.43
dioralyte	DRUG	1	5	5	100.00
don't know	FINDING	2	76	5	6.58
lisinopril	DRUG	1	6	5	83.33
lower	ANATOMY	1	24	5	20.83
pill	DRUG	1	21	5	23.81
very much	FINDING	2	40	4	10.00
piriton	DRUG	1	4	4	100.00
eczema	CONDITION	1	25	4	16.00
temperature	PROCEDURE	1	37	4	10.81
right right	ANATOMY	2	5	4	80.00
cough	DRUG	1	50	4	8.00
tests	PROCEDURE	1	28	4	14.29
back	ANATOMY	1	94	4	4.26
mini-stroke	CONDITION	1	4	4	100.00
short of breath	SYMPTOM	3	44	4	9.09
salbutamol	DRUG	1	10	4	40.00
light-headed	SYMPTOM	1	4	4	100.00
difficult	FINDING	1	23	3	13.04
loratadine	DRUG	1	3	3	100.00
arm	ANATOMY	1	16	3	18.75
light	PROCEDURE	1	17	3	17.65
well-hydrated	FINDING	1	3	3	100.00
medications	DRUG	1	68	3	4.41
trimethoprim	DRUG	1	3	3	100.00
implanon	DRUG	1	9	3	33.33
furosemide	DRUG	1	3	3	100.00
metformin	DRUG	1	6	3	50.00
hayfever	CONDITION	1	3	3	100.00
definitely	FINDING	1	41	3	7.32
medical	PROCEDURE	1	43	3	6.98
bowel	ANATOMY	1	7	3	42.86
related	FINDING	1	20	3	15.00
antihistamine	DRUG	1	8	3	37.50
asthma	CONDITION	1	51	3	5.88
chest pains	SYMPTOM	2	4	3	75.00
slight	FINDING	1	7	3	42.86
stairs	FINDING	1	7	3	42.86
amoxicillin	DRUG	1	4	3	75.00
mebeverine	DRUG	1	3	3	100.00
controlled	FINDING	1	2	2	100.00
symptoms	SYMPTOM	1	117	2	1.71
normal	FINDING	1	61	2	3.28
fever	FINDING	1	29	2	6.90
infection	CONDITION	1	26	2	7.69
fexofenadine	DRUG	1	2	2	100.00
disease	CONDITION	1	5	2	40.00
brain tumour	CONDITION	2	2	2	100.00
migraine	CONDITION	1	25	2	8.00
problems	FINDING	1	99	2	2.02
bisoprolol	DRUG	1	2	2	100.00
coughing	SYMPTOM	1	21	2	9.52
drugs	PROCEDURE	1	9	2	22.22
teacher	FINDING	1	5	2	40.00
fluids	PROCEDURE	1	25	2	8.00
worry	FINDING	1	20	2	10.00
no problems	FINDING	2	4	2	50.00
nitrofurantoin	DRUG	1	2	2	100.00
feeling ok	SYMPTOM	2	2	2	100.00
lives	FINDING	1	8	2	25.00
couple	FINDING	1	82	2	2.44
no vomiting	FINDING	2	3	2	66.67
nausea vomiting	SYMPTOM	2	8	2	25.00
medicine	DRUG	1	5	2	40.00
history	FINDING	1	66	2	3.03
hearing	FINDING	1	10	2	20.00
cotton	DRUG	1	2	2	100.00
skin	CONDITION	1	34	2	5.88
dry	SYMPTOM	1	18	2	11.11
nose	CONDITION	1	12	2	16.67
ear	CONDITION	1	19	2	10.53
methotrexate	PROCEDURE	1	5	2	40.00
cat	PROCEDURE	1	5	2	40.00
strokes	CONDITION	1	3	2	66.67
double check	DRUG	2	5	2	40.00
sertraline	DRUG	1	3	2	66.67
cetirizine	DRUG	1	2	2	100.00
ben	CONDITION	1	2	2	100.00
rash	SYMPTOM	1	24	2	8.33
hyperthyroidism	CONDITION	1	2	2	100.00
pain killers	DRUG	2	2	2	100.00
lexapro	DRUG	1	2	2	100.00
else	FINDING	1	69	2	2.90
hyperthyroid	CONDITION	1	3	2	66.67
paracetamol	PROCEDURE	1	33	2	6.06
