dataset	model	file_id	medical_errors	medical_total
figshare-osce	canary-180m-flash	CAR0001	67	87
figshare-osce	canary-180m-flash	CAR0002	74	99
figshare-osce	canary-180m-flash	CAR0003	98	122
figshare-osce	canary-180m-flash	CAR0004	68	74
figshare-osce	canary-180m-flash	CAR0005	63	70
figshare-osce	canary-180m-flash	DER0001	33	120
figshare-osce	canary-180m-flash	GAS0001	60	74
figshare-osce	canary-180m-flash	GAS0002	39	73
figshare-osce	canary-180m-flash	GAS0003	64	77
figshare-osce	canary-180m-flash	GAS0004	45	75
figshare-osce	canary-180m-flash	GAS0005	92	125
figshare-osce	canary-180m-flash	GAS0007	30	60
figshare-osce	canary-180m-flash	GEN0001	13	71
figshare-osce	canary-180m-flash	MSK0001	88	112
figshare-osce	canary-180m-flash	MSK0003	134	161
figshare-osce	canary-180m-flash	MSK0004	100	116
figshare-osce	canary-180m-flash	MSK0005	120	138
figshare-osce	canary-180m-flash	MSK0006	166	194
figshare-osce	canary-180m-flash	MSK0007	15	143
figshare-osce	canary-180m-flash	MSK0008	13	154
figshare-osce	canary-180m-flash	MSK0009	9	184
figshare-osce	canary-180m-flash	MSK0010	5	142
figshare-osce	canary-180m-flash	MSK0011	15	153
figshare-osce	canary-180m-flash	MSK0012	16	163
figshare-osce	canary-180m-flash	MSK0013	17	188
figshare-osce	canary-180m-flash	MSK0014	8	171
figshare-osce	canary-180m-flash	MSK0015	23	175
figshare-osce	canary-180m-flash	MSK0016	187	216
figshare-osce	canary-180m-flash	MSK0017	143	163
figshare-osce	canary-180m-flash	MSK0018	86	94
figshare-osce	canary-180m-flash	MSK0019	112	124
figshare-osce	canary-180m-flash	MSK0020	159	179
figshare-osce	canary-180m-flash	MSK0021	151	183
figshare-osce	canary-180m-flash	MSK0022	14	210
figshare-osce	canary-180m-flash	MSK0023	1	103
figshare-osce	canary-180m-flash	MSK0024	11	117
figshare-osce	canary-180m-flash	MSK0025	12	146
figshare-osce	canary-180m-flash	MSK0026	14	138
figshare-osce	canary-180m-flash	MSK0027	8	151
figshare-osce	canary-180m-flash	MSK0028	13	157
figshare-osce	canary-180m-flash	MSK0029	176	212
figshare-osce	canary-180m-flash	MSK0031	86	132
figshare-osce	canary-180m-flash	MSK0032	100	105
figshare-osce	canary-180m-flash	MSK0033	16	141
figshare-osce	canary-180m-flash	MSK0034	18	147
figshare-osce	canary-180m-flash	MSK0035	15	169
figshare-osce	canary-180m-flash	MSK0036	11	191
figshare-osce	canary-180m-flash	MSK0037	12	174
figshare-osce	canary-180m-flash	MSK0038	155	186
figshare-osce	canary-180m-flash	MSK0039	104	124
figshare-osce	canary-180m-flash	MSK0040	11	153
figshare-osce	canary-180m-flash	MSK0041	147	176
figshare-osce	canary-180m-flash	MSK0042	98	144
figshare-osce	canary-180m-flash	MSK0043	152	173
figshare-osce	canary-180m-flash	MSK0044	71	91
figshare-osce	canary-180m-flash	MSK0045	91	123
figshare-osce	canary-180m-flash	MSK0046	96	111
figshare-osce	canary-180m-flash	MSK0049	108	149
figshare-osce	canary-180m-flash	MSK0050	97	140
figshare-osce	canary-180m-flash	RES0001	7	147
figshare-osce	canary-180m-flash	RES0002	5	87
figshare-osce	canary-180m-flash	RES0003	6	113
figshare-osce	canary-180m-flash	RES0004	10	140
figshare-osce	canary-180m-flash	RES0005	17	146
figshare-osce	canary-180m-flash	RES0006	14	106
figshare-osce	canary-180m-flash	RES0007	12	122
figshare-osce	canary-180m-flash	RES0008	9	80
figshare-osce	canary-180m-flash	RES0009	85	106
figshare-osce	canary-180m-flash	RES0010	82	85
figshare-osce	canary-180m-flash	RES0011	90	116
figshare-osce	canary-180m-flash	RES0012	126	161
figshare-osce	canary-180m-flash	RES0013	68	91
figshare-osce	canary-180m-flash	RES0014	96	118
figshare-osce	canary-180m-flash	RES0015	92	130
figshare-osce	canary-180m-flash	RES0016	94	122
figshare-osce	canary-180m-flash	RES0017	125	143
figshare-osce	canary-180m-flash	RES0018	92	118
figshare-osce	canary-180m-flash	RES0019	92	141
figshare-osce	canary-180m-flash	RES0020	107	121
figshare-osce	canary-180m-flash	RES0021	105	132
figshare-osce	canary-180m-flash	RES0022	133	138
figshare-osce	canary-180m-flash	RES0023	51	72
figshare-osce	canary-180m-flash	RES0024	76	93
figshare-osce	canary-180m-flash	RES0025	78	108
figshare-osce	canary-180m-flash	RES0026	105	141
figshare-osce	canary-180m-flash	RES0027	84	119
figshare-osce	canary-180m-flash	RES0028	70	106
figshare-osce	canary-180m-flash	RES0029	52	63
figshare-osce	canary-180m-flash	RES0030	78	110
figshare-osce	canary-180m-flash	RES0031	64	106
figshare-osce	canary-180m-flash	RES0032	85	98
figshare-osce	canary-180m-flash	RES0033	91	107
figshare-osce	canary-180m-flash	RES0034	131	163
figshare-osce	canary-180m-flash	RES0035	79	99
figshare-osce	canary-180m-flash	RES0036	71	103
figshare-osce	canary-180m-flash	RES0037	99	118
figshare-osce	canary-180m-flash	RES0038	120	145
figshare-osce	canary-180m-flash	RES0039	132	151
figshare-osce	canary-180m-flash	RES0042	93	110
figshare-osce	canary-180m-flash	RES0043	121	124
figshare-osce	canary-180m-flash	RES0044	94	140
figshare-osce	canary-180m-flash	RES0045	70	116
figshare-osce	canary-180m-flash	RES0046	114	145
figshare-osce	canary-180m-flash	RES0047	105	144
figshare-osce	canary-180m-flash	RES0048	100	154
figshare-osce	canary-180m-flash	RES0049	101	139
figshare-osce	canary-180m-flash	RES0050	84	104
figshare-osce	canary-180m-flash	RES0051	85	104
figshare-osce	canary-180m-flash	RES0052	68	79
figshare-osce	canary-180m-flash	RES0053	144	196
figshare-osce	canary-180m-flash	RES0054	178	205
figshare-osce	canary-180m-flash	RES0055	101	132
figshare-osce	canary-180m-flash	RES0056	94	120
figshare-osce	canary-180m-flash	RES0057	115	122
figshare-osce	canary-180m-flash	RES0058	98	141
