dataset	pair	buggy_wer	fixed_wer	delta_pp	best_solo	fixed_vs_solo_pp
figshare-osce	parakeet-tdt-0.6b-v2+sensevoice	10.71	17.46	+6.75	17.59	-0.13
figshare-osce	parakeet-tdt-0.6b-v2+sensevoice-no-itn	10.71	17.48	+6.77	17.59	-0.11
figshare-osce	parakeet-tdt-0.6b-v2+whisper-distil-v3.5	10.92	17.80	+6.87	17.59	+0.21
figshare-osce	whisper-distil-v3.5+sensevoice	10.69	17.62	+6.93	17.59	+0.03
figshare-osce	whisper-distil-v3.5+sensevoice-no-itn	10.69	17.65	+6.96	17.59	+0.06
figshare-osce	whisper-distil-v3.5+qwen3-asr	11.50	18.57	+7.07	17.59	+0.98
figshare-osce	whisper-distil-v3.5+whisper-turbo	11.01	17.79	+6.77	17.59	+0.20
figshare-osce	parakeet-tdt-0.6b-v2+qwen3-asr	11.44	18.37	+6.93	17.59	+0.78
figshare-osce	sensevoice+sensevoice-no-itn	12.41	18.68	+6.27	17.59	+1.09
primock57	parakeet-tdt-0.6b-v2+sensevoice	21.34	13.47	-7.86	13.85	-0.38
primock57	parakeet-tdt-0.6b-v2+sensevoice-no-itn	21.27	13.41	-7.86	13.85	-0.44
primock57	parakeet-tdt-0.6b-v2+whisper-distil-v3.5	21.48	13.49	-7.99	13.85	-0.36
primock57	whisper-distil-v3.5+sensevoice	22.08	14.19	-7.89	13.85	+0.34
primock57	whisper-distil-v3.5+sensevoice-no-itn	22.06	14.18	-7.88	13.85	+0.33
primock57	whisper-distil-v3.5+qwen3-asr	21.71	14.03	-7.67	13.85	+0.18
primock57	whisper-distil-v3.5+whisper-turbo	22.15	14.30	-7.86	13.85	+0.45
primock57	parakeet-tdt-0.6b-v2+qwen3-asr	20.77	13.03	-7.74	13.85	-0.82
primock57	sensevoice+sensevoice-no-itn	26.41	19.89	-6.52	13.85	+6.04
nazmulkazi	parakeet-tdt-0.6b-v2+sensevoice	17.26	7.15	-10.11	7.30	-0.15
nazmulkazi	parakeet-tdt-0.6b-v2+sensevoice-no-itn	17.27	7.16	-10.11	7.30	-0.14
nazmulkazi	parakeet-tdt-0.6b-v2+whisper-distil-v3.5	17.52	7.45	-10.07	7.30	+0.15
nazmulkazi	whisper-distil-v3.5+sensevoice	17.46	7.39	-10.07	7.30	+0.09
nazmulkazi	whisper-distil-v3.5+sensevoice-no-itn	17.47	7.39	-10.07	7.30	+0.09
nazmulkazi	whisper-distil-v3.5+qwen3-asr	17.54	7.62	-9.92	7.30	+0.32
nazmulkazi	whisper-distil-v3.5+whisper-turbo	17.60	7.52	-10.08	7.30	+0.22
nazmulkazi	parakeet-tdt-0.6b-v2+qwen3-asr	17.34	7.37	-9.97	7.30	+0.07
nazmulkazi	sensevoice+sensevoice-no-itn	17.71	7.69	-10.02	7.30	+0.39
