file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
CAR0001	19.21	19.02	1	0	1	35	39	36	39	1	1	1	1	9	15	10	15
CAR0002	19.74	19.92	0	0	2	19	19	19	19	8	8	8	8	9	16	9	16
CAR0003	11.74	11.74	0	0	0	40	41	40	41	1	1	1	1	18	21	18	21
CAR0004	34.92	34.92	0	0	0	18	25	18	25	6	9	6	9	6	14	6	14
CAR0005	17.70	17.70	0	0	1	25	26	25	26	6	7	6	7	24	32	24	32
DER0001	18.47	18.47	0	0	0	22	22	22	22	13	13	13	13	14	22	14	22
GAS0001	35.31	35.21	2	0	0	22	24	23	24	3	3	3	3	8	10	8	10
GAS0002	28.47	28.47	1	0	0	23	36	24	36	9	9	9	9	9	14	9	14
GAS0003	25.24	25.24	2	0	0	30	32	30	32	6	6	6	6	7	18	7	18
GAS0004	22.64	22.64	2	0	0	28	30	28	30	1	1	1	1	9	10	9	10
GAS0005	18.59	18.52	1	0	0	63	66	63	66	0	0	0	0	20	27	20	27
GAS0007	14.56	14.45	2	0	0	21	25	23	25	3	3	3	3	13	15	13	15
GEN0001	12.40	12.31	1	0	0	39	41	40	41	5	5	5	5	7	12	7	12
MSK0001	26.06	26.06	0	0	1	24	27	24	27	6	6	6	6	6	12	6	12
MSK0003	24.67	24.62	2	0	0	30	32	31	32	4	4	4	4	16	26	16	26
MSK0004	28.69	28.69	1	0	0	23	23	23	23	13	16	13	16	1	1	1	1
MSK0005	31.48	31.42	1	0	0	53	60	54	60	15	15	15	15	7	13	7	13
MSK0006	21.74	21.74	0	0	0	55	55	55	55	14	14	14	14	9	12	9	12
MSK0007	13.31	13.24	1	0	0	51	53	52	53	5	5	5	5	5	9	5	9
MSK0008	14.82	14.82	0	0	0	55	55	55	55	6	6	6	6	6	8	6	8
MSK0009	17.40	17.40	0	0	0	41	42	41	42	16	16	16	16	7	13	7	13
MSK0010	12.94	12.88	1	0	0	37	39	38	39	15	15	15	15	8	12	8	12
MSK0011	15.18	15.25	0	0	2	22	22	22	22	15	15	15	15	12	17	12	17
MSK0012	13.42	13.36	4	0	0	39	43	42	43	11	11	11	11	6	13	6	13
MSK0013	14.45	14.45	0	0	0	46	48	46	48	3	3	3	3	7	12	7	12
