file_id	pattern	kind	parakeet_span	secondary_replacement
CAR0001	NUMERIC	insert_surgical		39
CAR0001	NEGATION	insert_surgical		no
CAR0002	NUMERIC	insert_surgical		one
CAR0002	NUMERIC	insert_surgical		one
CAR0005	NUMERIC	insert_surgical		two
GAS0001	NEGATION	insert_surgical		no
GAS0001	NEGATION	insert_surgical		don't
GAS0002	NEGATION	insert_surgical		no
GAS0003	NEGATION	insert_surgical		don't
GAS0003	NEGATION	insert_surgical		don't don't
GAS0004	NEGATION	insert_surgical		haven't
GAS0004	NEGATION	insert_surgical		don't
GAS0005	NEGATION	insert_surgical		no
GAS0007	NEGATION	insert_surgical		not
GAS0007	NEGATION	insert_surgical		not
GEN0001	NEGATION	insert_surgical		not
MSK0001	NUMERIC	insert_surgical		one
MSK0003	NEGATION	insert_surgical		not
MSK0003	NEGATION	insert_surgical		not
MSK0004	NEGATION	insert_surgical		doesn't
MSK0005	NEGATION	insert_surgical		no
MSK0007	NEGATION	insert_surgical		no
MSK0010	NEGATION	insert_surgical		not
MSK0011	NUMERIC	insert_surgical		0
MSK0011	NUMERIC	insert_surgical		second
MSK0012	NEGATION	insert_surgical		no
MSK0012	NEGATION	insert_surgical		no
MSK0012	NEGATION	insert_surgical		no
MSK0012	NEGATION	insert_surgical		not
MSK0014	NEGATION	insert_surgical		no
MSK0015	NUMERIC	insert_surgical		two
MSK0017	NEGATION	insert_surgical		no
MSK0018	NEGATION	insert_surgical		not
MSK0018	NEGATION	insert_surgical		no
MSK0020	NEGATION	insert_surgical		can't
MSK0021	NEGATION	insert_surgical		nothing
MSK0021	NUMERIC	insert_surgical		seven
MSK0021	NUMERIC	insert_surgical		six
MSK0023	NEGATION	insert_surgical		don't
MSK0024	NUMERIC	insert_surgical		one
MSK0026	NUMERIC	insert_surgical		one
MSK0027	NEGATION	insert_surgical		no
MSK0027	NEGATION	insert_surgical		not
MSK0028	NEGATION	insert_surgical		nothing
MSK0029	NEGATION	insert_surgical		don't
MSK0029	NEGATION	insert_surgical		not
MSK0031	NEGATION	insert_surgical		can't
MSK0032	NEGATION	insert_surgical		no
MSK0034	NEGATION	insert_surgical		don't
MSK0037	NEGATION	insert_surgical		haven't
MSK0037	NEGATION	insert_surgical		not
MSK0038	NEGATION	insert_surgical		nothing
MSK0039	NEGATION	insert_surgical		no
MSK0039	NEGATION	insert_surgical		never
MSK0041	NEGATION	insert_surgical		not
MSK0041	NEGATION	insert_surgical		don't don't
MSK0043	NEGATION	insert_surgical		can't
MSK0044	NEGATION	insert_surgical		don't
MSK0044	NEGATION	insert_surgical		haven't
MSK0045	NEGATION	insert_surgical		not
MSK0045	NUMERIC	insert_surgical		six
RES0001	NEGATION	insert_surgical		don't
RES0001	NEGATION	insert_surgical		haven't
RES0002	NEGATION	insert_surgical		not
RES0003	NEGATION	insert_surgical		not
RES0003	NEGATION	insert_surgical		no
RES0003	NEGATION	insert_surgical		no
RES0003	NUMERIC	insert_surgical		three
RES0004	NEGATION	insert_surgical		no
RES0006	NEGATION	insert_surgical		not
RES0006	NEGATION	insert_surgical		not
RES0007	NEGATION	insert_surgical		no
RES0007	NEGATION	insert_surgical		don't
RES0008	NEGATION	insert_surgical		can't
RES0008	NUMERIC	insert_surgical		one
RES0009	NEGATION	insert_surgical		don't
RES0009	NEGATION	insert_surgical		don't
RES0011	NEGATION	insert_surgical		nothing
RES0011	NEGATION	insert_surgical		not
RES0012	NEGATION	insert_surgical		not
RES0013	NEGATION	insert_surgical		don't
RES0013	NEGATION	insert_surgical		don't
RES0014	NEGATION	insert_surgical		nothing
RES0014	NEGATION	insert_surgical		not
RES0015	NEGATION	insert_surgical		no
RES0016	NEGATION	insert_surgical		no
RES0017	NEGATION	insert_surgical		not
RES0017	NEGATION	insert_surgical		not
RES0018	NEGATION	insert_surgical		can't
RES0018	NEGATION	insert_surgical		not
RES0018	NUMERIC	insert_surgical		three
RES0022	NEGATION	insert_surgical		don't
RES0023	NUMERIC	insert_surgical		two
RES0026	NEGATION	insert_surgical		not
RES0026	NEGATION	insert_surgical		not
RES0029	NEGATION	insert_surgical		no
RES0029	NEGATION	insert_surgical		nothing
RES0032	NUMERIC	insert_surgical		three
RES0033	NEGATION	insert_surgical		nothing
RES0034	NEGATION	insert_surgical		no
RES0039	NEGATION	insert_surgical		no
RES0039	NEGATION	insert_surgical		no
RES0043	NUMERIC	insert_surgical		five
RES0043	NUMERIC	insert_surgical		three
RES0043	NEGATION	insert_surgical		not
RES0043	NEGATION	insert_surgical		haven't
RES0044	NEGATION	insert_surgical		no
RES0044	NEGATION	insert_surgical		don't
RES0045	NUMERIC	insert_surgical		one
RES0046	NEGATION	insert_surgical		no
RES0046	NEGATION	insert_surgical		nothing
RES0046	NUMERIC	insert_surgical		one
RES0048	NEGATION	insert_surgical		no no
RES0049	NUMERIC	insert_surgical		seven
RES0053	NUMERIC	insert_surgical		one
RES0057	NEGATION	insert_surgical		not
RES0057	NUMERIC	insert_surgical		two
RES0058	NUMERIC	insert_surgical		four
RES0058	NEGATION	insert_surgical		not
RES0061	NEGATION	insert_surgical		haven't
RES0065	NEGATION	insert_surgical		no
RES0065	NEGATION	insert_surgical		not
RES0068	NEGATION	insert_surgical		not
RES0068	NEGATION	insert_surgical		no
RES0070	NEGATION	insert_surgical		not
RES0072	NEGATION	insert_surgical		no
RES0073	NEGATION	insert_surgical		no
RES0074	NEGATION	insert_surgical		not
RES0074	NEGATION	insert_surgical		no
RES0074	NUMERIC	insert_surgical		five
RES0076	NEGATION	insert_surgical		no
RES0076	NEGATION	insert_surgical		don't
RES0078	NEGATION	insert_surgical		not
RES0078	NEGATION	insert_surgical		not
RES0079	NEGATION	insert_surgical		nothing
RES0079	NEGATION	insert_surgical		don't
RES0080	NEGATION	insert_surgical		don't
RES0080	NEGATION	insert_surgical		wasn't
RES0081	NEGATION	insert_surgical		doesn't
RES0085	NEGATION	insert_surgical		not
RES0085	NEGATION	insert_surgical		no
RES0086	NEGATION	insert_surgical		don't
RES0086	NEGATION	insert_surgical		no
RES0086	NUMERIC	insert_surgical		ten
RES0089	NUMERIC	insert_surgical		two
RES0093	NEGATION	insert_surgical		didn't
RES0094	NEGATION	insert_surgical		don't
RES0095	NEGATION	insert_surgical		don't
RES0096	NUMERIC	insert_surgical		twenty
RES0096	NEGATION	insert_surgical		not
RES0097	NEGATION	insert_surgical		no
RES0098	NEGATION	insert_surgical		no
RES0100	NEGATION	insert_surgical		no
RES0100	NEGATION	insert_surgical		not
RES0100	NEGATION	insert_surgical		don't
RES0102	NUMERIC	insert_surgical		200
RES0102	NEGATION	insert_surgical		not
RES0103	NUMERIC	insert_surgical		two
RES0103	NEGATION	insert_surgical		not
RES0103	NUMERIC	insert_surgical		two
RES0103	NEGATION	insert_surgical		no
RES0103	NEGATION	insert_surgical		don't
RES0104	NEGATION	insert_surgical		don't
RES0104	NEGATION	insert_surgical		didn't
RES0105	NEGATION	insert_surgical		not
RES0105	NEGATION	insert_surgical		didn't
RES0105	NEGATION	insert_surgical		not
RES0105	NEGATION	insert_surgical		don't
RES0105	NEGATION	insert_surgical		don't
RES0106	NEGATION	insert_surgical		not
RES0107	NEGATION	insert_surgical		no
RES0114	NEGATION	insert_surgical		not
RES0116	NUMERIC	insert_surgical		99
RES0116	NEGATION	insert_surgical		no
RES0116	NEGATION	insert_surgical		not
RES0118	NEGATION	insert_surgical		no
RES0122	NUMERIC	insert_surgical		two
RES0124	NEGATION	insert_surgical		no
RES0125	NEGATION	insert_surgical		no
RES0126	NEGATION	insert_surgical		isn't
RES0127	NUMERIC	insert_surgical		one
RES0127	NEGATION	insert_surgical		not
RES0131	NUMERIC	insert_surgical		two
RES0131	NUMERIC	insert_surgical		one
RES0134	NEGATION	insert_surgical		not
RES0134	NEGATION	insert_surgical		not
RES0135	NEGATION	insert_surgical		no
RES0136	NUMERIC	insert_surgical		second
RES0137	NEGATION	insert_surgical		don't
RES0137	NEGATION	insert_surgical		don't
RES0138	NEGATION	insert_surgical		no
RES0139	NUMERIC	insert_surgical		three four
RES0140	NUMERIC	insert_surgical		15
RES0140	NEGATION	insert_surgical		not
RES0143	NEGATION	insert_surgical		not
RES0144	NUMERIC	insert_surgical		two
RES0150	NEGATION	insert_surgical		don't
RES0151	NEGATION	insert_surgical		no
RES0152	NUMERIC	insert_surgical		two
RES0154	NEGATION	insert_surgical		no
RES0155	NEGATION	insert_surgical		no
RES0156	NEGATION	insert_surgical		not
RES0158	NEGATION	insert_surgical		no
RES0158	NUMERIC	insert_surgical		one
RES0162	NEGATION	insert_surgical		didn't
RES0164	NUMERIC	insert_surgical		two
RES0165	NUMERIC	insert_surgical		one
RES0166	NEGATION	insert_surgical		no
RES0167	NEGATION	insert_surgical		not
RES0167	NEGATION	insert_surgical		don't
RES0168	NEGATION	insert_surgical		no
RES0168	NEGATION	insert_surgical		don't
RES0169	NEGATION	insert_surgical		not
RES0170	NEGATION	insert_surgical		not
RES0172	NEGATION	insert_surgical		haven't
RES0174	NUMERIC	insert_surgical		one
RES0176	NEGATION	insert_surgical		wasn't
RES0177	NUMERIC	insert_surgical		one
RES0180	NEGATION	insert_surgical		nothing
RES0181	NEGATION	insert_surgical		no no
RES0181	NEGATION	insert_surgical		don't
RES0184	NUMERIC	insert_surgical		eight
RES0185	NEGATION	insert_surgical		no
RES0185	NUMERIC	insert_surgical		one
RES0186	NEGATION	insert_surgical		no
RES0189	NEGATION	insert_surgical		don't
RES0190	NEGATION	insert_surgical		not
RES0190	NEGATION	insert_surgical		not
RES0193	NEGATION	insert_surgical		not
RES0193	NUMERIC	insert_surgical		seven
RES0194	NEGATION	insert_surgical		don't
RES0196	NUMERIC	insert_surgical		one
RES0197	NUMERIC	insert_surgical		two
RES0202	NEGATION	insert_surgical		don't
RES0202	NUMERIC	insert_surgical		five
RES0202	NUMERIC	insert_surgical		three
RES0202	NEGATION	insert_surgical		haven't
RES0203	NEGATION	insert_surgical		not
RES0204	NEGATION	insert_surgical		no no
RES0206	NEGATION	insert_surgical		don't
RES0211	NEGATION	insert_surgical		don't
RES0212	NUMERIC	insert_surgical		one
RES0213	NEGATION	insert_surgical		don't
RES0214	NEGATION	insert_surgical		not
RES0215	NUMERIC	insert_surgical		one
RES0215	NUMERIC	insert_surgical		one
RES0216	NEGATION	insert_surgical		not
