file_id	pattern	kind	parakeet_span	secondary_replacement
GAS0002	NEGATION	insert_surgical		no
GAS0005	NEGATION	insert_surgical		no
MSK0003	NEGATION	insert_surgical		not
MSK0010	NEGATION	insert_surgical		not
MSK0012	NEGATION	insert_surgical		no
MSK0012	NEGATION	insert_surgical		no
MSK0012	NEGATION	insert_surgical		no
MSK0014	NEGATION	insert_surgical		no
MSK0017	NEGATION	insert_surgical		no
MSK0018	NEGATION	insert_surgical		not
MSK0018	NEGATION	insert_surgical		no
MSK0020	NEGATION	insert_surgical		can't
MSK0023	NEGATION	insert_surgical		don't
MSK0027	NEGATION	insert_surgical		no
MSK0032	NEGATION	insert_surgical		no
MSK0034	NEGATION	insert_surgical		don't
MSK0037	NEGATION	insert_surgical		haven't
MSK0037	NEGATION	insert_surgical		not
MSK0039	NEGATION	insert_surgical		no
MSK0041	NEGATION	insert_surgical		not
MSK0043	NEGATION	insert_surgical		can't
MSK0045	NEGATION	insert_surgical		not
RES0001	NEGATION	insert_surgical		don't
RES0006	NEGATION	insert_surgical		not
RES0006	NEGATION	insert_surgical		not
RES0007	NEGATION	insert_surgical		no
RES0007	NEGATION	insert_surgical		don't
RES0015	NEGATION	insert_surgical		no
RES0016	NEGATION	insert_surgical		no
RES0017	NEGATION	insert_surgical		not
RES0017	NEGATION	insert_surgical		not
RES0018	NEGATION	insert_surgical		can't
RES0018	NEGATION	insert_surgical		not
RES0026	NEGATION	insert_surgical		not
RES0029	NEGATION	insert_surgical		no
RES0029	NEGATION	insert_surgical		nothing
RES0033	NEGATION	insert_surgical		nothing
RES0034	NEGATION	insert_surgical		no
RES0039	NEGATION	insert_surgical		no
RES0044	NEGATION	insert_surgical		no
RES0048	NEGATION	insert_surgical		no no
RES0065	NEGATION	insert_surgical		no
RES0068	NEGATION	insert_surgical		not
RES0068	NEGATION	insert_surgical		no
RES0070	NEGATION	insert_surgical		not
RES0072	NEGATION	insert_surgical		no
RES0073	NEGATION	insert_surgical		no
RES0074	NEGATION	insert_surgical		not
RES0074	NEGATION	insert_surgical		no
RES0076	NEGATION	insert_surgical		no
RES0085	NEGATION	insert_surgical		not
RES0086	NEGATION	insert_surgical		don't
RES0097	NEGATION	insert_surgical		no
RES0098	NEGATION	insert_surgical		no
RES0100	NEGATION	insert_surgical		no
RES0102	NEGATION	insert_surgical		not
RES0103	NEGATION	insert_surgical		not
RES0105	NEGATION	insert_surgical		not
RES0106	NEGATION	insert_surgical		not
RES0118	NEGATION	insert_surgical		no
RES0151	NEGATION	insert_surgical		no
RES0154	NEGATION	insert_surgical		no
RES0155	NEGATION	insert_surgical		no
RES0158	NEGATION	insert_surgical		no
RES0168	NEGATION	insert_surgical		no
RES0185	NEGATION	insert_surgical		no
RES0193	NEGATION	insert_surgical		not
RES0202	NEGATION	insert_surgical		don't
RES0213	NEGATION	insert_surgical		don't
