file_id	pattern	kind	parakeet_span	secondary_replacement
CAR0001	NEGATION	insert_surgical		no
GAS0001	NEGATION	insert_surgical		no
GAS0002	NEGATION	insert_surgical		not
MSK0005	NEGATION	insert_surgical		no
MSK0007	NEGATION	insert_surgical		no
MSK0021	NEGATION	insert_surgical		nothing
MSK0028	NEGATION	insert_surgical		nothing
MSK0029	NEGATION	insert_surgical		don't
MSK0038	NEGATION	insert_surgical		nothing
RES0003	NEGATION	insert_surgical		not
RES0003	NEGATION	insert_surgical		no
RES0003	NEGATION	insert_surgical		no
RES0004	NEGATION	insert_surgical		no
RES0012	NEGATION	insert_surgical		not
RES0014	NEGATION	insert_surgical		nothing
RES0014	NEGATION	insert_surgical		not
RES0016	NEGATION	insert_surgical		no
RES0017	NEGATION	insert_surgical		not
RES0026	NEGATION	insert_surgical		not
RES0039	NEGATION	insert_surgical		no
RES0043	NEGATION	insert_surgical		not
RES0046	NEGATION	insert_surgical		no
RES0046	NEGATION	insert_surgical		nothing
RES0065	NEGATION	insert_surgical		not
RES0073	NEGATION	insert_surgical		no
RES0074	NEGATION	insert_surgical		not
RES0078	NEGATION	insert_surgical		not
RES0079	NEGATION	insert_surgical		nothing
RES0085	NEGATION	insert_surgical		no
RES0086	NEGATION	insert_surgical		no
RES0103	NEGATION	insert_surgical		no
RES0105	NEGATION	insert_surgical		didn't
RES0105	NEGATION	insert_surgical		didn't
RES0107	NEGATION	insert_surgical		no
RES0114	NEGATION	insert_surgical		not
RES0116	NEGATION	insert_surgical		no
RES0118	NEGATION	insert_surgical		no
RES0124	NEGATION	insert_surgical		no
RES0125	NEGATION	insert_surgical		no
RES0135	NEGATION	insert_surgical		no
RES0138	NEGATION	insert_surgical		no
RES0155	NEGATION	insert_surgical		no
RES0166	NEGATION	insert_surgical		no
RES0167	NEGATION	insert_surgical		not
RES0169	NEGATION	insert_surgical		not
RES0170	NEGATION	insert_surgical		not
RES0180	NEGATION	insert_surgical		nothing
RES0181	NEGATION	insert_surgical		no no
RES0186	NEGATION	insert_surgical		no
RES0204	NEGATION	insert_surgical		no no
