file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
D0420-S1-T01	6.58	6.50	2	0	0	69	72	70	72	33	33	33	33	7	8	7	8
D0420-S1-T02	5.07	5.07	0	0	0	5	5	5	5	0	0	0	0	7	10	7	10
D0420-S1-T03	6.88	6.88	0	0	0	23	23	23	23	2	2	2	2	13	14	13	14
D0420-S1-T04	6.52	6.52	0	0	0	29	29	29	29	5	5	5	5	21	25	21	25
D0420-S1-T05	5.77	5.77	0	0	0	49	50	49	50	25	25	25	25	15	16	15	16
D0420-S2-T01	6.20	6.20	0	0	0	218	221	218	221	13	16	13	16	80	88	80	88
D0420-S3-T01	6.38	6.38	0	0	0	49	50	49	50	2	2	2	2	11	17	11	17
D0420-S3-T02	6.16	6.16	0	0	0	119	122	119	122	32	32	32	32	42	62	42	62
D0420-S3-T03	5.04	5.04	0	0	0	122	124	122	124	9	10	9	10	28	35	28	35
D0420-S4-T01	8.81	8.81	0	0	0	81	81	81	81	5	5	5	5	26	33	26	33
D0420-S4-T02	7.36	7.36	0	0	0	223	229	223	229	12	12	12	12	66	80	66	80
D0421-S1-T01	5.93	5.93	0	0	0	153	157	153	157	22	23	22	23	39	44	39	44
D0421-S1-T02	6.26	6.26	0	0	0	147	150	147	150	16	16	16	16	64	76	64	76
D0421-S1-T03	10.75	10.75	0	0	0	80	83	80	83	17	18	17	18	17	19	17	19
D0421-S1-T04	4.89	4.89	1	0	0	93	93	93	93	3	3	3	3	16	20	16	20
D0421-S1-T05	7.34	7.34	0	0	0	90	94	90	94	4	5	4	5	13	15	13	15
D0421-S2-T01	6.96	6.96	0	0	0	296	299	296	299	20	20	20	20	43	47	43	47
D0421-S2-T02	7.76	7.76	0	0	0	222	225	222	225	9	11	9	11	48	56	48	56
D0421-S3-T01	11.03	11.03	0	0	0	110	112	110	112	9	9	9	9	24	37	24	37
D0421-S3-T02	10.67	10.67	0	0	0	91	93	91	93	9	9	9	9	15	22	15	22
D0421-S3-T03	8.65	8.63	1	0	0	92	99	93	99	2	2	2	2	26	27	26	27
D0421-S3-T04	7.02	7.02	0	0	0	86	89	86	89	21	21	21	21	30	34	30	34
D0421-S3-T05	7.81	7.81	0	0	0	90	94	90	94	13	13	13	13	33	34	33	34
D0422-S1-T01	11.50	11.50	0	0	0	150	156	150	156	15	15	15	15	37	43	37	43
D0422-S1-T02	8.48	8.48	0	0	0	140	144	140	144	8	8	8	8	22	28	22	28
D0422-S1-T03	8.48	8.48	0	0	0	108	112	108	112	8	10	8	10	19	21	19	21
D0422-S1-T04	9.61	9.58	1	0	0	221	226	222	226	15	15	15	15	14	18	14	18
D0422-S2-T01	9.34	9.31	1	0	0	115	116	115	116	12	12	12	12	21	23	21	23
D0422-S2-T02	9.69	9.67	2	0	0	309	316	310	316	54	54	54	54	57	73	57	73
D0422-S3-T01	7.59	7.59	0	0	0	210	213	210	213	34	35	34	35	52	65	52	65
D0422-S3-T02	7.59	7.55	1	0	0	116	117	117	117	7	7	7	7	17	26	17	26
D0422-S3-T03	7.83	7.83	0	0	0	123	125	123	125	7	7	7	7	24	27	24	27
D0422-S3-T04	6.53	6.53	0	0	0	88	91	88	91	3	3	3	3	21	27	21	27
D0422-S3-T05	5.35	5.35	0	0	0	66	68	66	68	7	7	7	7	7	9	7	9
D0422-S3-T06	8.59	8.59	0	0	0	19	19	19	19	0	2	0	2	4	4	4	4
D0422-S4-T01	5.46	5.46	0	0	0	276	282	276	282	29	30	29	30	65	75	65	75
D0422-S4-T02	6.51	6.49	1	0	0	191	196	192	196	29	29	29	29	49	63	49	63
D0422-S4-T03	8.29	8.29	0	0	0	92	100	92	100	17	17	17	17	34	41	34	41
D0422-S4-T04	7.12	7.12	0	0	0	136	136	136	136	7	9	7	9	20	24	20	24
D0422-S4-T05	9.30	9.27	1	0	0	118	119	118	119	13	13	13	13	24	32	24	32
D0423-S1-T01	5.45	5.45	0	0	0	255	256	255	256	35	35	35	35	44	62	44	62
D0423-S1-T02	10.01	10.01	0	0	0	152	161	152	161	19	20	19	20	16	20	16	20
D0423-S1-T03	8.53	8.49	1	0	0	98	101	98	101	4	4	4	4	29	33	29	33
D0423-S2-T01	8.24	8.24	0	0	0	77	78	77	78	6	6	6	6	9	9	9	9
D0423-S2-T02	8.03	8.03	0	0	0	82	82	82	82	4	4	4	4	34	38	34	38
D0423-S2-T03	11.40	11.40	0	0	0	88	94	88	94	8	8	8	8	23	44	23	44
D0424-S1-T01	5.83	5.83	0	0	0	59	61	59	61	8	8	8	8	9	10	9	10
D0424-S1-T02	7.04	7.04	0	0	0	71	71	71	71	1	2	1	2	16	22	16	22
D0424-S1-T03	9.14	9.14	0	0	0	127	132	127	132	5	5	5	5	12	17	12	17
D0424-S2-T01	7.39	7.39	2	0	0	227	229	228	229	13	13	13	13	39	53	39	53
D0424-S2-T02	9.32	9.29	2	0	0	196	200	196	200	31	31	31	31	40	45	40	45
D0424-S2-T03	8.39	8.39	0	0	0	192	193	192	193	23	23	23	23	35	38	35	38
D0424-S2-T04	7.94	7.98	2	0	0	164	166	164	166	15	15	15	15	42	50	42	50
D0424-S2-T05	8.19	8.16	2	0	0	205	208	207	208	9	10	9	10	40	51	40	51
D0424-S2-T06	9.53	9.53	0	0	0	162	168	162	168	17	17	17	17	33	38	33	38
D0424-S3-T01	5.65	5.63	1	0	0	333	335	333	335	24	25	24	25	54	64	54	64
D0424-S3-T02	6.60	6.60	0	0	0	100	101	100	101	9	9	9	9	25	31	25	31
D0424-S3-T03	4.62	4.57	1	0	0	89	91	90	91	7	7	7	7	20	20	20	20
D0424-S3-T04	7.09	7.09	0	0	0	40	42	40	42	1	1	1	1	10	11	10	11
D0425-S1-T01	5.42	5.42	0	0	0	53	54	53	54	6	6	6	6	6	8	6	8
D0425-S1-T02	5.78	5.75	1	0	0	111	112	112	112	8	8	8	8	8	11	8	11
D0425-S1-T03	6.14	6.14	0	0	0	65	66	65	66	7	8	7	8	10	14	10	14
D0425-S2-T01	5.59	5.59	0	0	0	224	229	224	229	21	21	21	21	30	41	30	41
D0425-S2-T02	5.74	5.71	1	0	0	136	136	136	136	15	15	15	15	39	46	39	46
D0425-S2-T03	4.89	4.89	0	0	0	128	131	128	131	13	13	13	13	20	21	20	21
D0425-S2-T04	5.60	5.60	0	0	0	98	99	98	99	9	9	9	9	16	18	16	18
D0425-S3-T01	11.13	11.11	1	0	0	165	170	166	170	13	15	13	15	9	11	9	11
D0425-S3-T02	11.00	11.00	0	0	0	116	120	116	120	7	7	7	7	12	15	12	15
D0425-S3-T03	14.31	14.31	0	0	0	75	78	75	78	8	8	8	8	16	22	16	22
D0425-S3-T04	14.42	14.42	0	0	0	85	97	85	97	6	6	6	6	5	7	5	7
D0425-S3-T05	8.27	8.27	0	0	0	71	73	71	73	5	5	5	5	12	14	12	14
