file_id	pattern	kind	parakeet_span	secondary_replacement
D0420-S1-T01	NEGATION	insert_surgical		not
D0420-S1-T01	NEGATION	insert_surgical		no
D0421-S1-T04	NEGATION	insert_surgical		wasn't
D0421-S3-T03	NEGATION	insert_surgical		don't
D0422-S1-T04	NEGATION	insert_surgical		never
D0422-S2-T01	NEGATION	insert_surgical		don't
D0422-S2-T02	NEGATION	insert_surgical		didn't
D0422-S2-T02	NEGATION	insert_surgical		can't
D0422-S3-T02	NEGATION	insert_surgical		can't
D0422-S4-T02	NEGATION	insert_surgical		isn't
D0422-S4-T05	NEGATION	insert_surgical		no
D0423-S1-T03	NEGATION	insert_surgical		not
D0424-S2-T01	NEGATION	insert_surgical		wouldn't
D0424-S2-T01	NEGATION	insert_surgical		no
D0424-S2-T02	NEGATION	insert_surgical		not
D0424-S2-T02	NEGATION	insert_surgical		don't
D0424-S2-T04	NEGATION	insert_surgical		no
D0424-S2-T04	NEGATION	insert_surgical		not
D0424-S2-T05	NEGATION	insert_surgical		don't
D0424-S2-T05	NEGATION	insert_surgical		can't
D0424-S3-T01	NEGATION	insert_surgical		not
D0424-S3-T03	NEGATION	insert_surgical		don't
D0425-S1-T02	NEGATION	insert_surgical		not
D0425-S2-T02	NEGATION	insert_surgical		didn't
D0425-S3-T01	NEGATION	insert_surgical		not
