file_id	pattern	kind	parakeet_span	secondary_replacement
day1_consultation01	NUMERIC	insert_surgical		two
day1_consultation01	NUMERIC	insert_surgical		six
day1_consultation02	NEGATION	insert_surgical		not
day1_consultation03	NEGATION	insert_surgical		no
day1_consultation04	NEGATION	insert_surgical		not
day1_consultation04	NEGATION	insert_surgical		not
day1_consultation05	NEGATION	insert_surgical		never
day1_consultation07	NEGATION	insert_surgical		not
day1_consultation07	NEGATION	insert_surgical		not
day1_consultation07	NEGATION	insert_surgical		not
day1_consultation08	NEGATION	insert_surgical		don't
day1_consultation09	NEGATION	insert_surgical		not
day1_consultation09	NEGATION	insert_surgical		don't
day1_consultation09	NEGATION	insert_surgical		wasn't
day1_consultation09	NEGATION	insert_surgical		don't
day1_consultation10	NEGATION	insert_surgical		can't
day1_consultation11	NUMERIC	insert_surgical		six
day1_consultation11	NUMERIC	insert_surgical		ten
day1_consultation11	NEGATION	insert_surgical		not
day1_consultation11	NEGATION	insert_surgical		don't
day1_consultation11	NEGATION	insert_surgical		don't
day1_consultation11	NEGATION	insert_surgical		not
day1_consultation14	NEGATION	insert_surgical		not
day2_consultation04	NEGATION	insert_surgical		not
day2_consultation06	NUMERIC	insert_surgical		one
day2_consultation07	NEGATION	insert_surgical		not
day2_consultation07	NEGATION	insert_surgical		not
day3_consultation01	NUMERIC	insert_surgical		nine nine
day3_consultation02	NEGATION	insert_surgical		not
day3_consultation02	NEGATION	insert_surgical		no no no
day3_consultation02	NEGATION	insert_surgical		not
day3_consultation02	NUMERIC	insert_surgical		one
day3_consultation03	NUMERIC	insert_surgical		six
day3_consultation03	NEGATION	insert_surgical		haven't
day3_consultation04	NUMERIC	insert_surgical		four
day3_consultation04	NEGATION	insert_surgical		don't
day3_consultation07	NEGATION	insert_surgical		don't
day3_consultation09	NUMERIC	insert_surgical		two
day3_consultation09	NEGATION	insert_surgical		not
day4_consultation02	NEGATION	insert_surgical		not
day4_consultation04	NUMERIC	insert_surgical		two
day4_consultation04	NEGATION	insert_surgical		cannot
day4_consultation07	NEGATION	insert_surgical		hasn't
day4_consultation07	NEGATION	insert_surgical		no
day4_consultation07	NUMERIC	insert_surgical		one
day4_consultation08	NEGATION	insert_surgical		no
day5_consultation03	NEGATION	insert_surgical		not
day5_consultation03	NEGATION	insert_surgical		not
day5_consultation04	NUMERIC	insert_surgical		two
day5_consultation11	NEGATION	insert_surgical		not
day5_consultation11	NEGATION	insert_surgical		not
