file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
day1_consultation01	19.01	19.01	0	0	0	32	35	32	35	4	5	4	5	28	30	28	30
day1_consultation02	19.40	19.40	0	0	0	48	58	48	58	0	0	0	0	7	10	7	10
day1_consultation03	19.28	19.22	1	0	0	33	39	34	39	8	10	8	10	9	9	9	9
day1_consultation04	22.57	22.57	0	0	0	36	43	36	43	2	2	2	2	11	14	11	14
day1_consultation05	17.60	17.60	0	0	0	49	56	49	56	4	4	4	4	12	12	12	12
day1_consultation06	23.26	23.26	0	0	0	27	29	27	29	4	4	4	4	10	13	10	13
day1_consultation07	24.94	24.86	2	0	0	70	91	72	91	12	20	12	20	18	32	18	32
day1_consultation08	20.14	20.22	1	0	0	38	40	38	40	8	9	8	9	3	7	3	7
day1_consultation09	21.87	21.87	0	0	0	51	62	51	62	9	12	9	12	5	8	5	8
day1_consultation10	23.65	23.65	0	0	0	44	49	44	49	10	13	10	13	12	15	12	15
day1_consultation11	20.15	20.15	0	0	0	50	64	50	64	7	7	7	7	20	31	20	31
day1_consultation12	20.46	20.46	0	0	0	29	33	29	33	6	6	6	6	12	19	12	19
day1_consultation13	13.90	13.90	0	0	0	36	37	36	37	7	10	7	10	21	25	21	25
day1_consultation14	18.58	18.58	0	0	0	64	74	64	74	10	10	10	10	19	23	19	23
day1_consultation15	20.54	20.54	0	0	0	40	43	40	43	5	5	5	5	10	20	10	20
day2_consultation01	18.55	18.55	0	0	0	19	21	19	21	15	16	15	16	17	23	17	23
day2_consultation02	20.60	20.60	0	0	0	36	41	36	41	20	20	20	20	15	25	15	25
day2_consultation03	21.38	21.38	0	0	0	41	45	41	45	14	14	14	14	7	9	7	9
day2_consultation04	17.98	17.92	1	0	0	28	32	29	32	19	22	19	22	18	32	18	32
day2_consultation05	14.63	14.63	0	0	0	30	32	30	32	23	25	23	25	14	23	14	23
day2_consultation06	18.02	18.02	0	0	0	40	45	40	45	22	23	22	23	11	16	11	16
day2_consultation07	25.11	25.04	1	0	0	21	25	22	25	14	14	14	14	7	25	7	25
day2_consultation08	16.19	16.19	0	0	0	37	38	37	38	3	3	3	3	19	26	19	26
day2_consultation09	21.00	21.00	0	0	0	22	24	22	24	15	16	15	16	4	9	4	9
day2_consultation10	16.30	16.30	0	0	0	40	41	40	41	13	13	13	13	19	28	19	28
day3_consultation01	17.16	17.16	0	0	0	19	25	19	25	17	22	17	22	10	14	10	14
day3_consultation02	19.62	19.27	2	0	0	41	48	45	48	7	7	7	7	7	12	7	12
day3_consultation03	17.87	17.87	1	0	0	59	62	60	62	9	9	9	9	14	20	14	20
day3_consultation04	21.30	21.30	1	0	0	23	23	23	23	5	5	5	5	18	31	18	31
day3_consultation05	17.19	17.19	0	0	0	24	25	24	25	4	4	4	4	9	15	9	15
day3_consultation06	18.74	18.74	0	0	0	11	11	11	11	3	3	3	3	0	8	0	8
day3_consultation07	19.82	19.82	0	0	0	32	38	32	38	5	5	5	5	10	15	10	15
day3_consultation08	18.14	18.14	0	0	0	28	30	28	30	2	2	2	2	9	13	9	13
day3_consultation09	12.46	12.46	0	0	0	50	53	50	53	20	21	20	21	13	22	13	22
day3_consultation10	13.84	13.84	0	0	0	44	48	44	48	7	7	7	7	14	23	14	23
day4_consultation01	15.04	15.04	0	0	0	21	21	21	21	5	7	5	7	9	24	9	24
day4_consultation02	13.32	13.24	1	0	0	24	26	25	26	0	1	0	1	15	25	15	25
day4_consultation03	12.93	12.93	0	0	0	22	23	22	23	4	5	4	5	11	17	11	17
day4_consultation04	15.78	15.78	0	0	0	22	23	22	23	4	5	4	5	20	22	20	22
day4_consultation05	22.55	22.55	0	0	0	51	55	51	55	0	1	0	1	10	23	10	23
day4_consultation06	15.18	15.18	0	0	0	39	42	39	42	5	5	5	5	16	26	16	26
day4_consultation07	18.26	18.15	2	0	0	45	60	47	60	3	3	3	3	19	25	19	25
day4_consultation08	20.62	20.56	1	0	0	45	56	46	56	2	2	2	2	9	15	9	15
day4_consultation09	18.66	18.66	0	0	0	37	42	37	42	9	9	9	9	15	31	15	31
day4_consultation10	19.47	19.47	0	0	0	45	47	45	47	7	7	7	7	9	15	9	15
day5_consultation01	16.92	16.92	0	0	0	40	42	40	42	2	2	2	2	5	9	5	9
day5_consultation02	13.50	13.50	0	0	0	27	29	27	29	3	3	3	3	15	26	15	26
day5_consultation03	13.39	13.39	0	0	0	65	68	65	68	4	5	4	5	9	17	9	17
day5_consultation04	20.82	20.82	0	0	0	24	26	24	26	5	5	5	5	14	20	14	20
day5_consultation05	19.37	19.37	0	0	0	36	39	36	39	4	4	4	4	8	13	8	13
day5_consultation06	16.12	16.12	0	0	0	32	34	32	34	2	2	2	2	9	14	9	14
day5_consultation07	16.83	16.83	0	0	0	33	36	33	36	2	2	2	2	12	29	12	29
day5_consultation08	11.34	11.34	0	0	0	31	32	31	32	4	4	4	4	16	23	16	23
day5_consultation09	16.40	16.40	0	0	0	34	35	34	35	0	2	0	2	9	13	9	13
day5_consultation10	16.55	16.55	0	0	0	42	52	42	52	3	3	3	3	19	20	19	20
day5_consultation11	13.59	13.54	1	0	0	35	43	36	43	13	17	13	17	13	20	13	20
day5_consultation12	15.53	15.53	0	0	0	34	37	34	37	3	3	3	3	6	12	6	12
