min_anchor	edit_ratio	dataset	n_files	n_drug_spans	parakeet_recall	fused_recall	delta_pp	errors_corrected	errors_introduced	net	subs_acoustic	subs_anchor
1	None	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	1
1	None	figshare-osce	272	3957	82.2846	83.1691	+0.8845	38	3	35	21	24
1	None	nazmulkazi	71	1302	84.1782	87.2504	+3.0722	40	0	40	31	12
1	0.7	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
1	0.7	figshare-osce	272	3957	82.2846	83.0174	+0.7329	30	1	29	21	13
1	0.7	nazmulkazi	71	1302	84.1782	87.1736	+2.9954	39	0	39	31	11
1	0.5	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
1	0.5	figshare-osce	272	3957	82.2846	82.8405	+0.5560	23	1	22	21	7
1	0.5	nazmulkazi	71	1302	84.1782	86.7127	+2.5346	33	0	33	31	6
1	0.3	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
1	0.3	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
1	0.3	nazmulkazi	71	1302	84.1782	86.4055	+2.2273	29	0	29	31	0
2	None	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	1
2	None	figshare-osce	272	3957	82.2846	82.9922	+0.7076	28	0	28	21	9
2	None	nazmulkazi	71	1302	84.1782	86.9432	+2.7650	36	0	36	31	9
2	0.7	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
2	0.7	figshare-osce	272	3957	82.2846	82.8405	+0.5560	22	0	22	21	4
2	0.7	nazmulkazi	71	1302	84.1782	86.8664	+2.6882	35	0	35	31	8
2	0.5	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
2	0.5	figshare-osce	272	3957	82.2846	82.7647	+0.4802	19	0	19	21	2
2	0.5	nazmulkazi	71	1302	84.1782	86.7127	+2.5346	33	0	33	31	6
2	0.3	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
2	0.3	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
2	0.3	nazmulkazi	71	1302	84.1782	86.4055	+2.2273	29	0	29	31	0
3	None	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	1
3	None	figshare-osce	272	3957	82.2846	82.7900	+0.5054	20	0	20	21	2
3	None	nazmulkazi	71	1302	84.1782	86.8664	+2.6882	35	0	35	31	8
3	0.7	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
3	0.7	figshare-osce	272	3957	82.2846	82.7647	+0.4802	19	0	19	21	1
3	0.7	nazmulkazi	71	1302	84.1782	86.7896	+2.6114	34	0	34	31	7
3	0.5	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
3	0.5	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
3	0.5	nazmulkazi	71	1302	84.1782	86.6359	+2.4578	32	0	32	31	5
3	0.3	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
3	0.3	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
3	0.3	nazmulkazi	71	1302	84.1782	86.4055	+2.2273	29	0	29	31	0
4	None	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	1
4	None	figshare-osce	272	3957	82.2846	82.7394	+0.4549	18	0	18	21	1
4	None	nazmulkazi	71	1302	84.1782	86.6359	+2.4578	32	0	32	31	5
4	0.7	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
4	0.7	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
4	0.7	nazmulkazi	71	1302	84.1782	86.5591	+2.3810	31	0	31	31	4
4	0.5	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
4	0.5	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
4	0.5	nazmulkazi	71	1302	84.1782	86.5591	+2.3810	31	0	31	31	4
4	0.3	primock57	57	873	75.8305	76.2887	+0.4582	4	0	4	4	0
4	0.3	figshare-osce	272	3957	82.2846	82.7142	+0.4296	17	0	17	21	0
4	0.3	nazmulkazi	71	1302	84.1782	86.4055	+2.2273	29	0	29	31	0
