file_id	parakeet_wer	medasr_wer	fused_wer	n_subs	n_inserts	n_words
CAR0001	19.21	50.43	18.83	4	2	1041
CAR0002	19.74	27.63	14.66	4	3	1064
CAR0003	11.74	37.19	12.37	8	1	1269
CAR0004	34.92	81.33	36.69	3	0	905
CAR0005	17.70	34.59	16.49	6	1	1243
DER0001	18.47	93.08	18.47	0	0	1489
GAS0001	35.31	77.12	39.35	4	3	1014
GAS0002	28.47	26.33	16.55	4	1	1124
GAS0003	25.24	92.22	26.85	3	0	1054
GAS0004	22.64	81.73	23.16	2	1	1144
GAS0005	18.59	35.90	18.91	1	0	1571
GAS0007	14.56	92.78	14.56	0	0	886
GEN0001	12.40	87.24	12.40	0	0	1097
MSK0001	26.06	26.25	22.40	2	4	1040
MSK0003	24.67	28.84	17.16	1	3	1824
MSK0004	28.69	31.86	17.92	2	3	1105
MSK0005	31.48	47.03	21.87	8	3	1582
MSK0006	21.74	47.95	21.68	16	6	1854
MSK0007	13.31	38.76	13.91	7	2	1352
MSK0008	14.82	40.51	15.03	3	1	1417
MSK0009	17.40	31.24	17.72	6	5	1546
MSK0010	12.94	29.31	12.94	4	0	1491
MSK0011	15.18	34.59	15.64	4	0	1515
MSK0012	13.42	34.01	14.16	4	1	1617
MSK0013	14.45	41.63	14.83	6	3	1578
MSK0014	13.29	28.39	13.61	5	3	1543
MSK0015	15.20	36.37	15.26	6	4	1592
MSK0016	19.69	50.88	19.00	11	3	2158
MSK0017	26.83	48.83	19.39	11	3	1800
MSK0018	24.68	30.43	18.63	6	1	1009
MSK0019	16.01	30.15	16.44	8	2	1393
MSK0020	24.70	32.38	16.77	6	4	1652
MSK0021	21.20	47.56	18.44	1	6	1703
MSK0022	14.79	27.35	14.79	5	3	2117
MSK0023	14.54	29.83	15.13	4	1	1190
MSK0024	11.78	46.11	11.96	3	5	1171
MSK0025	14.17	30.45	14.57	5	1	1524
MSK0026	12.21	41.89	12.95	5	6	1351
MSK0027	15.33	36.50	16.01	5	1	1337
MSK0028	14.92	26.46	15.03	3	5	1803
MSK0029	21.83	69.04	20.38	7	5	2203
MSK0031	26.65	37.03	20.94	11	6	1261
MSK0032	23.01	30.24	18.13	6	4	1230
MSK0033	14.01	28.32	14.19	7	2	1635
MSK0034	13.64	34.20	13.78	4	0	1430
MSK0035	14.88	44.38	15.07	5	1	1566
MSK0036	12.88	26.73	13.05	8	6	1732
MSK0037	15.94	29.80	16.00	6	5	1631
MSK0038	24.81	52.90	19.89	3	3	1951
MSK0039	29.64	40.30	24.24	19	7	1444
MSK0040	15.29	45.94	15.43	3	1	1465
MSK0041	22.54	53.38	15.90	4	1	1566
MSK0042	17.78	28.49	18.28	9	2	1597
MSK0043	25.41	31.65	21.06	6	2	1842
MSK0044	30.96	30.20	19.12	6	2	1182
MSK0045	26.54	41.83	18.92	7	1	1432
MSK0046	19.74	35.57	18.78	15	2	1251
MSK0049	21.64	46.04	18.18	4	2	1414
MSK0050	14.48	42.84	15.45	6	1	1340
RES0001	19.93	57.16	20.33	2	3	1515
RES0002	25.66	46.40	25.66	0	0	1181
RES0003	16.53	76.89	17.17	3	1	1246
RES0004	21.08	69.85	21.72	8	1	1708
RES0005	16.20	28.47	16.14	5	2	1605
RES0006	15.67	27.95	16.16	5	0	1238
RES0007	15.61	43.36	16.27	6	3	1838
RES0008	16.05	93.32	16.22	2	0	1153
RES0009	26.45	80.78	26.81	3	2	1410
RES0010	22.20	65.46	22.30	3	1	1054
RES0011	22.41	78.34	24.02	6	0	1611
RES0012	30.80	69.78	33.48	8	2	2088
RES0013	27.06	66.82	29.67	5	4	1338
RES0014	27.71	77.07	29.49	8	0	1404
RES0015	26.69	57.26	28.41	6	0	1570
RES0016	25.53	53.32	27.57	7	6	1324
RES0017	18.11	26.00	15.67	5	2	1723
RES0018	18.09	27.02	16.87	7	4	1310
RES0019	23.42	54.14	19.65	1	1	1328
RES0020	15.12	72.18	15.19	0	1	1409
RES0021	17.15	61.48	17.78	5	0	1254
