file_id	parakeet_wer	medasr_wer	fused_wer	n_subs	n_inserts	n_words
D0420-S1-T01	6.58	22.27	7.04	10	3	2600
D0420-S1-T02	5.07	11.11	4.68	2	2	513
D0420-S1-T03	6.88	13.12	5.91	9	1	930
D0420-S1-T04	6.52	10.30	6.84	5	3	1534
D0420-S1-T05	5.77	17.81	5.94	3	1	2324
D0420-S2-T01	6.20	16.55	6.21	32	8	6567
D0420-S3-T01	6.38	10.76	6.69	3	2	1943
D0420-S3-T02	6.16	55.58	6.50	12	2	5049
D0420-S3-T03	5.04	16.33	5.16	2	3	4091
D0420-S4-T01	8.81	42.60	9.44	6	2	2373
D0420-S4-T02	7.36	25.72	7.61	21	5	7909
D0421-S1-T01	5.93	23.05	6.35	29	3	5847
D0421-S1-T02	6.26	29.27	6.47	11	2	4636
D0421-S1-T03	10.75	15.92	7.04	3	3	2557
D0421-S1-T04	4.89	24.86	4.71	4	1	3294
D0421-S1-T05	7.34	27.32	5.52	8	2	2969
D0421-S2-T01	6.96	22.56	7.20	8	8	7872
D0421-S2-T02	7.76	31.17	8.12	24	5	6624
D0421-S3-T01	11.03	26.20	11.70	21	11	3717
D0421-S3-T02	10.67	25.93	11.04	16	2	3533
D0421-S3-T03	8.65	22.57	8.73	8	3	4102
D0421-S3-T04	7.02	32.15	7.24	9	2	3689
D0421-S3-T05	7.81	19.22	8.03	9	3	4198
D0422-S1-T01	11.50	27.28	11.88	18	5	6111
D0422-S1-T02	8.48	23.19	8.58	6	2	4231
D0422-S1-T03	8.48	32.00	8.73	7	3	3644
D0422-S1-T04	9.61	40.13	9.97	8	1	3038
D0422-S2-T01	9.34	26.25	9.55	10	2	3383
D0422-S2-T02	9.69	21.85	10.05	36	5	10810
D0422-S3-T01	7.59	24.05	8.08	22	8	7814
D0422-S3-T02	7.59	22.73	7.65	6	2	3018
D0422-S3-T03	7.83	20.45	8.14	14	6	4622
D0422-S3-T04	6.53	18.12	6.85	5	3	2743
D0422-S3-T05	5.35	15.60	5.46	4	1	1795
D0422-S3-T06	8.59	24.83	8.86	1	0	745
D0422-S4-T01	5.46	30.21	5.65	15	0	7613
D0422-S4-T02	6.51	31.98	6.49	29	6	6669
D0422-S4-T03	8.29	27.27	8.48	17	2	3693
D0422-S4-T04	7.12	33.83	7.50	10	5	3932
D0422-S4-T05	9.30	34.72	9.48	7	1	3324
D0423-S1-T01	5.45	28.51	5.71	26	5	8693
D0423-S1-T02	10.01	21.43	8.52	14	5	4964
D0423-S1-T03	8.53	22.09	8.81	8	1	2463
D0423-S2-T01	8.24	19.84	8.36	7	0	2439
D0423-S2-T02	8.03	19.03	8.25	6	1	3526
D0423-S2-T03	11.40	19.22	11.74	18	4	4115
D0424-S1-T01	5.83	61.64	6.63	11	0	2143
D0424-S1-T02	7.04	25.85	7.37	12	1	2658
D0424-S1-T03	9.14	47.56	9.34	8	1	2988
D0424-S2-T01	7.39	17.85	7.53	13	5	7183
D0424-S2-T02	9.32	25.23	9.48	23	6	6202
D0424-S2-T03	8.39	23.12	8.90	27	4	6571
D0424-S2-T04	7.94	21.18	8.46	17	6	5440
D0424-S2-T05	8.19	19.72	8.57	27	7	5553
D0424-S2-T06	9.53	20.14	9.94	24	7	4658
D0424-S3-T01	5.65	20.19	6.09	29	4	8767
D0424-S3-T02	6.60	22.72	6.86	13	3	4212
D0424-S3-T03	4.62	19.10	4.52	3	2	2078
D0424-S3-T04	7.09	16.91	7.09	0	0	1425
D0425-S1-T01	5.42	15.20	5.77	0	5	1421
D0425-S1-T02	5.78	15.57	6.27	10	6	2870
D0425-S1-T03	6.14	17.32	6.36	6	1	2281
D0425-S2-T01	5.59	26.41	5.88	13	6	6903
D0425-S2-T02	5.74	19.67	6.19	15	4	4235
D0425-S2-T03	4.89	14.42	5.06	7	1	3517
D0425-S2-T04	5.60	17.58	5.87	12	1	2964
D0425-S3-T01	11.13	78.22	11.37	6	1	4196
D0425-S3-T02	11.00	51.67	11.30	8	1	4264
D0425-S3-T03	14.31	62.19	14.44	5	0	3145
D0425-S3-T04	14.42	60.98	14.74	6	1	2850
D0425-S3-T05	8.27	63.19	8.49	5	0	2225
