file_id	parakeet_wer	medasr_wer	fused_wer	n_subs	n_inserts	n_words
day1_consultation01	19.01	91.45	19.51	4	0	1415
day1_consultation02	19.40	79.16	20.36	12	0	1670
day1_consultation03	19.28	95.96	19.47	2	0	1561
day1_consultation04	22.57	87.25	22.87	5	0	1679
day1_consultation05	17.60	92.68	17.78	3	0	1625
day1_consultation06	23.26	93.62	23.63	4	0	1849
day1_consultation07	24.94	99.59	24.94	0	0	2703
day1_consultation08	20.14	88.83	20.81	7	1	1182
day1_consultation09	21.87	92.29	22.31	5	1	1582
day1_consultation10	23.65	98.20	23.65	0	0	1886
day1_consultation11	20.15	96.05	20.58	3	0	2328
day1_consultation12	20.46	77.84	20.63	2	0	1178
day1_consultation13	13.90	70.55	14.02	2	0	1698
day1_consultation14	18.58	96.77	18.79	1	0	1921
day1_consultation15	20.54	93.92	20.93	3	0	1266
day2_consultation01	18.55	82.23	19.67	7	0	1159
day2_consultation02	20.60	84.43	21.08	5	0	1689
day2_consultation03	21.38	97.94	21.38	0	0	1408
day2_consultation04	17.98	85.10	18.97	8	0	1819
day2_consultation05	14.63	77.61	15.53	8	0	1880
day2_consultation06	18.02	87.17	18.33	4	1	1909
day2_consultation07	25.11	94.62	25.19	1	0	1338
day2_consultation08	16.19	91.88	16.36	2	0	1797
day2_consultation09	21.00	93.06	21.19	1	0	1038
day2_consultation10	16.30	89.10	16.57	3	1	1816
day3_consultation01	17.16	94.81	17.32	1	0	1253
day3_consultation02	19.62	80.90	19.97	3	0	1157
day3_consultation03	17.87	92.75	18.09	4	0	1808
day3_consultation04	21.30	83.47	21.58	1	0	1089
day3_consultation05	17.19	87.15	17.47	2	0	1082
day3_consultation06	18.74	89.78	18.91	1	0	587
day3_consultation07	19.82	88.19	19.82	0	0	1135
day3_consultation08	18.14	85.29	18.14	0	0	904
day3_consultation09	12.46	75.52	12.51	1	0	2071
day3_consultation10	13.84	88.11	14.00	2	0	1329
day4_consultation01	15.04	77.68	15.52	3	0	1250
day4_consultation02	13.32	91.99	13.32	0	0	1224
day4_consultation03	12.93	99.61	12.93	0	0	1013
day4_consultation04	15.78	95.38	15.88	1	0	995
day4_consultation05	22.55	99.94	22.55	0	0	1561
day4_consultation06	15.18	80.76	15.37	1	1	1653
day4_consultation07	18.26	84.45	19.11	7	0	1769
day4_consultation08	20.62	82.36	21.42	7	0	1746
day4_consultation09	18.66	90.41	19.06	8	1	1731
day4_consultation10	19.47	92.04	19.53	1	0	1695
day5_consultation01	16.92	91.34	17.40	2	0	1247
day5_consultation02	13.50	69.79	14.05	5	0	1089
day5_consultation03	13.39	95.99	13.56	3	0	2367
day5_consultation04	20.82	95.82	20.82	0	0	1244
day5_consultation05	19.37	97.19	19.37	0	0	924
day5_consultation06	16.12	87.17	16.18	0	1	1520
day5_consultation07	16.83	91.47	17.23	2	1	1242
day5_consultation08	11.34	70.94	11.50	2	0	1287
day5_consultation09	16.40	95.41	16.40	0	0	1372
day5_consultation10	16.55	89.54	17.00	2	0	1559
day5_consultation11	13.59	83.53	14.15	7	0	1979
day5_consultation12	15.53	85.98	16.16	2	0	792
