file_id	parakeet_wer	medasr_wer	fused_wer	subs_acoustic	subs_anchor
CAR0001	19.21	50.43	19.21	0	0
CAR0002	19.74	27.63	19.55	2	0
CAR0003	11.74	37.19	11.74	0	0
CAR0004	34.92	81.33	34.92	0	0
CAR0005	17.70	34.59	17.70	0	0
DER0001	18.47	93.08	18.47	0	0
GAS0001	35.31	77.12	35.31	0	0
GAS0002	28.47	26.33	28.47	0	0
GAS0003	25.24	92.22	25.24	0	0
GAS0004	22.64	81.73	22.64	0	0
GAS0005	18.59	35.90	18.59	0	0
GAS0007	14.56	92.78	14.56	0	0
GEN0001	12.40	87.24	12.40	0	0
MSK0001	26.06	26.25	26.06	0	0
MSK0003	24.67	28.84	24.67	0	0
MSK0004	28.69	31.86	28.69	0	0
MSK0005	31.48	47.03	31.48	0	0
MSK0006	21.74	47.95	21.74	0	0
MSK0007	13.31	38.76	13.31	0	0
MSK0008	14.82	40.51	14.82	0	0
MSK0009	17.40	31.24	17.34	1	0
MSK0010	12.94	29.31	12.94	0	0
MSK0011	15.18	34.59	15.18	0	0
MSK0012	13.42	34.01	13.42	0	0
MSK0013	14.45	41.63	14.39	1	0
MSK0014	13.29	28.39	13.29	0	0
MSK0015	15.20	36.37	15.20	0	0
MSK0016	19.69	50.88	19.69	0	0
MSK0017	26.83	48.83	26.83	0	0
MSK0018	24.68	30.43	24.68	0	0
MSK0019	16.01	30.15	16.01	0	0
MSK0020	24.70	32.38	24.64	0	1
MSK0021	21.20	47.56	21.20	0	0
MSK0022	14.79	27.35	14.79	0	0
MSK0023	14.54	29.83	14.54	0	0
MSK0024	11.78	46.11	11.78	0	0
MSK0025	14.17	30.45	14.17	0	0
MSK0026	12.21	41.89	12.21	0	0
MSK0027	15.33	36.50	15.33	0	0
MSK0028	14.92	26.46	14.92	0	0
MSK0029	21.83	69.04	21.74	0	1
MSK0031	26.65	37.03	26.57	1	0
MSK0032	23.01	30.24	23.01	0	0
MSK0033	14.01	28.32	13.94	1	0
MSK0034	13.64	34.20	13.64	0	0
MSK0035	14.88	44.38	14.88	0	0
MSK0036	12.88	26.73	12.88	0	0
MSK0037	15.94	29.80	15.94	0	0
MSK0038	24.81	52.90	24.81	0	0
MSK0039	29.64	40.30	29.64	0	0
MSK0040	15.29	45.94	15.29	0	0
MSK0041	22.54	53.38	22.54	0	0
MSK0042	17.78	28.49	17.78	0	0
MSK0043	25.41	31.65	25.19	0	1
MSK0044	30.96	30.20	30.96	0	0
MSK0045	26.54	41.83	26.54	0	0
MSK0046	19.74	35.57	19.74	0	0
MSK0049	21.64	46.04	21.57	1	0
MSK0050	14.48	42.84	14.48	0	0
RES0001	19.93	57.16	19.93	0	0
RES0002	25.66	46.40	25.66	0	0
RES0003	16.53	76.89	16.53	0	0
RES0004	21.08	69.85	21.08	0	0
RES0005	16.20	28.47	16.14	1	0
RES0006	15.67	27.95	15.67	0	0
RES0007	15.61	43.36	15.61	0	0
RES0008	16.05	93.32	16.05	0	0
RES0009	26.45	80.78	26.45	0	0
RES0010	22.20	65.46	22.20	0	0
RES0011	22.41	78.34	22.41	0	0
RES0012	30.80	69.78	30.80	0	0
RES0013	27.06	66.82	27.06	0	0
RES0014	27.71	77.07	27.71	0	0
RES0015	26.69	57.26	26.69	0	0
RES0016	25.53	53.32	25.53	0	0
RES0017	18.11	26.00	18.11	0	0
RES0018	18.09	27.02	18.09	0	0
RES0019	23.42	54.14	23.42	0	0
RES0020	15.12	72.18	15.12	0	0
RES0021	17.15	61.48	17.15	0	0
RES0022	20.89	78.08	20.89	0	0
RES0023	32.44	87.58	32.44	0	0
RES0024	30.54	79.58	30.54	0	0
RES0025	18.00	86.32	17.92	1	0
RES0026	16.20	64.48	16.20	0	0
RES0027	23.85	80.98	23.85	0	0
RES0028	26.60	27.47	26.60	0	0
RES0029	23.46	30.99	23.46	0	0
RES0030	16.06	31.61	16.06	0	0
RES0031	19.56	31.84	19.56	0	0
RES0032	28.92	39.48	28.92	0	0
RES0033	31.13	30.46	31.13	0	0
RES0034	14.54	27.83	14.54	0	0
RES0035	14.64	41.64	14.64	0	0
RES0036	17.44	43.42	17.44	0	0
RES0037	19.94	29.50	19.87	1	0
RES0038	14.03	26.69	14.03	0	0
RES0039	16.07	32.07	16.07	0	0
RES0042	30.11	48.79	30.11	0	0
RES0043	20.94	51.91	20.94	0	0
RES0044	23.46	46.06	23.46	0	0
RES0045	26.49	69.65	26.49	0	0
RES0046	21.59	71.32	21.59	0	0
RES0047	27.25	58.83	27.25	0	0
RES0048	25.29	47.12	25.29	0	1
RES0049	20.84	66.39	20.84	0	0
RES0050	13.69	48.50	13.69	0	0
RES0051	18.36	57.33	18.36	0	0
RES0052	35.16	48.96	35.16	0	0
RES0053	28.44	65.37	28.44	0	0
RES0054	29.65	73.44	29.65	0	0
RES0055	28.16	61.07	28.16	0	0
RES0056	31.06	67.28	31.06	0	0
RES0057	25.15	97.41	25.15	0	0
RES0058	19.86	85.46	19.86	0	0
RES0059	23.13	72.83	23.13	0	0
RES0060	31.43	89.38	31.43	0	0
RES0061	22.32	87.77	22.32	0	0
RES0062	19.53	72.80	19.48	0	1
RES0063	18.74	60.16	18.66	1	1
RES0064	28.33	65.40	28.33	0	0
RES0065	14.98	43.07	14.98	0	0
RES0066	27.90	44.88	27.90	0	0
RES0067	37.00	40.81	37.00	0	0
RES0068	24.75	46.86	24.75	0	0
RES0069	32.44	78.61	32.44	0	0
RES0070	33.37	62.63	33.37	0	0
RES0071	19.36	37.49	19.36	0	0
RES0072	35.89	39.78	35.89	0	0
RES0073	17.08	37.28	17.08	0	0
RES0074	17.41	35.55	17.32	1	0
RES0075	16.10	35.80	16.10	0	0
RES0076	22.94	36.44	22.94	0	0
RES0077	15.21	44.44	15.21	0	0
RES0078	17.63	89.33	17.63	0	0
RES0079	25.48	85.63	25.48	0	0
