file_id	parakeet_wer	medasr_wer	fused_wer	subs_acoustic	subs_anchor
D0420-S1-T01	6.58	22.27	6.58	0	0
D0420-S1-T02	5.07	11.11	5.07	0	0
D0420-S1-T03	6.88	13.12	6.77	1	0
D0420-S1-T04	6.52	10.30	6.52	0	0
D0420-S1-T05	5.77	17.81	5.77	0	0
D0420-S2-T01	6.20	16.55	6.01	11	1
D0420-S3-T01	6.38	10.76	6.38	0	0
D0420-S3-T02	6.16	55.58	6.16	0	0
D0420-S3-T03	5.04	16.33	5.04	0	0
D0420-S4-T01	8.81	42.60	8.81	0	0
D0420-S4-T02	7.36	25.72	7.35	0	2
D0421-S1-T01	5.93	23.05	5.87	5	1
D0421-S1-T02	6.26	29.27	6.21	2	0
D0421-S1-T03	10.75	15.92	10.75	0	0
D0421-S1-T04	4.89	24.86	4.89	0	0
D0421-S1-T05	7.34	27.32	7.34	0	0
D0421-S2-T01	6.96	22.56	6.96	0	0
D0421-S2-T02	7.76	31.17	7.76	0	0
D0421-S3-T01	11.03	26.20	11.03	0	0
D0421-S3-T02	10.67	25.93	10.67	0	0
D0421-S3-T03	8.65	22.57	8.65	0	0
D0421-S3-T04	7.02	32.15	7.02	0	0
D0421-S3-T05	7.81	19.22	7.81	0	0
D0422-S1-T01	11.50	27.28	11.50	0	0
D0422-S1-T02	8.48	23.19	8.48	0	0
D0422-S1-T03	8.48	32.00	8.45	0	1
D0422-S1-T04	9.61	40.13	9.61	0	0
D0422-S2-T01	9.34	26.25	9.34	0	0
D0422-S2-T02	9.69	21.85	9.69	0	0
D0422-S3-T01	7.59	24.05	7.59	0	0
D0422-S3-T02	7.59	22.73	7.59	0	0
D0422-S3-T03	7.83	20.45	7.83	0	1
D0422-S3-T04	6.53	18.12	6.53	0	0
D0422-S3-T05	5.35	15.60	5.35	0	0
D0422-S3-T06	8.59	24.83	8.59	0	0
D0422-S4-T01	5.46	30.21	5.42	3	0
D0422-S4-T02	6.51	31.98	6.40	8	1
D0422-S4-T03	8.29	27.27	8.29	0	0
D0422-S4-T04	7.12	33.83	7.12	0	0
D0422-S4-T05	9.30	34.72	9.30	0	0
D0423-S1-T01	5.45	28.51	5.45	0	0
D0423-S1-T02	10.01	21.43	10.01	0	0
D0423-S1-T03	8.53	22.09	8.53	0	0
D0423-S2-T01	8.24	19.84	8.24	0	0
D0423-S2-T02	8.03	19.03	8.03	0	0
D0423-S2-T03	11.40	19.22	11.40	0	0
D0424-S1-T01	5.83	61.64	5.83	0	0
D0424-S1-T02	7.04	25.85	7.04	0	0
D0424-S1-T03	9.14	47.56	9.14	0	0
D0424-S2-T01	7.39	17.85	7.39	0	0
D0424-S2-T02	9.32	25.23	9.32	0	0
D0424-S2-T03	8.39	23.12	8.39	0	0
D0424-S2-T04	7.94	21.18	7.94	0	0
D0424-S2-T05	8.19	19.72	8.19	0	0
D0424-S2-T06	9.53	20.14	9.49	1	1
D0424-S3-T01	5.65	20.19	5.65	0	0
D0424-S3-T02	6.60	22.72	6.60	0	0
D0424-S3-T03	4.62	19.10	4.62	0	0
D0424-S3-T04	7.09	16.91	7.09	0	0
D0425-S1-T01	5.42	15.20	5.42	0	0
D0425-S1-T02	5.78	15.57	5.78	0	0
D0425-S1-T03	6.14	17.32	6.14	0	0
D0425-S2-T01	5.59	26.41	5.59	0	0
D0425-S2-T02	5.74	19.67	5.71	0	1
D0425-S2-T03	4.89	14.42	4.89	0	0
D0425-S2-T04	5.60	17.58	5.60	0	0
D0425-S3-T01	11.13	78.22	11.13	0	0
D0425-S3-T02	11.00	51.67	11.00	0	0
D0425-S3-T03	14.31	62.19	14.31	0	0
D0425-S3-T04	14.42	60.98	14.42	0	0
D0425-S3-T05	8.27	63.19	8.27	0	0
