file_id	parakeet_wer	medasr_wer	fused_wer	subs_acoustic	subs_anchor
day1_consultation01	19.01	91.45	19.01	0	0
day1_consultation02	19.40	79.16	19.34	1	0
day1_consultation03	19.28	95.96	19.28	0	0
day1_consultation04	22.57	87.25	22.57	0	0
day1_consultation05	17.60	92.68	17.60	0	0
day1_consultation06	23.26	93.62	23.26	0	0
day1_consultation07	24.94	99.59	24.94	0	0
day1_consultation08	20.14	88.83	20.14	0	0
day1_consultation09	21.87	92.29	21.81	1	0
day1_consultation10	23.65	98.20	23.65	0	0
day1_consultation11	20.15	96.05	20.15	0	0
day1_consultation12	20.46	77.84	20.46	0	0
day1_consultation13	13.90	70.55	13.90	0	0
day1_consultation14	18.58	96.77	18.58	0	0
day1_consultation15	20.54	93.92	20.54	0	0
day2_consultation01	18.55	82.23	18.55	0	0
day2_consultation02	20.60	84.43	20.60	0	0
day2_consultation03	21.38	97.94	21.38	0	0
day2_consultation04	17.98	85.10	17.98	0	0
day2_consultation05	14.63	77.61	14.63	0	0
day2_consultation06	18.02	87.17	18.02	0	0
day2_consultation07	25.11	94.62	25.11	0	0
day2_consultation08	16.19	91.88	16.19	0	0
day2_consultation09	21.00	93.06	21.00	0	0
day2_consultation10	16.30	89.10	16.30	0	0
day3_consultation01	17.16	94.81	17.16	0	0
day3_consultation02	19.62	80.90	19.62	0	0
day3_consultation03	17.87	92.75	17.87	0	0
day3_consultation04	21.30	83.47	21.30	0	0
day3_consultation05	17.19	87.15	17.19	0	0
day3_consultation06	18.74	89.78	18.74	0	0
day3_consultation07	19.82	88.19	19.82	0	0
day3_consultation08	18.14	85.29	18.14	0	0
day3_consultation09	12.46	75.52	12.46	0	0
day3_consultation10	13.84	88.11	13.84	0	0
day4_consultation01	15.04	77.68	15.04	0	0
day4_consultation02	13.32	91.99	13.32	0	0
day4_consultation03	12.93	99.61	12.93	0	0
day4_consultation04	15.78	95.38	15.78	0	0
day4_consultation05	22.55	99.94	22.55	0	0
day4_consultation06	15.18	80.76	15.18	0	0
day4_consultation07	18.26	84.45	18.26	0	0
day4_consultation08	20.62	82.36	20.62	0	0
day4_consultation09	18.66	90.41	18.54	2	0
day4_consultation10	19.47	92.04	19.47	0	0
day5_consultation01	16.92	91.34	16.92	0	0
day5_consultation02	13.50	69.79	13.50	0	0
day5_consultation03	13.39	95.99	13.39	0	0
day5_consultation04	20.82	95.82	20.82	0	0
day5_consultation05	19.37	97.19	19.37	0	0
day5_consultation06	16.12	87.17	16.12	0	0
day5_consultation07	16.83	91.47	16.83	0	0
day5_consultation08	11.34	70.94	11.42	0	1
day5_consultation09	16.40	95.41	16.40	0	0
day5_consultation10	16.55	89.54	16.55	0	0
day5_consultation11	13.59	83.53	13.59	0	0
day5_consultation12	15.53	85.98	15.53	0	0
